# Final mediating pop (post Phase 4)
# x0..x(D-1) f0 f1 consensus
0.460391 0.496967 0.563907 89.721460 89.770525 89.721460
0.908021 0.773117 0.654878 89.795837 89.674554 89.674554
0.667874 0.731528 0.285072 89.860928 89.960199 89.860928
0.821251 0.397314 0.830901 89.941206 89.746323 89.746323
0.117052 0.736467 0.547327 89.819359 89.803291 89.803291
0.724333 0.068365 0.213287 89.738461 89.723498 89.723498
0.885982 0.114086 0.062926 89.494075 89.382975 89.382975
0.058499 0.166269 0.545440 88.338848 89.244148 88.338848
0.321484 0.821519 0.172613 89.513506 88.765898 88.765898
0.607924 0.865364 0.702607 86.976367 89.408515 86.976367
0.414539 0.331497 0.516517 83.357774 81.079065 81.079065
0.459442 0.496869 0.559599 89.942456 89.806140 89.806140
0.321842 0.826382 0.160263 89.493523 89.472834 89.472834
0.401045 0.840382 0.731955 89.795848 89.748849 89.748849
0.442934 0.333676 0.560204 89.799021 89.678198 89.678198
0.132348 0.090245 0.049578 85.059884 87.562877 85.059884
0.821309 0.395346 0.835271 89.855908 89.713239 89.713239
0.824737 0.395968 0.838462 89.586345 89.057047 89.057047
0.667374 0.726226 0.286156 88.656514 89.138451 88.656514
0.061601 0.174359 0.567087 80.495653 76.874880 76.874880
0.483328 0.128715 0.106228 88.138393 89.464782 88.138393
0.323520 0.827957 0.150201 89.116701 88.301015 88.301015
0.460424 0.494195 0.563396 89.736480 89.443276 89.443276
0.457241 0.502329 0.535866 86.776526 88.405951 86.776526
0.132382 0.106120 0.055966 89.861862 89.916015 89.861862
0.424921 0.334015 0.531756 85.820674 86.597889 85.820674
0.402508 0.850942 0.732503 88.540554 88.280020 88.280020
0.459491 0.497111 0.567614 89.473458 89.477857 89.473458
0.460171 0.499418 0.542523 88.480381 89.086710 88.480381
0.610760 0.858154 0.663342 72.040508 71.942723 71.942723
0.910380 0.774651 0.650032 88.610052 88.665441 88.610052
0.294147 0.061900 0.887435 88.621324 89.106090 88.621324
0.324372 0.823327 0.161619 89.946294 89.871349 89.871349
0.428629 0.333497 0.539368 88.009940 88.066309 88.009940
0.665359 0.733343 0.284211 89.752465 89.961781 89.752465
0.730518 0.068522 0.213361 89.077408 89.109980 89.077408
0.479314 0.337426 0.610401 75.110851 72.917124 72.917124
0.457462 0.501746 0.539695 87.667072 88.774012 87.667072
0.322076 0.822241 0.163142 89.626237 89.955864 89.626237
0.737869 0.177178 0.525203 89.936450 89.388217 89.388217
0.465582 0.505782 0.512524 82.636322 81.542373 81.542373
0.461146 0.497987 0.548711 89.432290 89.645258 89.432290
0.323792 0.823570 0.164099 89.879094 89.881328 89.879094
0.460700 0.494593 0.569139 89.515882 89.593127 89.515882
0.117286 0.742086 0.543435 87.474084 89.811456 87.474084
0.288446 0.061820 0.889561 89.942613 89.726052 89.726052
0.328754 0.823983 0.147661 88.963332 88.016233 88.016233
0.895118 0.751780 0.629164 78.496147 77.964109 77.964109
0.387466 0.335217 0.485819 64.610497 68.671860 64.610497
0.738776 0.178005 0.529353 89.472669 89.611108 89.472669
0.909454 0.768971 0.645250 88.164176 89.348505 88.164176
0.485828 0.129316 0.108244 89.532659 88.981432 88.981432
0.819107 0.392443 0.840488 89.265872 89.253385 89.253385
0.728809 0.069145 0.208839 88.929047 89.547275 88.929047
0.388685 0.333299 0.474755 64.060009 63.848669 63.848669
0.910076 0.766862 0.649070 88.316878 88.576842 88.316878
0.118348 0.733077 0.553433 88.362046 89.794654 88.362046
0.610783 0.858352 0.703108 86.858877 88.438245 86.858877
0.664691 0.730701 0.283941 89.665600 89.728867 89.665600
0.609291 0.859285 0.713456 89.105216 89.898044 89.105216
0.323096 0.821208 0.167508 89.677937 89.616073 89.616073
0.475184 0.333706 0.592886 78.048902 79.493010 78.048902
0.133828 0.102521 0.057749 89.607474 89.226351 89.226351
0.320906 0.823716 0.162949 89.755773 89.669992 89.669992
0.465687 0.502786 0.521727 85.085021 84.636249 84.636249
0.461783 0.498739 0.550136 89.683963 89.706999 89.683963
0.456132 0.510400 0.515216 81.476644 82.346253 81.476644
0.323987 0.823740 0.160958 89.966399 89.966334 89.966334
0.905997 0.775132 0.651779 88.174182 89.289423 88.174182
0.055179 0.166444 0.536257 88.474997 89.879164 88.474997
0.408559 0.333501 0.512590 78.900157 80.409846 78.900157
0.404252 0.843780 0.730265 89.418846 89.356784 89.356784
0.289803 0.060915 0.885785 89.682776 89.762725 89.682776
0.327907 0.825719 0.143719 89.003299 86.713358 86.713358
