# Final mediating pop (post Phase 4)
# x0..x(D-1) f0 f1 consensus
0.683290 0.896556 0.185931 89.954892 89.944347 89.944347
0.823489 0.688026 0.774652 89.969285 89.970877 89.969285
0.683726 0.893151 0.183535 89.920680 89.839720 89.839720
0.824523 0.686750 0.773122 89.885462 89.956974 89.885462
0.682524 0.896660 0.184151 89.945980 89.977933 89.945980
0.680787 0.892939 0.183300 89.762293 89.791234 89.762293
0.823569 0.687595 0.772853 89.898765 89.874438 89.874438
0.823432 0.687201 0.774761 89.956441 89.971907 89.956441
0.682632 0.895717 0.183403 89.974325 89.963066 89.963066
0.825495 0.685956 0.774720 89.862050 89.857374 89.857374
0.682207 0.895064 0.184123 89.991900 89.983649 89.983649
0.823155 0.689269 0.776425 89.959079 89.952359 89.952359
0.824818 0.689407 0.778494 89.894633 89.928231 89.894633
0.823778 0.687668 0.775689 89.991216 89.994540 89.991216
0.681063 0.896077 0.183319 89.957803 89.949432 89.949432
0.821968 0.688868 0.775926 89.927343 89.915387 89.915387
0.823688 0.689606 0.773747 89.939027 89.819493 89.819493
0.680625 0.896812 0.184347 89.976260 89.972031 89.972031
0.682098 0.892938 0.184723 89.817487 89.812885 89.812885
0.823551 0.691515 0.774318 89.749234 89.706218 89.706218
0.683515 0.893697 0.183578 89.936717 89.896113 89.896113
0.681143 0.896077 0.184068 89.988875 89.989454 89.988875
0.823163 0.688645 0.774156 89.947275 89.902846 89.902846
0.681921 0.897012 0.185229 89.983646 89.972249 89.972249
0.822158 0.690130 0.778442 89.857825 89.823566 89.823566
0.680370 0.896861 0.185011 89.961932 89.971032 89.961932
0.823401 0.685204 0.770822 89.612674 89.779749 89.612674
0.824922 0.686647 0.775875 89.933870 89.941714 89.933870
0.822272 0.689218 0.773751 89.871432 89.780233 89.780233
0.686009 0.892185 0.185321 89.702048 89.642157 89.642157
0.680851 0.895699 0.182489 89.922112 89.866470 89.866470
0.823088 0.685039 0.775961 89.743028 89.857428 89.743028
0.675823 0.897009 0.182821 89.626072 89.672542 89.626072
0.822233 0.689628 0.777868 89.911873 89.872947 89.872947
0.824620 0.687127 0.771402 89.753299 89.811143 89.753299
0.679334 0.905603 0.189340 89.149118 88.014489 88.014489
0.681763 0.896230 0.183931 89.983470 89.986967 89.983470
0.823732 0.686512 0.774619 89.958421 89.954501 89.954501
0.682395 0.895953 0.184504 89.993182 89.997099 89.993182
0.823922 0.690899 0.777484 89.873608 89.896724 89.873608
0.821948 0.689474 0.774961 89.892671 89.871072 89.871072
0.822801 0.689299 0.776372 89.947000 89.934305 89.934305
0.682202 0.893437 0.184012 89.918004 89.865861 89.865861
0.825463 0.687516 0.776309 89.962505 89.957271 89.957271
0.687167 0.892696 0.185409 89.654722 89.583999 89.583999
0.823792 0.689047 0.778859 89.875751 89.916083 89.875751
0.825069 0.682938 0.772254 89.494290 89.555497 89.494290
0.678189 0.897144 0.184235 89.832868 89.861964 89.832868
0.681699 0.894983 0.183948 89.983434 89.978776 89.978776
0.680514 0.895409 0.184581 89.938876 89.987094 89.938876
0.826981 0.686797 0.775009 89.869283 89.811392 89.811392
0.682844 0.896123 0.187275 89.883250 89.806097 89.806097
0.823489 0.688194 0.776010 89.994030 89.991566 89.991566
0.826541 0.686000 0.771050 89.636378 89.669252 89.636378
0.115534 0.137187 0.785742 37.636031 37.772640 37.636031
0.679193 0.897345 0.183143 89.846698 89.880123 89.846698
0.823525 0.688786 0.775073 89.982836 89.964910 89.964910
0.823613 0.686688 0.773838 89.929384 89.947127 89.929384
0.682451 0.893081 0.183406 89.929878 89.822081 89.822081
0.682421 0.897627 0.183551 89.832459 89.925039 89.832459
0.115000 0.133652 0.769183 37.917557 37.927472 37.917557
0.681495 0.894851 0.184238 89.967511 89.973147 89.967511
0.681273 0.895172 0.184693 89.962296 89.986964 89.962296
0.682190 0.892471 0.184018 89.812354 89.744071 89.744071
0.679258 0.896809 0.185265 89.889730 89.942555 89.889730
0.680344 0.897051 0.185604 89.948774 89.971313 89.948774
0.680187 0.896706 0.185870 89.935622 89.953746 89.935622
0.681703 0.893665 0.182674 89.890837 89.876825 89.876825
0.680927 0.895798 0.183284 89.966299 89.944564 89.944564
0.680233 0.895844 0.184377 89.959000 89.985102 89.959000
0.680553 0.895117 0.185308 89.884325 89.952678 89.884325
0.822450 0.690153 0.776421 89.866307 89.854336 89.854336
0.685598 0.893725 0.184487 89.801991 89.815033 89.801991
0.825371 0.689160 0.777254 89.904599 89.953766 89.904599
0.678025 0.896839 0.182445 89.795902 89.829283 89.795902
0.823445 0.688089 0.774039 89.951626 89.933766 89.933766
0.824431 0.690136 0.777095 89.948964 89.945163 89.945163
0.683091 0.895271 0.183911 89.968808 89.982625 89.968808
0.681864 0.895757 0.184227 89.997282 89.995145 89.995145
0.822558 0.685825 0.775149 89.829026 89.887083 89.829026
0.823234 0.690777 0.778248 89.859773 89.855016 89.855016
0.115427 0.144582 0.827064 33.762512 34.437056 33.762512
0.822902 0.688901 0.776553 89.971652 89.957924 89.957924
0.824172 0.686897 0.778581 89.911396 89.769860 89.769860
0.822573 0.689309 0.773309 89.882498 89.733982 89.733982
0.824420 0.689871 0.776649 89.958141 89.961568 89.958141
0.824674 0.687107 0.774576 89.968390 89.969262 89.968390
0.677010 0.899608 0.185080 89.644645 89.621389 89.621389
0.824399 0.680281 0.771940 88.976446 89.223983 88.976446
0.824168 0.686981 0.778337 89.924122 89.805823 89.805823
0.825877 0.687373 0.776759 89.923845 89.908949 89.908949
0.824048 0.688499 0.776966 89.982053 89.986945 89.982053
0.822076 0.686814 0.774590 89.820018 89.911337 89.820018
0.687046 0.894697 0.185172 89.674927 89.768347 89.674927
0.823124 0.685844 0.775223 89.866245 89.913196 89.866245
0.823331 0.688581 0.777061 89.975603 89.965081 89.965081
0.683530 0.895043 0.184678 89.962622 89.964854 89.962622
0.796592 0.222399 0.273208 24.661882 24.959956 24.661882
0.824354 0.689879 0.773846 89.889590 89.839780 89.839780
0.824562 0.689989 0.780210 89.730298 89.826456 89.730298
0.683517 0.894502 0.182964 89.925111 89.930621 89.925111
0.824840 0.690374 0.773790 89.806025 89.794338 89.794338
0.820943 0.689631 0.778229 89.860769 89.763370 89.763370
0.681295 0.895315 0.185510 89.946608 89.967083 89.946608
0.799625 0.221338 0.269256 24.552685 24.859828 24.552685
0.823714 0.690410 0.777670 89.908926 89.915219 89.908926
0.822765 0.687463 0.777533 89.912496 89.853424 89.853424
0.684685 0.892977 0.181850 89.782380 89.803804 89.782380
0.682514 0.896230 0.187195 89.901047 89.820314 89.820314
0.679974 0.896277 0.184182 89.960650 89.967917 89.960650
0.791658 0.230393 0.282836 24.133083 25.131482 24.133083
0.824738 0.693821 0.783432 88.999694 89.401031 88.999694
0.824781 0.688824 0.774571 89.960754 89.939335 89.939335
0.681424 0.896428 0.184730 89.996488 89.994821 89.994821
0.677845 0.896700 0.183820 89.818415 89.859140 89.818415
0.682992 0.895083 0.185353 89.960153 89.972705 89.960153
0.822589 0.687457 0.775130 89.914979 89.963971 89.914979
0.680845 0.895060 0.183090 89.942707 89.923920 89.923920
0.826312 0.689551 0.777474 89.779708 89.898176 89.779708
0.681251 0.896020 0.183921 89.986272 89.984230 89.984230
0.530130 0.682284 0.442747 4.896240 2.073926 2.073926
0.131249 0.163228 0.871815 36.229246 15.800255 15.800255
0.201209 0.222274 0.118438 1.002814 6.374701 1.002814
0.277180 0.552937 0.660412 68.303541 6.946603 6.946603
0.738038 0.854611 0.156745 54.098874 59.703922 54.098874
0.764971 0.990386 0.921435 4.258778 6.946603 4.258778
0.390235 0.992137 0.834324 1.959055 6.946603 1.959055
0.887645 0.473109 0.471794 4.896240 7.820139 4.896240
0.990028 0.216176 0.985802 5.711210 4.801358 4.801358
0.454927 0.301482 0.116745 5.711210 7.820139 5.711210
0.956780 0.989585 0.722668 4.258778 6.946603 4.258778
0.266183 0.159295 0.317265 1.016150 7.820139 1.016150
0.637939 0.620651 0.113695 4.896240 2.300390 2.300390
0.829477 0.462452 0.020954 4.896240 7.820139 4.896240
0.687436 0.266106 0.974871 5.711210 4.801358 4.801358
0.354485 0.297188 0.012669 1.002814 7.820139 1.002814
0.167994 0.614125 0.385297 6.716973 0.593651 0.593651
0.015580 0.781708 0.619652 1.959055 2.640572 1.959055
0.395668 0.531416 0.937751 4.734028 6.946603 4.734028
0.962000 0.116984 0.115145 5.711210 7.820139 5.711210
0.450127 0.165697 0.676534 5.711210 4.801358 4.801358
1.000000 0.335402 0.000000 5.711210 7.820139 5.711210
0.266339 0.407637 0.308924 1.002814 7.820139 1.002814
0.956277 0.245752 0.133681 5.711210 7.820139 5.711210
0.589228 0.100968 0.834522 5.711210 4.801358 4.801358
0.908321 0.750882 0.104437 6.436479 2.198957 2.198957
0.572677 0.833741 0.158803 11.244493 36.469645 11.244493
0.273193 0.594118 0.524592 64.038680 6.946603 6.946603
0.994674 0.788673 0.869326 4.258778 7.662247 4.258778
0.419581 0.263891 0.469570 5.711210 10.283740 5.711210
0.857572 0.315467 0.451114 9.336269 7.820139 7.820139
0.803253 0.583107 0.000177 4.896240 2.073926 2.073926
0.415369 0.025066 0.338349 1.002814 7.820139 1.002814
0.288952 0.461625 0.605460 1.002814 4.801358 1.002814
0.510172 0.325027 0.883147 5.711210 4.801358 4.801358
0.689475 0.813886 0.462683 4.896240 6.946603 4.896240
0.822306 0.850304 0.294559 9.408979 8.879587 8.879587
0.482872 0.404472 0.166319 4.896240 7.820139 4.896240
0.608040 0.804211 0.755669 4.309626 6.946603 4.309626
0.092096 0.967280 0.316022 1.959055 0.593651 0.593651
0.829781 0.678287 0.627365 20.513064 15.732951 15.732951
0.770257 0.728611 0.391090 4.896240 2.073926 2.073926
0.459679 0.109659 0.836990 5.711210 4.801358 4.801358
0.641557 1.000000 1.000000 4.258778 6.946603 4.258778
0.866214 0.135167 0.426362 8.215503 7.820139 7.820139
0.736068 0.000000 0.708985 5.711210 4.801358 4.801358
0.674261 0.106761 0.320159 5.711210 9.840271 5.711210
0.454406 0.228928 0.800370 5.711210 4.801358 4.801358
0.156295 0.918331 0.555879 1.959055 2.243282 1.959055
0.761673 0.155881 0.993098 5.711210 4.801358 4.801358
0.663075 0.378415 0.017290 4.896240 7.820139 4.896240
0.623567 0.915131 0.462093 4.896240 6.946603 4.896240
0.590711 0.566074 0.830303 4.258778 6.946603 4.258778
0.998294 1.000000 0.608113 4.258778 6.946603 4.258778
0.332159 0.687221 0.828716 7.395702 6.946603 6.946603
1.000000 0.408783 0.148367 4.896240 7.820139 4.896240
0.795599 0.508469 0.000513 4.896240 7.820139 4.896240
0.628121 0.119047 0.000000 5.711210 7.820139 5.711210
0.633702 0.486805 0.677542 4.258778 5.469277 4.258778
0.308862 0.969031 0.623482 1.959055 6.946603 1.959055
0.988251 0.000000 0.660506 5.711210 4.801358 4.801358
0.905132 0.071362 0.891931 5.711210 4.801358 4.801358
0.304915 0.241129 0.859439 1.002814 4.801358 1.002814
0.938968 0.061180 0.349051 5.711210 7.820139 5.711210
0.616369 0.046442 0.533088 5.711210 6.068671 5.711210
0.692640 0.869120 0.244261 37.614705 41.064001 37.614705
0.675328 0.348546 0.871485 5.711210 4.801358 4.801358
0.836295 0.002853 0.471739 5.711210 7.820139 5.711210
0.190861 0.946891 0.809185 1.959055 5.439173 1.959055
0.768275 0.548107 0.883958 6.307049 6.946603 6.307049
1.000000 0.383873 0.326956 4.896240 7.820139 4.896240
0.866692 0.886883 1.000000 4.258778 6.946603 4.258778
0.858259 0.048045 0.800267 5.711210 4.801358 4.801358
0.468233 0.032854 0.130916 5.711210 7.820139 5.711210
0.173005 0.033565 0.268156 1.002814 6.374701 1.002814
0.709957 0.355475 0.414047 5.711210 13.519546 5.711210
0.412285 0.557747 0.608175 11.986683 6.946603 6.946603
0.707330 0.308745 0.650744 5.711210 17.096339 5.711210
0.856556 0.437316 0.429557 4.896240 7.820139 4.896240
0.224808 0.554311 0.643686 38.194396 6.946603 6.946603
0.788095 0.744309 0.904630 20.502102 24.628588 20.502102
0.776163 0.345795 0.078439 5.711210 7.820139 5.711210
0.014991 0.054042 0.401081 1.002814 6.374701 1.002814
0.474968 0.213323 1.000000 5.711210 4.801358 4.801358
0.515795 0.335553 0.455133 5.711210 16.947605 5.711210
0.824660 0.209391 0.872882 5.711210 4.801358 4.801358
0.815636 0.681233 0.758231 83.776253 86.037590 83.776253
0.291002 0.911323 0.067420 1.959055 2.272445 1.959055
0.243120 0.685619 0.517653 14.549938 6.946603 6.946603
0.653991 0.004264 0.248133 5.711210 7.820139 5.711210
0.721670 0.000000 0.000000 5.711210 7.820139 5.711210
0.310533 0.153432 0.723445 1.002814 4.801358 1.002814
0.579969 0.475460 0.240233 4.896240 7.820139 4.896240
0.620625 0.568348 0.371076 4.896240 2.073926 2.073926
0.415117 0.415557 0.074487 1.002814 7.820139 1.002814
0.336903 0.133342 0.813237 1.002814 4.801358 1.002814
0.562828 0.360434 0.080063 5.711210 7.820139 5.711210
0.541803 0.030805 0.348221 5.711210 7.820139 5.711210
0.060823 0.532045 0.221061 1.959055 4.303681 1.959055
0.924048 0.553222 0.557308 5.272301 6.946603 5.272301
0.953844 0.395641 0.851964 4.258778 4.801358 4.258778
0.778774 0.252516 0.385415 15.975882 11.213503 11.213503
0.332720 0.104345 0.938285 1.002814 4.801358 1.002814
0.369504 0.505968 0.732026 21.196534 4.801358 4.801358
0.290111 0.466577 0.465051 1.002814 7.820139 1.002814
0.895055 0.366106 0.953043 5.711210 4.801358 4.801358
0.098468 0.433897 0.593511 1.002814 2.181527 1.002814
0.628524 0.797248 0.600359 4.258778 6.946603 4.258778
0.805216 0.947096 0.216532 10.763288 41.908319 10.763288
0.200007 0.033143 0.798242 19.164881 6.374701 6.374701
0.761080 0.948876 0.128352 9.811558 19.586802 9.811558
0.628808 0.958354 0.220078 52.598292 42.974595 42.974595
0.562512 0.698099 0.519726 4.258778 6.946603 4.258778
0.504620 0.203392 0.239208 5.711210 8.268217 5.711210
