# gen=10 CA size=200
# x0..x(D-1) consensus
0.584497 0.815206 55.578505
0.806158 0.612375 49.547643
0.906465 0.702798 49.547643
0.586229 0.225755 51.486853
0.262595 0.686496 64.186204
0.614552 0.392521 50.529617
0.843288 0.724194 49.547643
0.235622 0.509869 53.032328
0.745036 0.348716 50.529617
0.121583 0.830101 53.615894
0.301325 0.701584 59.574253
0.709094 0.251773 57.862016
0.099255 0.658306 48.462188
0.695105 0.626385 49.547643
0.831326 0.382337 50.529617
0.440811 0.128657 48.518919
0.706594 0.000000 48.518919
0.662628 0.524282 48.518919
0.808183 0.317445 56.903731
0.393996 0.744220 53.896139
0.785546 0.298535 60.100083
0.814297 0.551727 49.547643
0.881385 0.734366 49.547643
0.764015 0.239042 50.583228
0.694694 0.841093 57.295906
0.836933 0.570637 49.547643
0.810134 0.759296 54.905112
0.835694 0.788931 52.796701
0.508078 0.795083 55.684020
0.095443 0.711035 49.007928
0.637163 0.179514 54.138030
0.540201 0.815731 66.070165
0.294848 0.663480 69.058691
0.498088 0.756424 50.282575
0.530221 0.305558 50.529617
0.533890 0.799961 65.235020
0.905953 0.578969 49.547643
0.622358 0.329750 50.529617
0.834302 0.330970 53.719469
0.771501 0.270471 56.199054
0.232047 0.539681 58.057648
0.269316 0.248239 51.549571
0.602463 0.495369 48.518919
0.483015 0.919141 49.558530
0.523192 0.265609 50.529617
0.543483 0.344546 50.529617
0.516117 0.943086 53.791682
0.274055 0.511432 54.281137
0.560108 0.376035 50.529617
0.127958 0.892273 50.423792
0.630507 0.000000 48.518919
0.616315 0.829223 50.042484
0.596683 0.732798 51.556909
0.451596 0.355347 48.627386
0.658480 0.308416 50.529617
0.344780 0.541799 53.107703
0.216433 0.593058 50.482975
0.562130 0.737197 59.146832
0.311655 0.615017 66.140270
0.658609 0.200211 56.632778
0.803711 0.268925 51.463477
0.474982 0.273445 48.518919
0.697823 0.776226 59.196031
0.877044 0.766078 49.547643
0.617081 0.299530 50.529617
0.587303 0.061907 48.518919
0.558796 0.716852 58.524052
0.678866 0.267375 53.647564
0.981297 0.610004 49.547643
0.754635 0.660054 49.547643
0.633592 0.240014 53.172181
0.729791 0.289388 55.025934
0.625020 0.524678 48.518919
0.626278 0.797996 49.631145
0.868311 0.704329 49.547643
0.905743 0.653501 49.547643
1.000000 0.750677 49.547643
0.564551 0.508473 48.518919
0.776423 0.592957 49.547643
0.533679 0.892999 61.990929
0.567526 0.210604 51.062140
0.856235 0.361615 51.020391
0.403737 0.651842 49.805990
0.865803 0.525882 49.042713
0.884610 0.805899 49.547643
0.697691 0.161222 55.255996
0.932749 0.808574 49.547643
0.563896 0.790063 60.353427
0.856132 0.598975 49.547643
0.496472 0.161850 48.518919
0.121976 0.849219 53.416755
0.515433 0.070756 48.518919
0.788904 0.355673 50.529617
0.394146 0.833729 51.587397
0.873988 0.638760 49.547643
0.304654 0.580211 62.181547
0.554272 0.226872 50.616374
0.699333 0.046540 48.518919
0.458226 0.000748 48.518919
0.533000 0.725537 63.154175
0.653591 0.153243 53.640766
0.587761 0.859777 52.668254
0.960140 0.805257 49.547643
0.618613 0.201148 53.420381
0.485512 0.348480 50.529617
0.589823 0.769050 54.533951
0.688295 0.343353 50.529617
0.293195 0.540225 57.659953
0.735904 0.380968 50.529617
0.583885 0.304978 50.529617
0.993846 0.691528 49.547643
0.664845 0.029383 48.518919
0.600223 0.006862 48.518919
0.538312 0.768026 66.650081
0.279842 0.277533 73.237286
0.509348 0.879448 55.956313
0.571628 0.017381 48.518919
0.696502 0.708427 58.206696
0.756285 0.271704 58.712424
0.514662 0.000000 48.518919
0.699100 0.571486 49.547643
0.950690 0.610905 49.547643
0.687497 0.149506 53.334176
0.539945 0.613266 48.529160
0.902673 0.806058 49.547643
0.300089 0.268464 89.134235
0.835921 0.530556 49.547643
0.489996 0.854030 51.588662
0.253655 0.576275 64.566225
0.570389 0.277064 50.529617
0.472560 0.063340 48.518919
0.991714 0.646883 49.547643
0.466264 0.159457 48.518919
0.959536 0.699408 49.547643
0.618161 0.174858 52.341267
0.704099 0.213821 61.233936
0.541036 0.926653 55.664798
0.617970 0.118906 50.529617
0.283972 0.578383 63.592701
0.538596 0.661712 56.957690
0.285454 0.645275 73.267355
0.470776 0.093336 48.518919
0.544562 0.145751 48.518919
0.690928 0.194673 60.012421
0.918281 0.615936 49.547643
0.255563 0.637956 67.454543
0.461799 0.311332 48.518919
0.922249 0.753993 49.547643
0.448931 0.226083 48.518919
0.866554 0.669631 49.547643
0.973192 0.766339 49.547643
0.277177 0.611650 69.061485
0.801519 0.701217 50.077595
0.520604 0.969067 51.860087
0.116273 0.786691 54.040840
0.264772 0.749747 48.270533
0.574921 0.155261 50.529617
0.252700 0.609557 68.404292
0.704688 0.865400 50.473325
0.812155 0.229770 47.922322
0.564196 0.901332 53.498975
0.641972 0.373686 50.529617
0.634553 0.058225 48.518919
0.783657 0.393379 50.529617
0.704803 0.388905 50.529617
0.331006 0.643141 64.668405
0.670506 0.392355 50.529617
0.341743 0.608544 60.368654
0.750532 0.693186 50.168039
0.477252 0.892532 49.208895
0.446316 0.035302 48.518919
