# Party-1 landscape F1(x) D=2
# x0 x1 value
0.000000 0.000000 9.264477
0.000000 0.010101 6.657364
0.000000 0.020202 7.277606
0.000000 0.030303 9.928280
0.000000 0.040404 7.902967
0.000000 0.050505 8.629389
0.000000 0.060606 10.626612
0.000000 0.070707 9.250767
0.000000 0.080808 10.042793
0.000000 0.090909 11.487758
0.000000 0.101010 10.838941
0.000000 0.111111 11.661035
0.000000 0.121212 12.646263
0.000000 0.131313 12.861716
0.000000 0.141414 13.610344
0.000000 0.151515 10.105494
0.000000 0.161616 2.979425
0.000000 0.171717 2.979425
0.000000 0.181818 2.979425
0.000000 0.191919 2.979425
0.000000 0.202020 2.979425
0.000000 0.212121 2.979425
0.000000 0.222222 2.979425
0.000000 0.232323 2.979425
0.000000 0.242424 2.979425
0.000000 0.252525 2.979425
0.000000 0.262626 2.979425
0.000000 0.272727 2.979425
0.000000 0.282828 2.979425
0.000000 0.292929 2.979425
0.000000 0.303030 2.979425
0.000000 0.313131 2.979425
0.000000 0.323232 2.979425
0.000000 0.333333 2.979425
0.000000 0.343434 2.979425
0.000000 0.353535 2.979425
0.000000 0.363636 2.979425
0.000000 0.373737 2.979425
0.000000 0.383838 2.979425
0.000000 0.393939 2.979425
0.000000 0.404040 2.979425
0.000000 0.414141 2.979425
0.000000 0.424242 2.979425
0.000000 0.434343 2.979425
0.000000 0.444444 2.979425
0.000000 0.454545 2.979425
0.000000 0.464646 2.979425
0.000000 0.474747 2.979425
0.000000 0.484848 1.979431
0.000000 0.494949 1.979431
0.000000 0.505051 1.979431
0.000000 0.515152 1.979431
0.000000 0.525253 1.979431
0.000000 0.535354 1.979431
0.000000 0.545455 1.979431
0.000000 0.555556 1.979431
0.000000 0.565657 1.979431
0.000000 0.575758 1.979431
0.000000 0.585859 1.995687
0.000000 0.595960 1.979431
0.000000 0.606061 2.135644
0.000000 0.616162 1.979431
0.000000 0.626263 1.979431
0.000000 0.636364 3.218660
0.000000 0.646465 1.979431
0.000000 0.656566 2.209352
0.000000 0.666667 3.508976
0.000000 0.676768 1.979431
0.000000 0.686869 3.936805
0.000000 0.696970 3.235150
0.000000 0.707071 2.638631
0.000000 0.717172 5.227718
0.000000 0.727273 3.197418
0.000000 0.737374 4.294900
0.000000 0.747475 5.488222
0.000000 0.757576 3.793872
0.000000 0.767677 5.985366
0.000000 0.777778 5.377800
0.000000 0.787879 5.041673
0.000000 0.797980 6.937437
0.000000 0.808081 5.647381
0.000000 0.818182 6.571363
0.000000 0.828283 7.290364
0.000000 0.838384 6.554878
0.000000 0.848485 7.843464
0.000000 0.858586 7.757839
0.000000 0.868687 7.947109
0.000000 0.878788 8.770157
0.000000 0.888889 8.884200
0.000000 0.898990 9.444110
0.000000 0.909091 8.433823
0.000000 0.919192 2.962858
0.000000 0.929293 1.979431
0.000000 0.939394 1.979431
0.000000 0.949495 1.979431
0.000000 0.959596 1.979431
0.000000 0.969697 1.979431
0.000000 0.979798 1.979431
0.000000 0.989899 1.979431
0.000000 1.000000 1.979431
0.010101 0.000000 7.171837
0.010101 0.010101 5.613277
0.010101 0.020202 6.394687
0.010101 0.030303 8.590847
0.010101 0.040404 7.193559
0.010101 0.050505 8.241979
0.010101 0.060606 10.346912
0.010101 0.070707 9.288873
0.010101 0.080808 10.548387
0.010101 0.090909 12.390294
0.010101 0.101010 11.923681
0.010101 0.111111 13.236283
0.010101 0.121212 14.611476
0.010101 0.131313 15.019641
0.010101 0.141414 16.072079
0.010101 0.151515 11.096037
0.010101 0.161616 2.979425
0.010101 0.171717 2.979425
0.010101 0.181818 2.979425
0.010101 0.191919 2.979425
0.010101 0.202020 2.979425
0.010101 0.212121 2.979425
0.010101 0.222222 2.979425
0.010101 0.232323 2.979425
0.010101 0.242424 2.979425
0.010101 0.252525 2.979425
0.010101 0.262626 2.979425
0.010101 0.272727 2.979425
0.010101 0.282828 2.979425
0.010101 0.292929 2.979425
