# generation best_consensus ca_size
0 50.470242 200
1 50.470242 200
2 55.772901 200
3 55.772901 200
4 55.772901 200
5 55.772901 200
6 55.772901 200
7 55.772901 200
8 55.772901 200
9 85.227957 200
10 85.227957 200
11 85.227957 200
12 85.227957 200
13 85.227957 200
14 85.227957 200
15 85.227957 200
16 85.227957 200
17 85.227957 200
18 85.227957 200
19 85.227957 200
20 85.227957 200
21 85.227957 200
22 85.227957 200
23 85.227957 200
24 85.227957 200
25 85.227957 200
26 85.227957 200
27 85.227957 200
28 85.227957 200
29 85.227957 200
30 85.227957 200
31 85.227957 200
32 85.227957 200
33 85.227957 200
34 85.227957 200
35 85.227957 200
36 85.227957 200
37 85.227957 200
38 85.227957 200
39 85.227957 200
40 85.227957 200
41 85.227957 200
42 85.227957 200
43 85.227957 200
44 85.227957 200
45 85.227957 200
46 85.227957 200
47 85.227957 200
48 85.227957 200
49 85.227957 200
50 85.227957 200
51 85.227957 200
52 85.227957 200
53 85.227957 200
54 85.227957 200
55 85.227957 200
56 85.227957 200
57 85.227957 200
58 85.227957 200
59 85.227957 200
60 85.227957 200
61 85.227957 200
62 85.227957 200
63 85.227957 200
64 85.227957 200
65 85.227957 200
66 85.227957 200
67 88.974536 200
68 88.974536 200
69 88.974536 200
70 88.974536 200
71 88.974536 200
72 88.974536 200
73 88.974536 200
74 88.974536 200
75 88.974536 200
76 88.974536 200
77 88.974536 200
78 88.974536 200
79 88.974536 200
80 88.974536 200
81 88.974536 200
82 88.974536 200
83 88.974536 200
84 88.974536 200
85 88.974536 200
86 88.974536 200
87 88.974536 200
88 88.974536 200
89 88.974536 200
90 88.974536 200
91 88.974536 200
92 88.974536 200
93 88.974536 200
94 88.974536 200
95 88.974536 200
96 88.974536 200
97 88.974536 200
98 88.974536 200
99 88.974536 200
100 88.974536 200
101 88.974536 200
102 88.974536 200
103 88.974536 200
104 88.974536 200
105 88.974536 200
106 88.974536 200
107 88.974536 200
108 88.974536 200
109 88.974536 200
110 88.974536 200
111 88.974536 200
112 88.974536 200
113 88.974536 200
114 88.974536 200
115 88.974536 200
116 88.974536 200
117 88.974536 200
118 88.974536 200
119 88.974536 200
120 88.974536 200
121 88.974536 200
122 88.974536 200
123 88.974536 200
124 88.974536 200
125 88.974536 200
126 88.974536 200
127 88.974536 200
128 88.974536 200
129 88.974536 200
130 88.974536 200
131 88.974536 200
132 88.974536 200
133 88.974536 200
134 88.974536 200
135 88.974536 200
136 88.974536 200
137 88.974536 200
138 88.974536 200
139 88.974536 200
140 88.974536 200
141 88.974536 200
