# Party-0 landscape F0(x) D=3 (slice: x0-x1, others=0.5)
# x0 x1 value
0.000000 0.000000 1.239330
0.000000 0.010101 1.623745
0.000000 0.020202 1.462249
0.000000 0.030303 1.649817
0.000000 0.040404 1.706978
0.000000 0.050505 1.708228
0.000000 0.060606 1.938114
0.000000 0.070707 1.826203
0.000000 0.080808 2.133737
0.000000 0.090909 2.012587
0.000000 0.101010 2.299262
0.000000 0.111111 2.257379
0.000000 0.121212 2.465711
0.000000 0.131313 2.534216
0.000000 0.141414 2.675829
0.000000 0.151515 2.380181
0.000000 0.161616 1.488652
0.000000 0.171717 0.550368
0.000000 0.181818 0.550368
0.000000 0.191919 0.550368
0.000000 0.202020 0.550368
0.000000 0.212121 0.550368
0.000000 0.222222 0.550368
0.000000 0.232323 0.550368
0.000000 0.242424 0.550368
0.000000 0.252525 0.550368
0.000000 0.262626 0.550368
0.000000 0.272727 0.550368
0.000000 0.282828 0.550368
0.000000 0.292929 0.550368
0.000000 0.303030 0.550368
0.000000 0.313131 0.550368
0.000000 0.323232 0.550368
0.000000 0.333333 0.550368
0.000000 0.343434 0.550368
0.000000 0.353535 0.550368
0.000000 0.363636 0.550368
0.000000 0.373737 0.550368
0.000000 0.383838 0.550368
0.000000 0.393939 0.550368
0.000000 0.404040 0.550368
0.000000 0.414141 0.550368
0.000000 0.424242 0.550368
0.000000 0.434343 0.550368
0.000000 0.444444 0.550368
0.000000 0.454545 0.550368
0.000000 0.464646 0.550368
0.000000 0.474747 0.550368
0.000000 0.484848 0.550368
0.000000 0.494949 0.550368
0.000000 0.505051 0.550368
0.000000 0.515152 0.550368
0.000000 0.525253 0.550368
0.000000 0.535354 0.550368
0.000000 0.545455 0.550368
0.000000 0.555556 0.550368
0.000000 0.565657 0.550368
0.000000 0.575758 0.550368
0.000000 0.585859 0.550368
0.000000 0.595960 4.333463
0.000000 0.606061 4.333463
0.000000 0.616162 4.804113
0.000000 0.626263 4.842060
0.000000 0.636364 4.333463
0.000000 0.646465 4.333463
0.000000 0.656566 5.041344
0.000000 0.666667 6.256344
0.000000 0.676768 6.053580
0.000000 0.686869 5.257956
0.000000 0.696970 5.786559
0.000000 0.707071 7.848082
0.000000 0.717172 9.247098
0.000000 0.727273 8.579969
0.000000 0.737374 8.145894
0.000000 0.747475 9.630137
0.000000 0.757576 11.975914
0.000000 0.767677 12.775091
0.000000 0.777778 12.389294
0.000000 0.787879 12.933023
0.000000 0.797980 14.610451
0.000000 0.808081 15.968833
0.000000 0.818182 16.643994
0.000000 0.828283 16.462572
0.000000 0.838384 5.133975
0.000000 0.848485 4.333463
0.000000 0.858586 4.333463
0.000000 0.868687 4.333463
0.000000 0.878788 4.333463
0.000000 0.888889 4.333463
0.000000 0.898990 4.333463
0.000000 0.909091 4.333463
0.000000 0.919192 4.333463
0.000000 0.929293 4.333463
0.000000 0.939394 4.333463
0.000000 0.949495 4.333463
0.000000 0.959596 4.333463
0.000000 0.969697 4.333463
0.000000 0.979798 4.333463
0.000000 0.989899 4.333463
0.000000 1.000000 4.333463
0.010101 0.000000 1.953200
0.010101 0.010101 3.000541
0.010101 0.020202 2.615278
