# gen=100 CA size=200
# x0..x(D-1) consensus
0.668512 0.278762 89.764193
0.271454 0.323042 88.682644
0.243687 0.523643 58.157028
0.281284 0.233909 75.488252
0.514773 0.464412 29.271253
0.272161 0.282145 81.886282
0.248642 0.521221 63.602036
0.517857 0.380918 29.271253
0.266911 0.374298 88.541793
0.258519 0.477911 70.281331
0.712293 0.509269 47.962075
0.681648 0.316039 86.425704
0.258965 0.425057 83.549516
0.663655 0.232437 83.689097
0.681049 0.340434 85.119957
0.238178 0.610031 41.215036
0.268000 0.331286 88.976772
0.261863 0.393293 87.665896
0.257663 0.497148 64.051978
0.723149 0.581923 37.916824
0.061642 0.034466 40.437905
0.647948 0.154843 67.649462
0.674665 0.275861 84.525165
0.667049 0.264635 88.918292
0.663935 0.259966 87.915249
0.688754 0.379146 75.956860
0.497817 0.770892 31.012839
0.650709 0.191421 74.120874
0.265704 0.332823 88.173688
0.279397 0.241135 73.734630
0.253207 0.463940 74.837290
0.294257 0.125940 46.934931
0.660309 0.189550 72.000826
0.510352 0.586240 29.271253
0.263863 0.385392 88.274800
0.288674 0.100294 42.857965
0.226648 0.538898 37.521703
0.032191 0.816183 40.150816
0.278292 0.248531 78.081283
0.246761 0.426999 64.248224
0.273567 0.370944 83.531095
0.292358 0.204169 56.143917
0.711297 0.493863 50.553916
0.214765 0.647774 29.271253
0.643416 0.138864 62.016106
0.252928 0.534838 54.634559
0.284013 0.161880 57.036370
0.233072 0.544158 42.196590
0.690017 0.392541 74.943157
0.274450 0.302526 85.304697
0.686169 0.216121 46.601311
0.242183 0.572996 50.317693
0.639337 0.115495 58.751904
0.333955 0.136472 29.271253
0.266594 0.364149 89.748923
0.210519 0.590650 29.271253
0.650280 0.169094 65.948948
0.247564 0.551131 53.416685
0.675804 0.318217 87.912269
0.245116 0.591423 47.887607
0.203455 0.553115 29.271253
0.275858 0.260958 80.111311
0.523486 0.293885 29.271253
0.524560 0.226347 29.271253
0.521569 0.327320 29.271253
0.682475 0.398072 68.891146
0.517078 0.501352 29.271253
0.699361 0.354783 56.648075
0.660970 0.210977 78.183435
0.662150 0.153355 56.645460
0.241112 0.634686 34.125510
0.775055 0.753803 28.619862
0.687017 0.357544 79.747944
0.254868 0.454843 75.527160
0.672325 0.306367 89.189135
0.269453 0.310441 86.835601
0.716505 0.525185 42.737008
0.034906 0.804154 35.289788
0.497684 0.670723 26.932890
0.670546 0.333498 80.400370
0.267642 0.305572 84.877287
0.248562 0.392736 67.956810
0.581608 0.135535 29.271253
0.255351 0.439294 80.200538
0.699498 0.374970 67.908104
0.652547 0.277907 63.460180
0.288559 0.273751 63.403339
0.561051 0.093498 26.370694
0.665583 0.248009 85.986426
0.655251 0.199469 75.842126
0.641866 0.222192 66.037355
0.694649 0.310448 60.035750
0.278923 0.410107 62.452107
0.691839 0.269252 54.552477
0.277729 0.273669 82.311866
0.247550 0.472105 62.463909
0.294539 0.154049 46.475414
0.303552 0.187207 42.739652
0.300369 0.231455 46.431207
0.322973 0.222014 29.478941
0.300005 0.075583 35.126726
0.274857 0.289207 85.011239
0.255711 0.372030 78.612789
0.334613 0.106902 29.271253
0.694466 0.438034 58.590550
0.658994 0.224552 83.093723
0.502525 0.629466 29.271253
0.179610 0.648637 26.349064
0.694889 0.421346 68.663471
0.284461 0.192641 65.390131
0.248972 0.504017 61.691400
0.272331 0.213764 63.323933
0.672276 0.367820 64.901931
0.709036 0.502800 49.346337
0.650253 0.234760 74.649441
0.341219 0.161022 27.567632
0.582634 0.100705 29.271253
0.275816 0.384332 78.296201
0.691578 0.409023 69.764484
0.286630 0.299240 68.411786
0.263262 0.402003 86.107340
0.248846 0.345582 59.627666
0.267185 0.352335 89.998431
0.307185 0.268597 38.232136
0.717424 0.427300 46.760498
0.340655 0.082106 28.176027
0.263375 0.409434 84.851018
0.709502 0.459866 48.403264
0.671922 0.293793 89.922634
0.768762 0.803507 26.860937
0.691513 0.166217 27.584383
0.669186 0.415322 46.272312
0.638255 0.351293 28.808087
0.232911 0.458372 44.821552
0.682765 0.330228 85.441563
0.267541 0.444951 69.888724
0.249026 0.307067 41.752677
0.290482 0.348841 51.232418
0.206713 0.493489 29.271253
0.747774 0.153756 26.186441
0.582367 0.783579 26.186441
0.691865 0.573810 26.186441
0.407436 0.506631 26.186441
0.347920 0.681495 26.186441
0.287862 0.183205 63.004093
0.660429 0.088072 47.662079
0.822146 0.123919 26.186441
0.841145 0.530431 26.186441
0.189972 0.186714 26.186441
0.312299 0.612362 26.186441
0.718623 0.553716 39.460722
0.851145 0.363999 26.186441
0.759450 0.518850 26.186441
0.446912 0.267144 26.186441
0.724478 0.630506 30.530996
0.377092 0.273128 26.186441
0.149044 0.387576 26.186441
0.781736 0.213971 26.186441
0.612101 0.790570 26.186441
0.824040 0.647220 26.186441
0.310188 0.689484 26.186441
0.754050 0.311417 26.186441
0.772138 0.774572 28.132856
0.804464 0.341721 26.186441
0.658324 0.774633 26.186441
0.280820 0.139096 48.619390
0.280685 0.326521 76.989992
1.000000 0.792514 26.186441
0.228122 0.688649 40.602848
