# generation best_consensus ca_size
0 28.930503 11
1 28.930503 11
2 28.930503 11
3 28.930503 11
4 28.930503 11
5 31.495400 11
6 31.495400 11
7 35.290668 11
8 35.290668 11
9 39.636060 11
10 42.272652 11
11 42.272652 11
12 42.272652 11
13 42.272652 11
14 42.272652 11
15 42.272652 11
16 42.272652 11
17 42.272652 11
18 42.272652 11
19 42.272652 11
20 80.676862 11
21 80.676862 11
22 80.676862 11
23 80.676862 11
24 80.676862 11
25 85.517659 11
26 85.517659 11
27 85.517659 11
28 85.517659 11
29 85.517659 11
30 85.517659 11
31 86.855884 11
32 86.855884 11
33 86.855884 11
34 86.855884 11
35 86.855884 11
36 86.855884 11
37 86.855884 11
38 86.855884 11
39 86.855884 11
40 86.855884 11
41 86.855884 11
42 86.855884 11
43 86.855884 11
44 86.855884 11
45 86.855884 11
46 86.855884 11
47 86.855884 11
48 86.855884 11
49 86.855884 11
50 86.855884 11
51 86.855884 11
