# Final mediating pop (post Phase 4)
# x0..x(D-1) f0 f1 consensus
0.711899 0.476709 0.251271 86.735418 78.350884 78.350884
0.768658 0.883227 0.686753 62.211499 65.523947 62.211499
0.698980 0.468864 0.229892 57.831668 48.970286 48.970286
0.379007 0.878725 0.229049 70.331203 87.144653 70.331203
0.466762 0.896753 0.035071 5.031260 6.724073 5.031260
0.480703 0.202307 0.162027 27.352052 28.064036 27.352052
0.067569 0.860746 0.379489 7.122531 3.159535 3.159535
0.014224 0.830604 0.626232 3.164819 3.159535 3.159535
0.381104 0.591413 0.518416 65.622656 23.742400 23.742400
1.000000 0.697084 0.716464 2.901349 13.632194 2.901349
0.672106 0.909341 0.578062 2.901349 4.192362 2.901349
0.576584 0.824228 0.697354 2.901349 10.765681 2.901349
0.752258 0.064119 0.417125 4.366990 2.722036 2.722036
0.583710 0.047883 0.447064 4.366990 2.722036 2.722036
1.000000 0.827796 0.566185 2.901349 2.307569 2.307569
0.805900 1.000000 0.951158 2.901349 2.307569 2.307569
1.000000 1.000000 0.664694 2.901349 2.307569 2.307569
0.942297 0.986654 0.813941 2.901349 2.307569 2.307569
1.000000 0.897632 0.905264 2.901349 2.307569 2.307569
1.000000 1.000000 1.000000 2.901349 2.307569 2.307569
0.785927 1.000000 0.826856 2.901349 2.307569 2.307569
0.758300 0.875934 1.000000 2.901349 2.307569 2.307569
0.686651 1.000000 1.000000 2.901349 2.307569 2.307569
0.898283 0.826695 0.941314 2.901349 2.307569 2.307569
0.846101 1.000000 0.712093 2.901349 2.307569 2.307569
0.850190 1.000000 0.670259 2.901349 2.307569 2.307569
1.000000 0.875934 1.000000 2.901349 2.307569 2.307569
0.894713 0.935037 1.000000 2.901349 2.307569 2.307569
0.833863 1.000000 1.000000 2.901349 2.307569 2.307569
0.699444 0.877011 0.888247 2.901349 2.307569 2.307569
0.712529 1.000000 0.690491 2.901349 2.307569 2.307569
0.963374 1.000000 1.000000 2.901349 2.307569 2.307569
0.853159 0.948721 0.891553 2.901349 2.307569 2.307569
1.000000 1.000000 0.586118 2.901349 2.307569 2.307569
1.000000 0.961322 0.549768 2.901349 2.307569 2.307569
0.810644 0.869726 0.811829 2.901349 2.307569 2.307569
0.921617 0.824750 0.795382 2.901349 2.307569 2.307569
0.885695 1.000000 0.540217 2.901349 2.307569 2.307569
0.927706 1.000000 1.000000 2.901349 2.307569 2.307569
1.000000 1.000000 0.844425 2.901349 2.307569 2.307569
1.000000 0.925524 0.847387 2.901349 2.307569 2.307569
0.675724 1.000000 0.705189 2.901349 2.307569 2.307569
0.783448 1.000000 0.884909 2.901349 2.307569 2.307569
0.862653 1.000000 0.918982 2.901349 2.307569 2.307569
0.661232 0.931714 1.000000 2.901349 2.307569 2.307569
1.000000 1.000000 0.804437 2.901349 2.307569 2.307569
0.861182 0.825500 0.573532 2.901349 2.307569 2.307569
1.000000 1.000000 0.720861 2.901349 2.307569 2.307569
0.923507 0.947380 0.728149 2.901349 2.307569 2.307569
1.000000 0.916664 0.707192 2.901349 2.307569 2.307569
0.647687 1.000000 0.849314 2.901349 2.307569 2.307569
0.687180 0.907622 0.600845 2.901349 3.971968 2.901349
0.765120 1.000000 0.741413 2.901349 2.307569 2.307569
1.000000 0.857706 0.932543 2.901349 2.307569 2.307569
0.761161 0.884356 0.679365 32.217507 44.295369 32.217507
0.972651 0.933354 0.737862 2.901349 2.307569 2.307569
0.787920 0.898727 1.000000 2.901349 2.307569 2.307569
0.728131 0.889496 0.755910 2.901349 2.307569 2.307569
0.846101 0.989151 0.759461 2.901349 2.307569 2.307569
1.000000 0.935821 0.623612 2.901349 2.307569 2.307569
0.705935 0.241343 0.000000 1.039835 2.722036 1.039835
0.646356 0.000000 0.000000 1.039835 2.722036 1.039835
0.682587 0.000000 0.000000 1.039835 2.722036 1.039835
0.704548 0.164421 0.160267 1.039835 2.722036 1.039835
0.691910 0.204944 0.358468 1.039835 3.057758 1.039835
0.602717 0.000000 0.230158 1.039835 2.722036 1.039835
0.618591 0.407934 0.260375 4.070508 2.722036 2.722036
0.685139 0.086661 0.114175 1.039835 2.722036 1.039835
0.605060 0.319890 0.044761 1.039835 2.722036 1.039835
0.693888 0.345082 0.085415 1.039835 2.722036 1.039835
0.725960 0.006008 0.160935 1.039835 2.722036 1.039835
0.310492 0.964333 0.749584 0.930352 2.762915 0.930352
0.339100 0.697134 0.905939 15.154567 11.010234 11.010234
0.447274 0.946603 0.923711 0.930352 2.762915 0.930352
0.374360 0.717838 0.789182 0.930352 2.762915 0.930352
0.425805 1.000000 0.828571 0.930352 2.762915 0.930352
0.255934 0.966201 0.983633 0.930352 2.762915 0.930352
0.432382 0.735623 0.896805 0.930352 2.762915 0.930352
0.275315 0.914435 0.987930 1.531015 2.762915 1.531015
0.386252 0.840151 0.816096 0.930352 2.762915 0.930352
0.424476 0.764087 0.987317 0.930352 2.762915 0.930352
0.738962 0.606492 0.171262 0.911207 2.722036 0.911207
0.747150 0.560901 0.422985 0.911207 2.722036 0.911207
0.579382 0.646474 0.279653 0.911207 2.722036 0.911207
0.697612 0.606723 0.360013 0.911207 2.722036 0.911207
0.604815 0.478907 0.078551 0.911207 2.722036 0.911207
0.000000 0.562580 0.012707 0.904408 3.159535 0.904408
0.038482 0.983765 0.143606 0.904408 3.159535 0.904408
0.127580 0.646570 0.657269 0.904408 3.159535 0.904408
0.002206 0.623705 0.505885 0.904408 3.159535 0.904408
0.046735 1.000000 0.297555 0.904408 3.159535 0.904408
0.113752 0.517652 0.435100 0.904408 3.159535 0.904408
0.140347 0.716226 0.000000 0.904408 3.159535 0.904408
0.000000 1.000000 0.000000 0.904408 3.159535 0.904408
0.034270 0.664284 0.000000 0.904408 3.159535 0.904408
0.082163 1.000000 0.188131 0.904408 3.159535 0.904408
0.124142 0.562434 0.228826 0.904408 3.159535 0.904408
0.103658 0.595562 0.600877 0.904408 3.159535 0.904408
0.063061 0.618899 0.389414 0.904408 3.159535 0.904408
0.143054 0.632987 0.230761 0.904408 3.159535 0.904408
0.100973 0.538615 0.000000 0.904408 3.159535 0.904408
0.115473 0.855304 0.679178 0.904408 3.159535 0.904408
0.108386 0.775259 0.664246 0.904408 3.159535 0.904408
0.014837 0.826551 0.588846 4.673706 3.159535 3.159535
0.033472 0.999067 0.344388 0.904408 3.159535 0.904408
0.111096 0.959087 0.142275 0.904408 3.159535 0.904408
0.157435 0.628025 0.272567 0.904408 3.159535 0.904408
0.123920 0.736989 0.562541 0.904408 3.159535 0.904408
0.076341 0.867805 0.377626 28.673457 3.159535 3.159535
0.041182 0.600099 0.607288 0.904408 3.159535 0.904408
