# gen=50 CA size=92
# x0..x(D-1) consensus
0.882396 0.330122 85.737042
0.576675 0.910497 49.922077
0.288311 0.668487 83.552093
0.277088 0.694270 89.953620
0.873659 0.312292 79.989989
0.892155 0.340641 89.480396
0.556339 0.901945 70.024301
0.864520 0.276657 47.405735
0.252551 0.225100 30.661936
0.692651 0.784859 36.810606
0.273212 0.706332 88.395674
0.885200 0.381686 57.744031
0.548516 0.914340 62.060872
0.516890 0.890085 32.246270
0.564402 0.819755 31.288055
0.560717 0.909507 66.540949
0.540290 0.930280 51.738978
0.926453 0.379193 64.304076
0.319038 0.640659 54.547454
0.231194 0.747620 49.109457
0.945469 0.398357 46.646226
0.895190 0.323270 86.196540
0.914487 0.363603 78.025560
0.240084 0.690889 53.729410
0.295113 0.678671 83.361269
0.562656 0.847677 46.807953
0.265787 0.687425 80.460004
0.267949 0.719593 83.505517
0.567768 0.924173 58.139024
0.554692 0.928247 54.752079
0.316840 0.610154 44.166481
0.849394 0.339233 34.580562
0.262287 0.732999 76.041128
0.899928 0.354350 84.120786
0.234411 0.223444 26.997757
0.302118 0.630965 56.667501
0.885527 0.357643 76.962888
0.250111 0.758676 58.709771
0.527710 0.917472 54.059318
0.849131 0.287152 57.053087
0.894190 0.303030 70.260245
0.930216 0.360079 57.561211
0.691184 0.804218 27.914918
0.318275 0.676731 64.216438
0.572645 0.893714 52.089474
0.955964 0.413140 34.657117
0.515118 0.926565 46.386192
0.246015 0.739803 62.831472
0.319776 0.621974 47.775875
0.925052 0.395339 48.818122
0.305921 0.673023 74.884145
0.909182 0.382959 59.528530
0.857394 0.312488 58.720047
0.507231 0.959265 31.941043
0.568524 0.865384 49.971217
0.571842 0.943042 45.503424
0.900465 0.281352 47.649552
0.235087 0.782464 38.902262
0.286679 0.657432 71.348762
0.889038 0.397795 42.616197
0.294491 0.701398 75.746255
0.854622 0.254518 30.297035
0.548516 0.879390 53.288770
0.911279 0.266809 32.804200
0.255908 0.707602 79.660011
0.711366 0.770455 25.948121
0.324084 0.590125 30.833102
0.295786 0.737187 36.185686
0.921447 0.318308 48.575450
0.327417 0.659286 52.971043
0.285100 0.623530 33.004576
0.690988 0.763274 28.643404
0.218246 0.743659 40.559770
0.537671 0.955681 37.767859
0.578828 0.955673 36.401149
0.284448 0.754891 30.693776
0.234955 0.809514 20.003064
0.342227 0.639695 37.402277
0.898521 0.417039 28.579223
0.594623 0.898900 31.651852
0.539470 0.861117 35.539495
0.929470 0.341912 49.262370
0.210541 0.782537 27.427852
0.354217 0.650290 29.030210
0.269238 0.669227 65.302007
0.819375 0.246415 24.726103
0.873805 0.256049 30.003013
0.203544 0.220160 20.504943
0.312316 0.700661 54.970177
0.514729 0.992478 21.375448
0.279185 0.249859 23.159883
0.197777 0.711202 23.088640
