# gen=0 CA size=163
# x0..x(D-1) consensus
0.854855 0.894541 88.492174
0.472091 0.583074 62.127764
0.142908 0.400740 80.537146
0.173228 0.380261 76.254679
0.264889 0.848131 36.925418
0.179004 0.323583 46.914537
0.228470 0.322221 46.914537
0.630184 0.275194 50.556439
0.614354 0.611743 42.159287
0.588998 0.575616 42.159287
0.327538 0.101004 49.055786
0.147972 0.428822 75.317542
0.395175 0.080276 72.732371
0.591196 0.497772 42.159287
0.497959 0.656989 61.187823
0.545272 0.422091 50.709120
0.520272 0.546477 62.466240
0.529192 0.583825 54.058195
0.386546 0.337967 39.936750
0.298929 0.501894 49.055786
0.537266 0.365831 51.305924
0.402272 0.496668 55.005613
0.258864 0.241299 55.219933
0.580209 0.628105 42.159287
0.439622 0.729937 48.867903
0.182824 0.629177 37.350541
0.404594 0.299388 47.682150
0.400134 0.455705 49.831537
0.423059 0.472298 50.700444
0.292378 0.230690 51.775756
0.499631 0.695851 55.343396
0.044207 0.471847 46.706215
0.120692 0.468614 64.907309
0.036106 0.440881 46.706215
0.288606 0.977504 36.925418
0.077035 0.653894 37.350541
0.087938 0.498856 57.734158
0.332309 0.859780 41.148217
0.733986 0.010444 50.700444
0.349898 0.455770 49.055786
0.672214 0.132605 59.500266
0.892540 0.302260 50.556439
0.301758 0.550800 37.350541
0.872544 0.230818 49.449514
0.075386 0.224683 46.914537
0.721482 0.301429 50.556439
0.061708 0.346221 50.250311
0.535364 0.877042 42.159287
0.541883 0.780128 42.159287
0.390261 0.547826 55.313318
0.587678 0.933663 42.159287
0.309645 0.055116 49.055786
0.095300 0.680537 37.350541
0.400912 0.809477 48.820298
0.172377 0.570194 37.350541
0.015804 0.504468 46.706215
0.587737 0.294089 50.556439
0.644752 0.725312 42.159287
0.090952 0.949264 37.350541
0.612264 0.220152 50.556439
0.173959 0.949119 46.706215
0.437374 0.904638 42.159287
0.165966 0.763483 46.706215
0.754928 0.154076 51.441356
0.239146 0.379979 36.925418
0.358595 0.193877 54.768348
0.711042 0.089562 61.507189
0.225011 0.956235 36.925418
0.724078 0.046984 56.218804
0.100545 0.141923 47.436328
0.162020 0.930883 46.706215
0.032836 0.795246 37.350541
0.587455 0.359703 42.159287
0.024037 0.718883 37.350541
0.453734 0.686595 50.211755
0.290413 0.001833 49.055786
0.373048 0.782684 52.680439
0.586966 0.094552 65.089590
0.875609 0.945804 29.224825
0.392514 0.744465 60.932488
0.263275 0.513947 47.138833
0.442487 0.285652 50.556439
0.289560 0.409340 51.897386
0.035433 0.649722 37.350541
0.564209 0.018022 51.406686
0.252402 0.788191 36.925418
0.597415 0.050455 59.928136
0.249825 0.415758 39.781459
0.140272 0.623057 37.350541
0.051118 0.160850 46.914537
0.582222 0.449770 42.159287
0.417640 0.772992 49.532265
0.983023 0.156614 49.103422
0.876617 0.188456 49.103422
0.481828 0.143994 50.700444
0.250155 0.990063 36.925418
0.692467 0.166487 52.575931
0.828707 0.041031 49.103422
0.306429 0.939298 36.925418
0.092268 0.055401 46.914537
0.160447 0.348224 73.625758
0.495829 0.018450 50.700444
0.923136 0.185913 49.103422
0.271427 0.384131 42.623710
0.154514 0.732099 43.684912
0.123123 0.010268 46.914537
0.167335 0.979818 43.106233
0.167691 0.810846 46.706215
0.933978 0.052634 49.103422
0.263015 0.149505 49.055786
0.304455 0.617058 40.306089
0.136701 0.869075 45.816568
0.498522 0.917250 42.159287
0.168906 0.263596 46.914537
0.506154 0.062734 50.700444
0.802747 0.200844 49.103422
0.093128 0.453112 62.498695
0.827157 0.312058 50.556439
0.556530 0.661565 42.159287
0.546562 0.518716 49.138689
0.486045 0.376998 50.700444
0.349262 0.013077 49.055786
0.092651 0.750328 38.548776
0.627710 0.757154 42.159287
0.471546 0.787870 48.867903
0.559901 0.173692 59.001547
0.427771 0.104628 50.700444
0.583665 0.853467 42.159287
0.580140 0.904304 42.159287
0.590541 0.179571 54.936282
0.122739 0.757445 41.693557
0.319394 0.359140 49.772131
0.595532 0.690364 42.159287
0.115818 0.601861 37.350541
0.366306 0.721635 52.259748
0.059951 0.960134 37.350541
0.411006 0.199204 54.689963
0.633076 0.356842 42.159287
0.214577 0.884660 36.925418
0.574841 0.534756 42.159287
0.412172 0.987500 36.925418
0.427989 0.331135 42.159287
0.445286 0.861048 43.701607
0.638554 0.523969 42.159287
0.376818 0.836662 46.975748
0.859142 0.052567 49.103422
0.062375 0.035432 46.914537
0.380501 0.924910 37.888870
0.511083 0.419744 50.700444
0.425183 0.599157 53.371895
0.647999 0.607773 42.159287
0.511844 0.963883 42.159287
0.340394 0.313493 48.760211
0.144919 0.497713 56.635822
0.382740 0.226804 50.556439
0.051262 0.389173 47.832541
0.561788 0.205776 50.556439
0.487764 0.518713 59.459263
0.080336 0.577905 37.350541
0.335089 0.717380 56.112979
0.817954 0.080326 49.103422
0.279691 0.810287 36.925418
0.279746 0.744988 36.925418
