# Party-1 landscape F1(x) D=2
# x0 x1 value
0.000000 0.000000 0.581709
0.000000 0.010101 0.581709
0.000000 0.020202 0.581709
0.000000 0.030303 0.581709
0.000000 0.040404 0.581709
0.000000 0.050505 0.581709
0.000000 0.060606 0.581709
0.000000 0.070707 0.581709
0.000000 0.080808 0.951908
0.000000 0.090909 1.026870
0.000000 0.101010 0.671179
0.000000 0.111111 0.581709
0.000000 0.121212 0.581709
0.000000 0.131313 0.581709
0.000000 0.141414 0.581709
0.000000 0.151515 0.967148
0.000000 0.161616 2.184178
0.000000 0.171717 4.118538
0.000000 0.181818 5.997451
0.000000 0.191919 6.901590
0.000000 0.202020 6.834836
0.000000 0.212121 6.568719
0.000000 0.222222 6.890752
0.000000 0.232323 8.376695
0.000000 0.242424 11.467251
0.000000 0.252525 16.201172
0.000000 0.262626 21.770534
0.000000 0.272727 26.885083
0.000000 0.282828 30.888129
0.000000 0.292929 34.242592
0.000000 0.303030 18.176809
0.000000 0.313131 0.581709
0.000000 0.323232 0.581709
0.000000 0.333333 0.581709
0.000000 0.343434 0.581709
0.000000 0.353535 0.581709
0.000000 0.363636 0.797648
0.000000 0.373737 0.797648
0.000000 0.383838 0.797648
0.000000 0.393939 0.797648
0.000000 0.404040 0.797648
0.000000 0.414141 0.797648
0.000000 0.424242 0.915036
0.000000 0.434343 0.797648
0.000000 0.444444 1.137863
0.000000 0.454545 0.797648
0.000000 0.464646 1.422278
0.000000 0.474747 0.797648
0.000000 0.484848 1.739392
0.000000 0.494949 0.797648
0.000000 0.505051 2.042481
0.000000 0.515152 0.797648
0.000000 0.525253 2.282056
0.000000 0.535354 0.797648
0.000000 0.545455 2.424772
0.000000 0.555556 0.865637
0.000000 0.565657 2.464074
0.000000 0.575758 1.063104
0.000000 0.585859 2.417524
0.000000 0.595960 1.228616
0.000000 0.606061 2.315443
0.000000 0.616162 1.351024
0.000000 0.626263 2.188995
0.000000 0.636364 1.432069
0.000000 0.646465 2.062804
0.000000 0.656566 1.481942
0.000000 0.666667 1.952738
0.000000 0.676768 1.513728
0.000000 0.686869 1.866982
0.000000 0.696970 1.539447
0.000000 0.707071 1.808304
0.000000 0.717172 1.568290
0.000000 0.727273 1.776257
0.000000 0.737374 1.606461
0.000000 0.747475 1.768834
0.000000 0.757576 1.657830
0.000000 0.767677 1.783653
0.000000 0.777778 1.724928
0.000000 0.787879 1.818855
0.000000 0.797980 1.810103
0.000000 0.808081 1.873937
0.000000 0.818182 1.872823
0.000000 0.828283 1.143607
0.000000 0.838384 0.797648
0.000000 0.848485 0.797648
0.000000 0.858586 0.797648
0.000000 0.868687 0.797648
0.000000 0.878788 0.797648
0.000000 0.888889 0.797648
0.000000 0.898990 0.797648
0.000000 0.909091 0.797648
0.000000 0.919192 0.797648
0.000000 0.929293 0.797648
0.000000 0.939394 0.797648
0.000000 0.949495 0.797648
0.000000 0.959596 0.797648
0.000000 0.969697 0.797648
0.000000 0.979798 0.797648
0.000000 0.989899 0.797648
0.000000 1.000000 0.797648
0.010101 0.000000 0.581709
0.010101 0.010101 0.581709
0.010101 0.020202 0.581709
0.010101 0.030303 0.581709
0.010101 0.040404 0.581709
0.010101 0.050505 0.581709
0.010101 0.060606 0.581709
0.010101 0.070707 0.581709
0.010101 0.080808 1.086656
0.010101 0.090909 0.866618
0.010101 0.101010 0.581709
0.010101 0.111111 0.581709
0.010101 0.121212 0.581709
0.010101 0.131313 0.581709
0.010101 0.141414 0.581709
0.010101 0.151515 1.650894
0.010101 0.161616 4.639625
0.010101 0.171717 8.910140
0.010101 0.181818 11.877059
0.010101 0.191919 12.193299
0.010101 0.202020 11.050841
0.010101 0.212121 10.318514
0.010101 0.222222 11.239548
0.010101 0.232323 14.643038
0.010101 0.242424 21.016749
0.010101 0.252525 29.585786
0.010101 0.262626 38.074295
0.010101 0.272727 44.587762
0.010101 0.282828 49.105138
0.010101 0.292929 52.860587
0.010101 0.303030 36.891231
0.010101 0.313131 0.581709
0.010101 0.323232 0.581709
0.010101 0.333333 0.581709
0.010101 0.343434 0.581709
0.010101 0.353535 0.581709
0.010101 0.363636 0.797648
0.010101 0.373737 0.797648
0.010101 0.383838 0.797648
0.010101 0.393939 0.797648
0.010101 0.404040 0.797648
0.010101 0.414141 0.797648
0.010101 0.424242 0.818946
0.010101 0.434343 0.797648
0.010101 0.444444 1.016447
0.010101 0.454545 0.797648
0.010101 0.464646 1.195489
0.010101 0.474747 0.797648
0.010101 0.484848 1.328979
0.010101 0.494949 0.797648
0.010101 0.505051 1.408446
0.010101 0.515152 0.797648
0.010101 0.525253 1.444885
0.010101 0.535354 0.797648
0.010101 0.545455 1.460381
0.010101 0.555556 0.860752
0.010101 0.565657 1.478659
0.010101 0.575758 0.963662
0.010101 0.585859 1.519758
0.010101 0.595960 1.066383
0.010101 0.606061 1.599028
0.010101 0.616162 1.185430
0.010101 0.626263 1.728286
0.010101 0.636364 1.337385
0.010101 0.646465 1.917148
0.010101 0.656566 1.538178
0.010101 0.666667 2.173553
0.010101 0.676768 1.803063
0.010101 0.686869 2.503268
0.010101 0.696970 2.146213
0.010101 0.707071 2.908532
0.010101 0.717172 2.579374
0.010101 0.727273 3.386242
0.010101 0.737374 3.109497
0.010101 0.747475 3.926167
0.010101 0.757576 3.735606
0.010101 0.767677 4.509688
0.010101 0.777778 4.445557
0.010101 0.787879 5.109543
0.010101 0.797980 5.213577
0.010101 0.808081 5.690929
0.010101 0.818182 5.778403
0.010101 0.828283 2.225440
0.010101 0.838384 0.797648
0.010101 0.848485 0.797648
0.010101 0.858586 0.797648
0.010101 0.868687 0.797648
0.010101 0.878788 0.797648
0.010101 0.888889 0.797648
0.010101 0.898990 0.797648
