# Final mediating pop (post Phase 4)
# x0..x(D-1) f0 f1 consensus
0.735140 0.686005 0.195120 89.873368 89.920320 89.873368
0.738911 0.688862 0.198156 89.635806 89.948044 89.635806
0.735065 0.681312 0.200001 89.262157 89.153372 89.153372
0.737430 0.688129 0.195588 89.933288 89.882154 89.882154
0.736841 0.686953 0.197938 89.950872 89.964559 89.950872
0.738268 0.687409 0.196067 89.928143 89.865922 89.865922
0.742203 0.691144 0.195678 88.854790 89.098432 88.854790
0.597678 0.237940 0.750196 51.604496 53.022496 51.604496
0.626828 0.239526 0.774745 49.697673 49.281151 49.281151
0.594692 0.238018 0.747231 51.692382 52.903841 51.692382
0.735166 0.683900 0.199168 89.838980 89.734893 89.734893
0.733401 0.682926 0.197951 89.500528 89.690041 89.500528
0.733930 0.684370 0.198999 89.836048 89.619851 89.619851
0.733902 0.687949 0.198132 89.811660 89.523126 89.523126
0.737937 0.688979 0.196498 89.770495 89.908382 89.770495
0.616273 0.240741 0.765437 49.387392 51.499084 49.387392
0.183314 0.195208 0.719446 42.360479 40.720798 40.720798
0.736011 0.687479 0.196822 89.970607 89.955170 89.955170
0.579247 0.236101 0.733458 52.232173 52.234011 52.232173
0.735513 0.686303 0.196422 89.983516 89.992105 89.983516
0.737291 0.686140 0.196841 89.992422 89.912044 89.912044
0.574220 0.235557 0.732911 50.746823 56.252537 50.746823
0.736024 0.687470 0.194970 89.983739 89.875960 89.875960
0.757270 0.558536 0.735381 32.098951 31.068139 31.068139
0.735949 0.688453 0.200513 89.265610 89.232246 89.232246
0.184259 0.197846 0.723637 41.389701 40.949317 40.949317
0.583785 0.236650 0.737504 52.204243 52.504772 52.204243
0.735378 0.686104 0.195325 89.904651 89.932930 89.904651
0.736217 0.685993 0.196028 89.947369 89.961107 89.947369
0.737266 0.686888 0.199193 89.848995 89.829784 89.829784
0.733786 0.685307 0.200897 89.880756 88.882911 88.882911
0.187585 0.195495 0.735483 41.912102 42.273502 41.912102
0.736795 0.686208 0.193558 89.707896 89.405598 89.405598
0.772755 0.589677 0.731325 33.464316 29.661550 29.661550
0.732643 0.685267 0.196101 89.722578 89.783723 89.722578
0.636000 0.244255 0.793432 46.800152 57.055002 46.800152
0.189916 0.195193 0.734613 43.829754 41.448778 41.448778
0.737802 0.688337 0.197591 89.817989 89.983121 89.817989
0.188637 0.195714 0.734487 42.796309 41.806689 41.806689
0.736580 0.686860 0.195921 89.992700 89.949109 89.949109
0.736364 0.682080 0.200304 89.553108 89.011068 89.011068
0.734678 0.687151 0.195102 89.935695 89.786495 89.786495
0.735522 0.685586 0.195383 89.843586 89.921779 89.843586
0.172125 0.198433 0.692258 38.975715 38.656031 38.656031
0.736102 0.684530 0.199462 89.941733 89.743766 89.743766
0.566458 0.236330 0.724181 51.582849 53.251626 51.582849
0.735095 0.686710 0.197286 89.992723 89.952703 89.952703
0.738976 0.687561 0.198638 89.724926 89.769956 89.724926
0.735855 0.523302 0.733017 28.756535 29.291207 28.756535
0.715392 0.484914 0.732057 26.860653 24.528223 24.528223
0.181652 0.196941 0.712929 41.933618 40.997980 40.997980
0.737661 0.686757 0.197833 89.938482 89.896980 89.896980
0.575358 0.237466 0.734994 51.425676 58.343163 51.425676
0.170746 0.201300 0.682894 38.604473 36.715887 36.715887
0.564246 0.233751 0.721098 51.394844 51.563528 51.394844
0.622445 0.240632 0.773258 49.936569 52.877597 49.936569
0.552528 0.237045 0.721249 49.994554 50.194855 49.994554
0.736981 0.685014 0.197067 89.910658 89.763280 89.763280
0.736042 0.686567 0.197119 89.998866 89.993807 89.993807
0.739189 0.691013 0.195752 89.275046 89.651578 89.275046
0.787658 0.622338 0.731011 27.272387 26.843757 26.843757
0.178888 0.195907 0.714839 40.131849 40.927075 40.131849
0.735157 0.687727 0.194301 89.940356 89.729686 89.729686
0.590784 0.237289 0.747490 50.537672 56.631028 50.537672
0.735235 0.684521 0.197748 89.859478 89.913096 89.859478
0.733455 0.685866 0.195242 89.780614 89.781923 89.780614
0.736465 0.686036 0.197120 89.990933 89.968723 89.968723
0.796526 0.638400 0.732215 25.426700 25.051453 25.051453
0.739332 0.690231 0.193848 89.608001 89.303592 89.303592
0.183715 0.194469 0.726981 41.364613 41.287401 41.287401
0.694212 0.455671 0.731126 21.489152 22.719899 21.489152
0.736623 0.684218 0.195323 89.573171 89.593139 89.573171
0.735468 0.685109 0.195642 89.800944 89.938511 89.800944
0.737283 0.687168 0.194173 89.921768 89.567969 89.567969
