# generation best_consensus ca_size
0 40.901771 17
1 42.286129 17
2 77.404451 17
3 77.404451 17
4 77.404451 17
5 77.404451 17
6 77.404451 17
7 77.404451 17
8 77.404451 17
9 77.404451 17
10 77.404451 17
11 77.404451 17
12 77.404451 17
13 77.404451 17
14 77.404451 17
15 77.404451 17
16 77.404451 17
17 77.404451 17
18 77.404451 17
19 77.404451 17
20 77.404451 17
21 77.404451 17
22 77.404451 17
23 77.404451 17
24 81.068470 17
25 81.068470 17
26 81.068470 17
27 81.068470 17
28 81.068470 17
29 82.750320 17
30 82.750320 17
31 89.511717 17
32 89.511717 17
33 89.511717 17
34 89.511717 17
35 89.511717 17
36 89.511717 17
37 89.511717 17
38 89.511717 17
39 89.511717 17
40 89.511717 17
41 89.511717 17
42 89.511717 17
43 89.511717 17
44 89.511717 17
45 89.511717 17
46 89.511717 17
47 89.511717 17
48 89.511717 17
49 89.511717 17
50 89.511717 17
51 89.511717 17
