p_id,problem_name,suite_id,dim,nopt,SR-0.01,ANOF-0.01,SR-0.05,ANOF-0.05,E_WP,D_PO
P01,p1_balanced,1,2,2,100.0000,2.0000,100.0000,2.0000,0.2066,0.0004
P01,p1_balanced,1,3,2,90.0000,1.9000,100.0000,2.0000,1.3210,0.0030
P01,p1_balanced,1,5,2,0.0000,0.0000,0.0000,0.0000,76.2025,0.4369
P01,p1_balanced,1,10,2,0.0000,0.0000,0.0000,0.0000,89.9998,0.7669
P02,p2_unequal_basins,2,2,2,100.0000,2.0000,100.0000,2.0000,0.0082,0.0006
P02,p2_unequal_basins,2,3,2,100.0000,2.0000,100.0000,2.0000,0.0524,0.0019
P02,p2_unequal_basins,2,5,2,0.0000,0.0000,0.0000,0.0000,80.8476,0.6017
P02,p2_unequal_basins,2,10,2,0.0000,0.0000,0.0000,0.0000,89.7211,1.0709
P09,p3_local_conflict,3,2,1,100.0000,1.0000,100.0000,1.0000,0.0195,0.0008
P09,p3_local_conflict,3,3,1,100.0000,1.0000,100.0000,1.0000,0.0271,0.0018
P09,p3_local_conflict,3,5,1,15.0000,0.1500,35.0000,0.3500,3.2383,0.0203
P09,p3_local_conflict,3,10,1,0.0000,0.0000,0.0000,0.0000,89.8919,0.5119
P03,p4_rugged,4,2,2,100.0000,2.0000,100.0000,2.0000,0.0004,0.0003
P03,p4_rugged,4,3,2,100.0000,2.0000,100.0000,2.0000,0.0062,0.0013
P03,p4_rugged,4,5,2,65.0000,1.6500,90.0000,1.9000,0.3611,0.0079
P03,p4_rugged,4,10,2,0.0000,0.0000,0.0000,0.0000,90.0000,0.9772
P04,p5_rotated,5,2,1,100.0000,1.0000,100.0000,1.0000,0.0027,0.0003
P04,p5_rotated,5,3,1,100.0000,1.0000,100.0000,1.0000,0.0141,0.0011
P04,p5_rotated,5,5,1,75.0000,0.7500,100.0000,1.0000,0.7465,0.0085
P04,p5_rotated,5,10,1,0.0000,0.0000,0.0000,0.0000,73.7161,0.2596
P10,p6_deceptive,6,2,2,100.0000,2.0000,100.0000,2.0000,0.0081,0.0006
P10,p6_deceptive,6,3,2,100.0000,2.0000,100.0000,2.0000,0.1181,0.0021
P10,p6_deceptive,6,5,2,0.0000,0.0000,0.0000,0.0000,74.2283,0.2304
P10,p6_deceptive,6,10,2,0.0000,0.0000,0.0000,0.0000,89.8185,1.1745
P11,p7_hierarchical,7,2,2,100.0000,2.0000,100.0000,2.0000,0.0004,0.0003
P11,p7_hierarchical,7,3,2,100.0000,2.0000,100.0000,2.0000,0.0020,0.0011
P11,p7_hierarchical,7,5,2,0.0000,0.1500,5.0000,0.5000,28.7199,0.1623
P11,p7_hierarchical,7,10,2,0.0000,0.0000,0.0000,0.0000,84.8577,0.7333
P12,p8_disconnected,8,2,2,100.0000,2.0000,100.0000,2.0000,0.0013,0.0005
P12,p8_disconnected,8,3,2,100.0000,2.0000,100.0000,2.0000,0.0121,0.0017
P12,p8_disconnected,8,5,2,15.0000,1.1500,40.0000,1.4000,0.5124,0.0074
P12,p8_disconnected,8,10,2,0.0000,0.0000,0.0000,0.0000,86.1561,0.3424
P05,p9_twenty_shared_optima,9,2,20,0.0000,15.0000,0.0000,17.5000,0.0025,0.0003
P05,p9_twenty_shared_optima,9,3,20,0.0000,7.1500,0.0000,9.6000,0.0162,0.0013
P05,p9_twenty_shared_optima,9,5,20,0.0000,2.8000,0.0000,3.5000,0.3549,0.0071
P05,p9_twenty_shared_optima,9,10,20,0.0000,0.0000,0.0000,0.0000,79.8393,0.0866
P06,p10_rotated_rugged_deceptive,10,2,6,100.0000,6.0000,100.0000,6.0000,0.0013,0.0004
P06,p10_rotated_rugged_deceptive,10,3,6,80.0000,5.8000,100.0000,6.0000,0.0132,0.0012
P06,p10_rotated_rugged_deceptive,10,5,6,0.0000,1.0000,0.0000,1.0000,0.2499,0.0055
P06,p10_rotated_rugged_deceptive,10,10,6,0.0000,0.0000,0.0000,0.0000,88.6386,0.6743
P07,p11_hierarchical_disconnected,11,2,8,70.0000,7.7000,85.0000,7.8500,0.0029,0.0003
P07,p11_hierarchical_disconnected,11,3,8,0.0000,6.7500,5.0000,6.9000,0.0238,0.0013
P07,p11_hierarchical_disconnected,11,5,8,0.0000,0.5500,0.0000,1.5000,1.0535,0.0097
P07,p11_hierarchical_disconnected,11,10,8,0.0000,0.0000,0.0000,0.0000,87.8532,0.5378
P08,p12_full_mixed_multimodal,12,2,16,75.0000,15.7000,90.0000,15.9000,0.0022,0.0003
P08,p12_full_mixed_multimodal,12,3,16,5.0000,13.3500,35.0000,15.2500,0.0246,0.0013
P08,p12_full_mixed_multimodal,12,5,16,0.0000,1.6500,0.0000,3.6500,0.5943,0.0066
P08,p12_full_mixed_multimodal,12,10,16,0.0000,0.0000,0.0000,0.0000,85.0191,0.4879
