# gen=200 mediating population
# x0..xd fitness
0.316901 0.200000 90.000000
0.657827 0.578074 43.515216
0.437719 0.663891 40.073073
0.423051 0.577156 32.382831
0.737958 0.465318 28.911020
0.316901 0.200000 90.000000
0.856705 0.787531 0.000000
0.316901 0.200000 90.000000
0.160595 0.801431 0.000000
0.192275 0.214418 64.555631
0.229347 0.531251 0.000000
0.118871 0.312882 36.412028
0.316901 0.200000 90.000000
0.643600 0.524277 39.858397
0.701134 0.701739 33.612124
0.845248 0.151288 0.000000
0.493299 0.584609 29.758580
0.412745 0.911596 56.547657
0.862962 0.406949 0.000000
0.072821 0.309402 29.880185
0.316901 0.200000 90.000000
0.710341 0.026832 0.000000
0.355100 0.790259 44.555067
0.040212 0.579043 0.000000
0.545673 0.785836 34.587060
0.316901 0.200000 90.000000
0.744151 0.497043 28.524444
0.401989 0.279027 59.597500
0.596760 0.254394 31.194314
0.316901 0.200000 90.000000
0.911876 0.863120 0.000000
0.187484 0.335276 39.717753
0.456668 0.628659 36.140097
0.316901 0.200000 90.000000
0.924999 0.868096 0.000000
0.881484 0.692020 0.000000
0.316901 0.200000 90.000000
0.415285 0.336021 42.422090
0.459707 0.467813 21.724605
0.399189 0.101440 54.551307
0.348274 0.519471 0.000000
0.201845 0.148184 61.615006
0.772845 0.373707 0.000000
0.646681 0.780325 30.532771
0.452818 0.265086 55.737608
0.623163 0.937048 20.684457
0.843115 0.769770 0.000000
0.316901 0.200000 90.000000
0.835987 0.399007 9.186508
0.881868 0.257227 0.000000
0.316901 0.200000 90.000000
0.127664 0.235617 50.343749
0.391575 0.207121 74.833849
0.970045 0.662031 0.000000
0.316901 0.200000 90.000000
0.356218 0.358339 39.001933
0.435390 0.970493 51.378342
0.521482 0.194601 48.880542
0.232860 0.317620 48.944066
0.710693 0.775028 28.567081
0.291139 0.074774 49.818964
0.839839 0.119984 0.000000
0.316901 0.200000 90.000000
0.313439 0.849901 0.000000
0.446691 0.099500 48.744766
0.536541 0.248390 43.282055
0.330364 0.232943 79.174665
0.988110 0.631257 0.000000
0.299377 0.790457 63.970167
0.316901 0.200000 90.000000
0.141175 0.701220 0.000000
0.713359 0.978957 16.128843
0.316901 0.200000 90.000000
0.350753 0.024061 33.605436
0.316901 0.500000 0.000000
0.161664 0.665786 0.000000
0.123031 0.521757 0.000000
0.039702 0.521122 0.000000
0.930608 0.060881 0.000000
0.379318 0.944695 49.739704
0.921636 0.717727 0.000000
0.316901 0.200000 90.000000
0.852459 0.883038 0.000000
0.930546 0.156316 0.000000
0.647929 0.408009 33.788330
0.507833 0.324940 34.767036
0.316901 0.200000 90.000000
0.310168 0.097759 57.438952
0.482150 0.776939 45.086434
0.556089 0.099782 32.344866
0.966666 0.913215 0.000000
0.864907 0.988205 0.000000
0.026020 0.858137 0.000000
