# generation pareto_front_size best_joint_fitness
1 3 89.972162
2 5 89.972162
3 7 89.972162
4 9 89.972162
5 11 89.972162
6 13 89.972162
7 15 89.972162
8 17 89.972162
9 19 89.972162
10 21 89.972162
11 23 89.972162
12 25 89.972162
13 27 89.972162
14 29 89.972162
15 31 89.972162
16 32 89.972162
17 33 89.972162
18 34 89.972162
19 35 89.972162
20 36 89.972162
21 37 89.972162
22 38 89.972162
23 39 89.972162
24 40 89.972162
25 41 89.972162
26 42 89.972162
27 43 89.972162
28 44 89.972162
29 2 89.972625
30 4 89.972625
31 6 89.972625
32 8 89.972625
33 10 89.972625
34 12 89.972625
35 14 89.972625
36 16 89.972625
37 18 89.972625
38 20 89.972625
39 22 89.972625
40 24 89.972625
41 26 89.972625
42 28 89.972625
43 30 89.972625
44 32 89.972625
45 34 89.972625
46 36 89.972625
47 38 89.972625
48 40 89.972625
49 42 89.972625
50 44 89.972625
51 46 89.972625
52 48 89.972625
53 50 89.972625
54 52 89.972625
55 54 89.972625
56 56 89.972625
57 58 89.972625
58 62 89.972625
59 64 89.972625
60 66 89.972625
61 68 89.972625
62 71 89.972625
63 73 89.972625
64 75 89.972625
65 77 89.972625
66 79 89.972625
67 81 89.972625
68 83 89.972625
69 85 89.972625
70 87 89.972625
71 89 89.972625
72 91 89.972625
73 93 89.972625
74 95 89.972625
75 97 89.972625
76 99 89.972625
77 101 89.972625
78 103 89.972625
79 105 89.972625
80 108 89.972625
81 4 89.972625
82 6 89.972625
83 8 89.972625
84 10 89.972625
85 12 89.972625
86 14 89.972625
87 16 89.972625
88 18 89.972625
89 20 89.972625
90 23 89.972625
91 26 89.972625
92 28 89.972625
93 30 89.972625
94 32 89.972625
95 34 89.972625
96 36 89.972625
97 39 89.972625
98 41 89.972625
99 43 89.972625
100 45 89.972625
101 47 89.972625
102 49 89.972625
103 51 89.972625
104 53 89.972625
105 55 89.972625
106 56 89.972625
107 56 89.972625
108 56 89.972625
109 56 89.972625
110 56 89.972625
111 56 89.972625
112 2 89.979291
113 4 89.979291
114 6 89.979291
115 1 89.979700
116 1 89.985126
117 2 89.985126
118 1 89.985466
119 2 89.985466
120 3 89.985466
121 4 89.985466
122 5 89.985466
123 2 89.985496
124 4 89.985496
125 1 89.992411
126 1 89.992411
127 1 89.992411
128 1 89.992411
129 1 89.992411
130 1 89.992627
131 1 89.994195
132 2 89.994195
133 3 89.994195
134 4 89.994195
135 1 89.994525
136 2 89.994727
137 2 89.995449
138 2 89.997229
139 3 89.997229
140 2 89.997328
141 3 89.997328
142 2 89.997726
143 2 89.997841
144 2 89.997936
145 2 89.998568
146 2 89.998971
147 3 89.998971
148 4 89.998971
149 1 89.998991
150 1 89.999129
151 2 89.999129
152 3 89.999129
153 5 89.999129
154 2 89.999617
155 2 89.999618
156 4 89.999618
157 6 89.999618
158 2 89.999623
159 2 89.999682
160 2 89.999707
161 2 89.999710
162 2 89.999765
163 3 89.999765
164 4 89.999765
165 2 89.999817
166 4 89.999817
167 2 89.999869
168 4 89.999869
169 2 89.999870
170 3 89.999870
171 2 89.999885
172 2 89.999902
173 2 89.999913
174 2 89.999946
175 3 89.999946
176 1 89.999955
177 2 89.999955
178 3 89.999955
179 2 89.999958
180 4 89.999958
181 2 89.999959
182 4 89.999959
183 3 89.999963
184 2 89.999964
185 2 89.999980
186 2 89.999980
187 2 89.999984
188 2 89.999985
189 2 89.999987
190 1 89.999988
191 2 89.999990
192 3 89.999990
193 2 89.999991
194 2 89.999992
195 2 89.999992
196 3 89.999993
197 2 89.999994
198 1 89.999995
199 2 89.999995
200 1 89.999995
201 2 89.999996
202 2 89.999996
203 2 89.999996
204 2 89.999997
205 3 89.999997
206 2 89.999998
207 2 89.999998
208 3 89.999998
209 2 89.999998
210 2 89.999999
211 3 89.999999
212 5 89.999999
213 2 89.999999
214 3 89.999999
215 2 89.999999
216 2 89.999999
217 3 89.999999
218 2 89.999999
219 2 89.999999
220 1 90.000000
221 2 90.000000
222 2 90.000000
223 2 90.000000
224 2 90.000000
225 2 90.000000
226 2 90.000000
227 2 90.000000
228 2 90.000000
229 1 90.000000
230 2 90.000000
231 1 90.000000
232 2 90.000000
233 2 90.000000
234 3 90.000000
235 2 90.000000
236 2 90.000000
237 2 90.000000
238 3 90.000000
239 2 90.000000
240 1 90.000000
241 1 90.000000
242 2 90.000000
243 2 90.000000
244 2 90.000000
245 1 90.000000
246 2 90.000000
247 2 90.000000
248 4 90.000000
249 5 90.000000
250 6 90.000000
251 8 90.000000
252 10 90.000000
253 3 90.000000
254 4 90.000000
255 6 90.000000
256 3 90.000000
257 5 90.000000
258 8 90.000000
259 2 90.000000
260 4 90.000000
261 6 90.000000
262 9 90.000000
263 2 90.000000
264 4 90.000000
265 6 90.000000
266 8 90.000000
267 10 90.000000
268 12 90.000000
269 14 90.000000
270 17 90.000000
271 20 90.000000
272 12 90.000000
273 15 90.000000
274 18 90.000000
275 17 90.000000
276 21 90.000000
277 25 90.000000
278 29 90.000000
279 35 90.000000
280 41 90.000000
281 46 90.000000
282 46 90.000000
283 53 90.000000
284 60 90.000000
285 67 90.000000
286 66 90.000000
287 74 90.000000
288 87 90.000000
289 96 90.000000
290 104 90.000000
291 112 90.000000
292 120 90.000000
293 128 90.000000
294 136 90.000000
295 144 90.000000
296 152 90.000000
297 160 90.000000
298 168 90.000000
299 177 90.000000
300 186 90.000000
301 194 90.000000
302 200 90.000000
303 200 90.000000
304 200 90.000000
305 200 90.000000
306 200 90.000000
