# gen=10 OSA snapshot
# x0..xd fitness
0.040005 0.468517 89.959640
0.731720 0.474032 87.921656
0.304310 0.275582 81.964348
0.965756 0.275582 77.577316
0.040005 0.618697 74.750046
0.731720 0.618697 70.452157
0.035407 0.351818 74.085803
0.304310 0.865419 63.678671
0.727730 0.303305 65.607696
0.965756 0.689890 59.770422
0.320789 0.444682 55.883852
0.973577 0.395067 61.223418
0.737083 0.242987 57.668067
0.965756 0.304265 74.344387
0.701076 0.236827 55.723103
0.937058 0.374556 61.194090
0.906893 0.256454 57.541260
0.164286 0.389288 53.639881
0.042642 0.637467 72.351925
0.739615 0.667593 66.025000
0.296643 0.209337 71.671800
0.701977 0.324669 66.724366
0.019709 0.764830 54.090871
0.921561 0.298024 62.585906
0.007110 0.444266 80.185788
0.673065 0.343297 64.197221
0.730171 0.727614 57.811479
0.727898 0.522376 81.490554
0.000000 0.745165 55.066824
0.349433 0.430802 53.972504
0.009916 0.710163 60.421158
0.045502 0.719163 60.979980
0.015933 0.595237 68.413307
0.964814 0.236368 72.008767
0.769452 0.446803 76.741477
0.040005 0.439467 86.044568
0.701170 0.550526 74.714119
0.692235 0.485341 76.762612
0.039808 0.499637 85.782403
0.642981 0.465100 62.923966
0.109575 0.435957 70.077796
0.700472 0.718057 56.684301
0.613380 0.393719 52.974897
0.370229 0.326391 58.221014
0.699901 0.282105 61.299552
0.000000 0.525676 76.353269
0.109291 0.615699 59.467754
0.896812 0.208255 52.293564
0.148631 0.435591 59.321833
0.100386 0.485760 72.987052
0.985759 0.260932 70.608027
0.040005 0.522229 82.715101
0.304310 0.350672 70.682902
0.947123 0.428176 55.820693
0.000000 0.635140 65.362457
0.000000 0.404687 75.806854
0.156164 0.546540 55.860816
0.059828 0.301813 66.690180
0.165079 0.498651 54.812108
0.000000 0.285990 62.776504
0.022753 0.666437 67.144093
0.670911 0.389758 67.617590
0.314176 0.783320 54.145112
0.128694 0.508897 64.630853
0.329668 0.380743 63.925714
0.310067 0.310880 76.321870
0.304310 0.401330 63.041909
0.292662 0.443944 56.310806
0.000000 0.468517 78.769476
0.080109 0.533351 75.775101
0.736639 0.757658 53.855344
0.042292 0.259284 61.567680
0.114648 0.312981 60.318050
0.013763 0.474013 82.583135
0.302471 0.191642 69.316336
0.731720 0.423328 81.407766
1.000000 0.436434 52.632812
0.679366 0.521041 71.965349
0.075382 0.676063 63.828869
0.978816 0.173599 62.418070
0.014036 0.617273 68.834497
0.606133 0.533712 51.659910
1.000000 0.191216 60.840676
0.351458 0.925190 51.960457
0.000000 0.342287 69.497293
0.665612 0.576442 54.534980
0.705846 0.424104 78.245885
0.354727 0.157643 57.230371
0.307929 0.106576 56.467959
1.000000 0.688763 51.825355
0.757283 0.336220 68.554705
0.728472 0.378388 75.470480
0.323661 0.324688 72.063832
0.968887 0.351057 67.637569
0.041299 0.395464 80.063439
0.990161 0.301469 68.921318
1.000000 0.223247 63.774558
0.073462 0.420023 78.581726
0.040005 0.673386 67.376815
0.965756 0.463978 51.667134
0.020200 0.393427 78.366711
0.040677 0.585412 70.385751
0.735193 0.543369 78.760718
0.352983 0.216592 63.133254
0.086885 0.581948 63.396538
0.657329 0.430139 66.244699
0.036233 0.421688 83.536969
0.300963 0.256319 78.882530
0.723343 0.591689 66.586567
0.732377 0.289450 63.812825
0.116482 0.389027 66.066574
0.102404 0.347125 66.010951
0.036696 0.289522 65.661520
0.120595 0.268662 54.732895
0.000000 0.492333 78.315706
0.071982 0.371123 74.045606
0.922454 0.150407 54.513630
0.078264 0.735965 56.616259
0.074790 0.259302 59.969442
0.042190 0.203264 53.961353
