# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2213628833 0.2794788868 -1.9504598166 -1.5436477924 0.9652793652 0.9095939938 0.9095939938 0.2213628833 0.2794788868 0.3751718733 0.2096731042 0.4628417776 0.3791564684 0.5808742049 0.4859430056 0.7586254746 0.9387900353
0.6806769758 0.1146567191 1.2647388305 -2.6974029662 0.9652793652 0.9652793652 0.9652793652 0.6806769758 0.1146567191 0.8932501462 0.7587602017 0.6798795225 0.3900435786 0.0494121269 0.1295329837 0.8207913081 0.4560956291
0.5020820131 0.2106024665 0.0145740918 -2.0257827346 0.9652793652 0.9184720377 0.9184720377 0.5020820131 0.2106024665 0.2056600986 0.7339677392 0.3027614733 0.2076770354 0.5558610136 0.9781723764 0.9694181231 0.4814292475
0.9642443382 0.5339743842 3.2497103672 0.2378206893 0.9652793652 0.6359274789 0.6359274789 0.9642443382 0.5339743842 1.0000000000 0.8199261775 0.1090030965 0.1728173528 0.8257658233 0.0179852398 0.7258547914 0.9662623801
0.8243591630 0.0891051704 2.2705141407 -2.8762638070 0.9652793652 0.9652793652 0.9652793652 0.8243591630 0.0891051704 0.3917296941 0.5984252416 0.4150399268 0.5886069696 0.8802215588 0.2806499360 0.4784081128 0.4395437419
0.0818571127 0.0246431003 -2.9270002109 -3.3274982978 0.9652793652 0.9652793652 0.9652793652 0.0818571127 0.0246431003 0.1293578460 0.7389212867 0.2462022703 0.2823371896 0.4770855778 0.0784486101 0.7132257418 0.2253038458
0.5367418238 0.8837162534 0.2571927663 2.6860137737 0.9652793652 0.9652793652 0.9652793652 0.5367418238 0.8837162534 0.5466196283 0.2149581203 0.2119157712 0.0318890792 0.6484258225 0.2622915822 0.5146272757 0.4054259429
0.9803429440 0.2230454129 3.3624006079 -1.9386821100 0.9652793652 0.9652793652 0.9652793652 0.9803429440 0.2230454129 0.8879750259 0.4534031195 0.1578216150 0.1657539072 0.6938781278 0.4874550224 0.5161087872 0.7343419460
0.3703639753 0.8846709778 -0.9074521726 2.6926968443 0.9652793652 0.9652793652 0.9652793652 0.3703639753 0.8846709778 0.9503691087 0.5217881070 0.8515618167 0.4927480793 0.1917037805 0.7164997677 0.3352138638 0.8042158045
0.8210039701 0.4993692555 2.2470277904 -0.0044152114 0.9652793652 0.6359274789 0.6359274789 0.8210039701 0.4993692555 0.9941259579 0.7643405755 0.0371429151 0.0616752629 0.8589864914 0.2497154918 0.3432052485 0.1649717204
0.4157936500 0.8707344718 -0.5894444501 2.5951413025 0.9652793652 0.9652793652 0.9652793652 0.4157936500 0.8707344718 0.9676852794 0.5260800986 0.8622033181 0.4819261158 0.2139777098 0.6942040313 0.3161855199 0.8399141181
0.4235876760 0.9437536881 -0.5348862679 3.1062758170 0.9652793652 0.9652793652 0.9652793652 0.4235876760 0.9437536881 0.8452397249 0.5702683206 0.4232309585 0.9613163044 0.1092851637 0.0958191584 0.7852657976 0.7516591832
0.8999446689 0.8356609854 2.7996126820 2.3496268980 0.9652793652 0.9652793652 0.9652793652 0.8999446689 0.8356609854 0.9119489641 0.5020121712 0.4644977031 0.0400320816 0.2485378498 0.3817546291 0.4139969118 0.1827335440
0.3829437540 0.8798251007 -0.8193937222 2.6587757047 0.9652793652 0.9652793652 0.9652793652 0.3829437540 0.8798251007 1.0000000000 0.5441586827 0.8075654768 0.4723579552 0.1892541503 0.7010581534 0.3268817599 0.8353156680
0.8445557433 0.2339863152 2.4118902028 -1.8620957937 0.9652793652 0.9184720377 0.9184720377 0.8445557433 0.2339863152 0.1238352826 0.3920442120 0.7075795907 0.4765738865 0.5292035356 0.4711964794 0.9308298261 0.3706851598
