# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.0000000000 0.2235584776 -3.5000000000 -1.9350906571 0.5482237431 0.4677188567 0.4677188567 0.0000000000 0.2235584776 0.1999849498 0.1041467384 0.6270499022 0.5276515718 0.5567610810 0.4051971980 0.6503409894 0.6019842704
0.0595580226 0.2349115681 -3.0830938415 -1.8556190234 0.5102862496 0.4677188567 0.4677188567 0.0595580226 0.2349115681 0.2553767544 0.0000000000 0.7107454242 0.4805783144 0.5131513128 0.4916835823 0.5414824305 0.6162423984
0.0903975095 0.3854765287 -2.8672174338 -0.8016642992 0.4750499261 0.4677188567 0.4677188567 0.0903975095 0.3854765287 0.1852316544 0.0000000000 0.7687281011 0.3856172290 0.6276894511 0.5848117049 0.4880482104 0.4173272472
0.1643291710 0.3802073097 -2.3496958030 -0.8385488323 0.4730291340 0.4677188567 0.4677188567 0.1643291710 0.3802073097 0.1789099426 0.0000000000 0.5386574732 0.4399399093 0.5074604648 0.6414332615 0.4074453652 0.5501027917
0.1105226942 0.2310848703 -2.7263411404 -1.8824059078 0.4713868079 0.4677188567 0.4677188567 0.1105226942 0.2310848703 0.2799678602 0.0000000000 0.6467894038 0.3954462842 0.4799460579 0.6454562776 0.4931436688 0.6918574068
0.0000000000 0.1472546915 -3.5000000000 -2.4692171594 0.4709273038 0.4677188567 0.4677188567 0.0000000000 0.1472546915 0.3794196824 0.2153289840 0.4873781391 0.5045077657 0.5642914056 0.2465962781 0.5789491979 0.7091771158
0.0373991325 0.3222719529 -3.2382060728 -1.2440963295 0.4690202510 0.4677188567 0.4677188567 0.0373991325 0.3222719529 0.1015791785 0.0464928434 0.5545104308 0.2448836333 0.5008198952 0.5665967722 0.5896566636 0.6954865506
0.0248593733 0.1694734359 -3.3259843870 -2.3136859489 0.4689256204 0.4677188567 0.4677188567 0.0248593733 0.1694734359 0.1884858581 0.0887051096 0.5492139560 0.6351220777 0.6254639023 0.4317830848 0.6618810356 0.6427282857
0.0000000000 0.3184908850 -3.5000000000 -1.2705638050 0.4688502322 0.4677188567 0.4677188567 0.0000000000 0.3184908850 0.1038800618 0.1682280842 0.6164051611 0.5063949948 0.5531168645 0.5388115812 0.6982199733 0.6139271350
0.0000000000 0.3330351671 -3.5000000000 -1.1687538301 0.4683797593 0.4677188567 0.4677188567 0.0000000000 0.3330351671 0.0311957739 0.3578868847 0.5155625464 0.4112690049 0.5567564431 0.3360824649 0.9788936377 0.6992314603
0.0000000000 0.1079164132 -3.5000000000 -2.7445851079 0.4680787251 0.4677188567 0.4677188567 0.0000000000 0.1079164132 0.3580813083 0.0339885256 0.6518406519 0.5657890190 0.5232283106 0.5021955522 0.6429454168 0.5632087278
0.0000000000 0.3659992628 -3.5000000000 -0.9380051603 0.4678636251 0.4677188567 0.4677188567 0.0000000000 0.3659992628 0.1214341838 0.0000000000 0.6324585648 0.3885482510 0.6213783476 0.6339217455 0.6016459711 0.6126832197
0.0000000000 0.2474826484 -3.5000000000 -1.7676214613 0.4677872069 0.4677188567 0.4677188567 0.0000000000 0.2474826484 0.1914256197 0.0746036782 0.3299174791 0.4587594262 0.4139126959 0.4117346077 0.5834602092 0.5267119283
0.1528042210 0.5243447204 -2.4303704532 0.1704130427 0.4677284613 0.4677188567 0.4677188567 0.1528042210 0.5243447204 0.2133184678 0.0495751420 0.5839877025 0.3533351009 0.6162041474 0.6354019617 0.7340626030 0.5564113541
0.0425580850 0.1982122530 -3.2020934050 -2.1125142288 0.4677188567 0.4677188567 0.4677188567 0.0425580850 0.1982122530 0.1265346445 0.9432248697 0.9917084591 0.8567081881 0.8158425548 0.0473139299 0.2799442266 0.3237237497
0.5333129948 0.5713076456 0.2331909634 0.4991535194 0.4677188567 0.4331636810 0.4331636810 0.5333129948 0.5713076456 0.9715118899 0.4602550255 0.7651181015 0.4247684570 0.8967718398 0.2640991941 0.1763904290 0.6859793474
0.7206849379 0.2283604205 1.5447945654 -1.9014770568 0.4677188567 0.4677188567 0.4677188567 0.7206849379 0.2283604205 0.3636285386 0.0645650188 0.4105487529 0.2712961638 0.5698861990 0.4198421591 0.9456544544 0.1687642970
0.0845403391 0.1249154959 -2.9082176261 -2.6255915287 0.4677188567 0.4677188567 0.4677188567 0.0845403391 0.1249154959 0.4552837631 0.4110514915 0.7755307982 0.3242362852 0.3340143196 0.2759618091 0.4481047099 0.8513360708
0.7667669590 0.4415469050 1.8673687131 -0.4091716652 0.4677188567 0.3524211225 0.3524211225 0.7667669590 0.4415469050 0.8423377674 0.2484358771 0.8848439227 0.6390360668 0.6378145730 0.7008298422 0.5765886351 0.2058999489
0.6987582824 0.1526559963 1.3913079765 -2.4314080260 0.4677188567 0.4677188567 0.4677188567 0.6987582824 0.1526559963 0.4886594673 0.9731817324 0.3381325432 0.4740701907 0.4607234219 0.3897328452 0.8525858664 0.3163762115
0.1593877663 0.3248821048 -2.3842856362 -1.2258252664 0.4677188567 0.4677188567 0.4677188567 0.1593877663 0.3248821048 0.4671690714 0.2335162436 0.6175786253 0.4853515072 0.6195659659 0.4924495188 0.6287895223 0.0961474257
0.7471914245 0.2237088420 1.7303399713 -1.9340381061 0.4677188567 0.4677188567 0.4677188567 0.7471914245 0.2237088420 0.3393723216 0.0127855335 0.4058176675 0.2810565342 0.5563542143 0.4332606470 0.9765827140 0.1791789013
0.0402781151 0.2205757263 -3.2180531943 -1.9559699157 0.4677188567 0.4677188567 0.4677188567 0.0402781151 0.2205757263 0.9590495246 0.3013904988 0.4256419165 0.3271442733 0.7369299340 0.9547531249 0.8584708259 0.4485140395
0.2214905366 0.8937864818 -1.9495662435 2.7565053724 0.4677188567 0.4677188567 0.4677188567 0.2214905366 0.8937864818 0.2726627656 0.2610403035 0.8379560145 0.1979127415 0.7506413691 0.3849795519 0.9480125078 0.9135450680
