# from_x0 from_x1 to_x0 to_x1 length
1.4762528218 2.4484593778 1.5855202624 2.3458997916 0.2959610509
1.9707864789 1.9796429512 1.5855202624 2.3458997916 0.2621754485
1.7868487627 2.4036137463 1.5855202624 2.3458997916 0.2552374899
1.3518264103 3.5000000000 1.7868487627 2.4036137463 0.3449536346
2.1192405858 2.2918528195 1.9707864789 1.9796429512 0.1752185519
2.3056634085 1.8128937547 1.9707864789 1.9796429512 0.4764355687
1.7228370877 3.5000000000 1.5855202624 2.3458997916 0.3071228136
1.9612567231 1.5487778998 1.9707864789 1.9796429512 0.2018699521
1.4810956368 2.6131187411 1.7868487627 2.4036137463 0.5086831343
2.3940555630 3.0613234413 1.9707864789 1.9796429512 0.3067724067
1.7868116386 2.4721138767 1.9707864789 1.9796429512 0.2365931204
2.1228628020 2.2567931999 2.3056634085 1.8128937547 0.3482858484
2.3032386400 2.8086912338 1.9707864789 1.9796429512 0.3954344695
2.3299300478 -1.3432318389 2.3056634085 1.8128937547 0.9537584152
1.9039020425 3.0023773979 1.7868116386 2.4721138767 0.2774264586
1.6032434875 -1.6950667653 2.3299300478 -1.3432318389 0.4482435080
2.2877476904 2.4304861383 1.9039020425 3.0023773979 0.2750910129
2.6952979308 2.6610439107 2.3940555630 3.0613234413 0.2640569129
2.2790416550 2.2254802564 1.9707864789 1.9796429512 0.2486519411
2.1799948255 2.2639815241 2.1192405858 2.2918528195 0.2048712048
2.3292283150 2.4912582665 1.4762528218 2.4484593778 0.3793367690
1.3307329452 3.0706163643 2.1192405858 2.2918528195 0.2496803665
2.5645348775 1.8558943105 1.9612567231 1.5487778998 0.1805521018
1.3985256662 -1.2444546301 1.6032434875 -1.6950667653 0.3016999590
1.6582019318 2.5532886478 1.3307329452 3.0706163643 0.3034422687
2.4953606113 2.5701018449 1.9707864789 1.9796429512 0.2717322947
2.2437715050 2.2539097545 1.9707864789 1.9796429512 0.2241560486
1.6077111451 2.7108139178 2.2790416550 2.2254802564 0.3100404945
2.5004022180 1.7028009593 2.2437715050 2.2539097545 0.2883546600
1.9526469637 1.3512072265 2.1192405858 2.2918528195 0.2043598847
2.4112427819 -0.6628013324 1.3985256662 -1.2444546301 0.3741000644
1.4442269124 2.0600703459 1.9707864789 1.9796429512 0.2370147437
1.9207078044 1.9336665267 1.6077111451 2.7108139178 0.1766655103
1.1018149228 2.0074138645 2.1192405858 2.2918528195 0.2688600206
2.5577941547 3.5000000000 1.9039020425 3.0023773979 0.3734160682
1.9754527955 1.1153155638 1.6582019318 2.5532886478 0.2766153501
1.5136348758 3.4522896900 1.7228370877 3.5000000000 0.3398860859
1.3226902897 -1.5694568000 1.3985256662 -1.2444546301 0.2657159449
1.7267657830 1.5301730907 2.2437715050 2.2539097545 0.3142817471
2.7838388229 -3.5000000000 2.5004022180 1.7028009593 1.1954880766
-2.1238421704 -1.2571551956 2.4112427819 -0.6628013324 0.9876103458
2.7642996262 -2.7570113023 1.6032434875 -1.6950667653 0.7161485838
1.0260790018 -1.6193711851 1.3226902897 -1.5694568000 0.0809731588
-0.5342737957 -0.4268379504 1.9754527955 1.1153155638 1.0230875740
3.1808636499 -3.4703178839 1.9207078044 1.9336665267 1.2259514814
-0.0919190640 -2.5768951389 2.3299300478 -1.3432318389 0.8841540546
-0.4176875069 -2.3126163493 2.3056634085 1.8128937547 1.1386725658
-0.0609949547 -3.1012666748 1.1018149228 2.0074138645 1.1425826134
-1.3705933815 1.7450467813 1.3985256662 -1.2444546301 0.9751250721
1.3205676388 -1.6639185500 2.3299300478 -1.3432318389 1.1212152884
-2.9092937111 3.3592158004 2.4953606113 2.5701018449 1.3031465503
-0.7791796463 -2.4388033965 2.3299300478 -1.3432318389 0.8608943535
-2.7897048390 -1.2775550064 1.3226902897 -1.5694568000 1.0080690067
3.0197136682 1.2092802456 2.6952979308 2.6610439107 0.8883512201
0.4108242209 -1.8682343966 1.3226902897 -1.5694568000 0.8517301558
-3.2644846113 1.6318687767 2.3056634085 1.8128937547 0.9722916886
-1.8634656017 -1.4177319769 1.3226902897 -1.5694568000 1.1465971195
1.3733373765 -2.0885658422 2.5004022180 1.7028009593 1.0564588687
-0.4197793077 -1.6737490419 2.3299300478 -1.3432318389 0.8976602416
-1.6715264832 0.4026552136 2.3056634085 1.8128937547 0.9652295776
-3.1825767848 2.1702115887 2.4953606113 2.5701018449 1.2614124037
3.4651410211 3.4384893960 2.5645348775 1.8558943105 0.6444243700
2.7899157141 -2.9707493731 2.5004022180 1.7028009593 1.1287587461
3.4718293875 -2.2755680157 2.3299300478 -1.3432318389 1.0595157652
-3.3134544232 -2.7433582960 2.3056634085 1.8128937547 1.3443893376
0.2504937229 -1.1065942357 2.3056634085 1.8128937547 1.0948815531
-2.2841733156 0.3310246077 1.3226902897 -1.5694568000 0.9470760696
-1.9699712999 -1.9923802330 2.3299300478 -1.3432318389 0.8086093748
2.9164967384 0.6683574916 1.1018149228 2.0074138645 0.7840750856
0.1217319138 1.7474551827 2.4953606113 2.5701018449 0.8209110771
2.7839815775 -3.1513067782 2.5004022180 1.7028009593 1.1341329404
-1.4612565505 1.8175964503 1.6077111451 2.7108139178 1.0663834385
-0.6802096304 2.8511833956 2.6952979308 2.6610439107 0.8777044031
2.6334934666 -3.1351054154 2.5004022180 1.7028009593 1.1498362608
2.2041610684 1.5718189048 2.3292283150 2.4912582665 0.6857476553
2.1961518678 2.9862266573 2.3299300478 -1.3432318389 0.7899365668
1.2415013369 -0.5367791113 1.7267657830 1.5301730907 0.9765799488
2.3564272361 -3.2787959788 2.5004022180 1.7028009593 1.1665222708
3.4423453503 -1.3249446839 2.3299300478 -1.3432318389 0.9275380513
2.7467059310 -3.3707608848 2.5004022180 1.7028009593 1.1624021936
