# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.7265028946 0.8351285417 1.5855202624 2.3458997916 1.9143974398 1.4442328275 1.4442328275 0.7265028946 0.8351285417 0.3428439833 0.3646750265 0.2034109724 0.6456099227 0.9046720140 0.7586590218 0.7465614299 0.7411383373
0.7108932603 0.8497799111 1.4762528218 2.4484593778 1.8843065429 1.4442328275 1.4442328275 0.7108932603 0.8497799111 0.2089885834 0.4628273245 0.2886045232 0.7630325413 0.7539605374 0.7419413916 0.7612616341 0.8649444027
0.7815409256 0.7828061359 1.9707864789 1.9796429512 1.8808347230 1.4442328275 1.4442328275 0.7815409256 0.7828061359 0.3077936270 0.4441882179 0.1899652093 0.5212704145 0.7570425071 0.6774166566 0.8131743077 0.6578010635
0.7552641090 0.8433733923 1.7868487627 2.4036137463 1.7968138115 1.4442328275 1.4442328275 0.7552641090 0.8433733923 0.4006981089 0.3856764604 0.1830094341 0.7509647336 0.7780436172 0.8804756788 0.8306981078 0.6362863327
0.6931180586 1.0000000000 1.3518264103 3.5000000000 1.5677219218 1.4442328275 1.4442328275 0.6931180586 1.0000000000 0.2167639277 0.4289702245 0.2116252329 0.6259141109 0.8711578303 1.0000000000 0.7971815074 0.5164671086
0.8027486551 0.8274075456 2.1192405858 2.2918528195 1.5601743729 1.4442328275 1.4442328275 0.8027486551 0.8274075456 0.2522484432 0.3842564132 0.1863572265 0.5000420788 0.8091431591 0.6670708500 0.8658753698 0.7823916866
0.8293804869 0.7589848221 2.3056634085 1.8128937547 1.5474915745 1.1984727292 1.1984727292 0.8293804869 0.7589848221 0.2780040922 0.5888749768 0.2966096643 0.8709671183 0.6357074346 0.5734894626 0.7967363485 0.4507768972
0.7461195840 1.0000000000 1.7228370877 3.5000000000 1.5442488413 1.4442328275 1.4442328275 0.7461195840 1.0000000000 0.2261828417 0.2106635372 0.2446332281 0.5347727172 1.0000000000 0.8070774092 0.7527802426 0.6781062005
0.7801795319 0.7212539857 1.9612567231 1.5487778998 1.5095248233 1.4442328275 1.4442328275 0.7801795319 0.7212539857 0.2760456110 0.5195458882 0.1693992002 0.6546941586 0.8183957447 0.6041101352 0.8625918935 0.6361395272
0.7115850910 0.8733026773 1.4810956368 2.6131187411 1.4895555566 1.4446397073 1.4446397073 0.7115850910 0.8733026773 0.3137227380 0.4343843256 0.2098891231 1.0000000000 0.6370357589 1.0000000000 0.8340821668 0.2501569137
0.8420079376 0.9373319202 2.3940555630 3.0613234413 1.4873119546 1.4442328275 1.4442328275 0.8420079376 0.9373319202 0.3908491916 0.2947522384 0.1106473361 0.5582003549 0.6856961553 0.5663476628 0.7316847901 0.5828131786
0.7552588055 0.8531591252 1.7868116386 2.4721138767 1.4757179675 1.4442328275 1.4442328275 0.7552588055 0.8531591252 0.3946881102 0.4563855390 0.1980189364 0.6820366945 0.7730107245 0.6687524383 0.7331780735 0.5578186832
0.8032661146 0.8223990286 2.1228628020 2.2567931999 1.4742231276 1.4470042900 1.4470042900 0.8032661146 0.8223990286 0.2113910632 0.3307633074 0.2734134573 0.7919673406 0.7277435004 0.6532724452 0.8577842626 0.3086539144
0.8290340914 0.9012416048 2.3032386400 2.8086912338 1.4721192268 1.4442328275 1.4442328275 0.8290340914 0.9012416048 0.2452128217 0.4081244810 0.2116724120 0.4538958364 0.7432438745 0.4342797226 1.0000000000 0.4689927966
0.8328471497 0.3081097373 2.3299300478 -1.3432318389 1.4682324102 1.4442328275 1.4442328275 0.8328471497 0.3081097373 0.7252340576 0.5202695581 0.0751915957 0.8704075843 0.2551033125 0.5882952951 0.2739696436 0.2657271824
