# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.4616640604 0.7458214009 -0.2683515771 1.7207498060 0.6262586543 1.4391845991 0.6262586543 0.4616640604 0.7458214009 0.9120727021 0.6692131408 0.2377073031 0.4366287918 0.6266171937 0.9367586369 0.3708994165 0.9356654051
0.5775592641 0.7087056296 0.5429148487 1.4609394071 0.6262586543 1.4391845991 0.6262586543 0.5775592641 0.7087056296 0.9970505557 1.0000000000 0.6240612559 0.6620559300 0.4564764487 0.6160459055 0.5392483471 0.8462095227
0.5487821868 0.9232617185 0.3414753076 2.9628320297 0.6262586543 1.4391845991 0.6262586543 0.5487821868 0.9232617185 1.0000000000 0.8430519667 1.0000000000 0.0967468581 0.0000000000 0.0182280123 0.0100961102 0.3213982583
0.3480736063 0.9144973533 -1.0634847562 2.9014814728 0.6262586543 1.4391845991 0.6262586543 0.3480736063 0.9144973533 0.9204701791 0.6692131408 0.7329608180 0.7410355634 0.6644586463 0.9367586369 0.3708994165 0.7465991836
0.5725586506 0.9755343318 0.5079105539 3.3287403227 0.6262586543 1.4391845991 0.6262586543 0.5725586506 0.9755343318 1.0000000000 0.6629963345 0.8830708358 0.0000000000 0.2280976099 0.9276113506 1.0000000000 0.4373312003
0.2071045657 0.8954358435 -2.0502680400 2.7680509046 0.6262586543 1.4391845991 0.6262586543 0.2071045657 0.8954358435 0.9094250632 0.8670321560 0.7602134187 0.8071908599 0.4689598825 0.6668807021 0.1351456577 0.6843249664
0.0764241106 0.6467425929 -2.9650312259 1.0271981506 0.6262586543 1.4391845991 0.6262586543 0.0764241106 0.6467425929 1.0000000000 0.9205578332 0.3136397588 0.4110553447 0.0000000000 0.9778418721 0.0000000000 0.7769063010
0.4068863218 0.6981298369 -0.6517957471 1.3869088582 0.6262586543 1.4391845991 0.6262586543 0.4068863218 0.6981298369 1.0000000000 1.0000000000 0.0493876577 0.9217346681 0.5938081395 1.0000000000 0.5632542679 0.3315443814
0.4049396727 0.7448280251 -0.6654222914 1.7137961759 0.6262586543 1.4391845991 0.6262586543 0.4049396727 0.7448280251 1.0000000000 0.9933478433 0.1044298267 0.9119664108 0.5980021520 0.9962302475 0.5726462465 0.3592949546
0.4453764567 0.9838715995 -0.3823648030 3.3871011966 0.6262586543 1.4391845991 0.6262586543 0.4453764567 0.9838715995 0.9991525579 1.0000000000 0.0106346939 0.4563324356 0.4188300928 0.8351330580 0.4975933473 0.4019797674
0.3903553164 0.9872075257 -0.7675127854 3.4104526796 0.6262586543 1.4391845991 0.6262586543 0.3903553164 0.9872075257 1.0000000000 0.7981544421 0.0000000000 0.9203633818 0.8324182212 0.7718317701 0.0000000000 0.6782830277
0.5730420426 0.7486904975 0.5112942981 1.7408334825 0.6262586543 1.4391845991 0.6262586543 0.5730420426 0.7486904975 1.0000000000 0.9322324906 0.6411176761 0.6908296397 0.4793274107 0.6512773988 0.5122352170 0.8880036726
0.1960728813 0.8296063994 -2.1274898307 2.3072447961 0.6262586543 1.4391845991 0.6262586543 0.1960728813 0.8296063994 0.9162448336 0.8390364431 0.7514584535 0.8002167645 0.4049256779 0.6070196256 0.1645972903 0.6450145026
0.0697410004 0.6615530199 -3.0118129971 1.1308711395 0.6262586543 1.4391845991 0.6262586543 0.0697410004 0.6615530199 1.0000000000 0.8889481747 0.3352050758 0.4460378772 0.0698035302 0.9709684151 0.0000000000 0.7353165703
0.5440332819 0.8761343656 0.3082329731 2.6329405593 0.6262586543 1.4391845991 0.6262586543 0.5440332819 0.8761343656 1.0000000000 0.8307329149 0.9652805650 0.1373692173 0.0305529686 0.0083645592 0.0000000000 0.3322572144
0.0000000000 1.0000000000 -3.5000000000 3.5000000000 0.6262586543 1.4391845991 0.6262586543 0.0000000000 1.0000000000 1.0000000000 0.7733558953 0.0000000000 0.9855097745 0.6495815306 1.0000000000 0.0933428248 0.5042735041
0.4170194000 0.7731669521 -0.5808642002 1.9121686647 0.6262586543 1.4391845991 0.6262586543 0.4170194000 0.7731669521 0.9875478170 0.9794698804 0.0951538553 0.9160756226 0.5889904494 1.0000000000 0.5629407099 0.3324706022
0.4033514950 0.8066631996 -0.6765395347 2.1466423969 0.6262586543 1.4391845991 0.6262586543 0.4033514950 0.8066631996 0.9799506068 0.6949774398 0.7377043521 0.7891710153 0.7432076515 0.8886318405 0.3039980262 1.0000000000
0.5583578492 0.7970204821 0.4085049445 2.0791433750 0.6262586543 1.4391845991 0.6262586543 0.5583578492 0.7970204821 1.0000000000 0.9684142233 0.7010943658 0.6678164196 0.4627805387 0.6756690630 0.5449985298 0.8247334913
0.3774546555 0.8884479653 -0.8578174114 2.7191357572 0.6262586543 1.4391845991 0.6262586543 0.3774546555 0.8884479653 0.9726229206 0.7045259837 0.7807790399 0.8664688020 0.6987745833 0.8981264425 0.3432517973 0.9403258992
0.0000000000 0.7854671307 -3.5000000000 1.9982699150 0.6262586543 1.4391845991 0.6262586543 0.0000000000 0.7854671307 1.0000000000 0.8889481747 0.4328875870 0.5384171412 0.0000000000 0.9029514678 0.0000000000 0.6841927813
0.1466479028 0.6817598192 -2.4734646806 1.2723187344 0.6262586543 1.4391845991 0.6262586543 0.1466479028 0.6817598192 1.0000000000 0.8848857472 0.3179412000 0.3784593835 0.0709651782 0.9821827439 0.0000000000 0.7989548232
0.3674768969 0.8580319814 -0.9276617217 2.5062238700 0.6262586543 1.4391845991 0.6262586543 0.3674768969 0.8580319814 0.9169006612 0.8744727455 0.0951538553 0.4906244244 0.7770127355 1.0000000000 0.0024826322 0.9385138503
0.5441702344 0.7426826104 0.3091916409 1.6987782728 0.6262586543 1.4391845991 0.6262586543 0.5441702344 0.7426826104 0.9973145805 0.9774677226 0.6273163933 0.6495662751 0.5034286835 0.6746625835 0.5159352967 0.8686419730
0.0336114359 0.9833139137 -3.2647199486 3.3831973957 0.6262586543 1.4391845991 0.6262586543 0.0336114359 0.9833139137 1.0000000000 0.7291616766 0.0046067038 0.9649728249 0.6836030396 1.0000000000 0.0607041777 0.5268528520
0.0332175628 0.6733602929 -3.2674770601 1.2135220505 0.6262586543 1.4391845991 0.6262586543 0.0332175628 0.6733602929 1.0000000000 0.8736875809 0.3226326844 0.4049068993 0.0000000000 0.9875145286 0.0169010698 0.7711176089
0.0000000000 0.8286852911 -3.5000000000 2.3007970377 0.6262586543 1.4391845991 0.6262586543 0.0000000000 0.8286852911 1.0000000000 1.0000000000 0.0077958193 0.6388670873 0.0881905763 0.9631786492 0.8446574822 0.1879321033
0.2005772365 0.8633618617 -2.0959593445 2.5435330316 0.6262586543 1.4391845991 0.6262586543 0.2005772365 0.8633618617 1.0000000000 0.8003777087 0.8475331130 0.3577065208 0.4394183085 1.0000000000 0.7463639095 0.4689701741
0.4132752570 1.0000000000 -0.6070732010 3.5000000000 0.6262586543 1.4391845991 0.6262586543 0.4132752570 1.0000000000 0.9919592226 1.0000000000 0.0127130336 0.4889216514 0.4399702324 0.8388482007 0.4942097311 0.4129356178
0.1337872214 0.7047559362 -2.5634894501 1.4332915533 0.6262586543 1.4391845991 0.6262586543 0.1337872214 0.7047559362 0.9305602186 0.8782171968 0.3150725402 0.3936109785 0.0660409433 1.0000000000 0.0000000000 0.7700525278
0.5644711396 0.9779316999 0.4512979770 3.3455218996 0.6262586543 1.4391845991 0.6262586543 0.5644711396 0.9779316999 1.0000000000 0.7507968475 0.9547846490 0.0211937886 0.1086495527 0.5238137476 0.5600961102 0.3791889506
0.0000000000 0.8047182814 -3.5000000000 2.1330279700 0.6262586543 1.4391845991 0.6262586543 0.0000000000 0.8047182814 1.0000000000 1.0000000000 0.0000000000 1.0000000000 0.0034964338 1.0000000000 0.0000000000 0.7338727970
0.0049616127 0.7388049673 -3.4652687108 1.6716347714 0.6262586543 1.4391845991 0.6262586543 0.0049616127 0.7388049673 0.9073862316 0.7167216240 0.4141116267 0.4302729342 0.2037369661 0.5754133640 0.1093480178 0.8719452580
0.5282146194 0.8551368102 0.1975023355 2.4859576713 0.6262586543 1.4391845991 0.6262586543 0.5282146194 0.8551368102 0.9776644472 0.8140084086 1.0000000000 0.0694805873 0.0056231763 0.0230964513 0.0000000000 0.3144695838
0.0251131722 0.7986298712 -3.3242077944 2.0904090983 0.6262586543 1.4391845991 0.6262586543 0.0251131722 0.7986298712 1.0000000000 0.8627396368 0.4382695349 0.5293883864 0.0258731907 0.9053551623 0.0000000000 0.6602170484
0.0000000000 1.0000000000 -3.5000000000 3.5000000000 0.6262586543 1.4391845991 0.6262586543 0.0000000000 1.0000000000 1.0000000000 0.7896705577 0.0097943508 0.9811305759 0.6435546112 1.0000000000 0.0880658722 0.4779528818
0.0055546854 0.8433960298 -3.4611172025 2.4037722088 0.6262586543 1.4391845991 0.6262586543 0.0055546854 0.8433960298 0.9865260060 1.0000000000 0.0119247173 0.5838052979 0.0726800046 0.9885113035 0.8780029667 0.2107720182
0.5403386545 0.7668792556 0.2823705817 1.8681547892 0.6262586543 1.4391845991 0.6262586543 0.5403386545 0.7668792556 1.0000000000 0.9658901868 0.7232550581 0.7257687025 0.4450710842 0.6383824290 0.5878335123 0.8348085285
0.4137985935 0.8763620980 -0.6034098452 2.6345346860 0.6262586543 1.4391845991 0.6262586543 0.4137985935 0.8763620980 0.9424471562 0.7333683245 0.8836482041 0.9263222552 0.8261243358 0.7826652329 0.0000000000 0.0000000000
0.1713905901 0.8277427880 -2.3002658693 2.2941995159 0.6262586543 1.4391845991 0.6262586543 0.1713905901 0.8277427880 0.9785719664 0.7912140054 0.8376521057 0.3613615526 0.4177876508 1.0000000000 0.7835208215 0.4990357606
0.0338103459 0.8250883347 -3.2633275790 2.2756183427 0.6262586543 1.4391845991 0.6262586543 0.0338103459 0.8250883347 1.0000000000 1.0000000000 0.0435283628 0.6294148211 0.0593759673 0.9635992312 0.8268066508 0.2418695228
0.4033822716 0.6812195326 -0.6763240990 1.2685367280 0.6262586543 1.4391845991 0.6262586543 0.4033822716 0.6812195326 0.9325396466 0.6885922244 0.2110938352 0.4625156976 0.6269298226 0.9639766510 0.3081516810 0.9277873640
