# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.9624393812 0.8399721220 3.2370756686 2.3798048540 0.0131827799 0.0000000047 0.0000000047 0.9624393812 0.8399721220 0.1908926324 0.7742648698 0.0252085244 0.7017446390 0.4227815922 0.7566841076 0.1396135057 0.1394349353
1.0000000000 0.8327749880 3.5000000000 2.3294249161 0.0004192754 0.0000000047 0.0000000047 1.0000000000 0.8327749880 0.0297542979 0.7252834998 0.1574925673 0.7077877901 0.2427412544 0.6664065897 0.3210478532 0.0651140109
0.7390172917 0.8243344554 1.6731210416 2.2703411881 0.0002965646 0.0000000047 0.0000000047 0.7390172917 0.8243344554 0.1061704755 0.5126010547 0.1207368240 0.4693868077 0.3383303287 0.7792808942 0.3184704874 0.0000000000
1.0000000000 0.7725854017 3.5000000000 1.9080978116 0.0002860511 0.0000000047 0.0000000047 1.0000000000 0.7725854017 0.1331473316 0.7936630219 0.0000000000 0.4863576017 0.2879899756 0.7517461804 0.1724983967 0.2133341569
1.0000000000 0.7303915531 3.5000000000 1.6127408720 0.0002417583 0.0000000047 0.0000000047 1.0000000000 0.7303915531 0.0536432955 0.6594652477 0.0918718052 0.6815974976 0.3528062719 0.7294585666 0.0545355476 0.0365912970
1.0000000000 0.6626105074 3.5000000000 1.1382735516 0.0002397600 0.0000000047 0.0000000047 1.0000000000 0.6626105074 0.1164402243 0.6805578681 0.0466467677 0.6055342267 0.3515903555 0.7085779616 0.0864745338 0.1872448275
0.8343613717 0.7540519443 2.3405296022 1.7783636104 0.0001487678 0.0000000047 0.0000000047 0.8343613717 0.7540519443 0.1227043567 0.7284278616 0.0482405059 0.3241034009 0.2715896829 0.5314407969 0.2289328435 0.1471476526
0.7416668050 0.7982635235 1.6916676351 2.0878446646 0.0001402427 0.0000000047 0.0000000047 0.7416668050 0.7982635235 0.0377872004 0.6263347987 0.0000000000 0.6154053905 0.4387158481 0.5452218363 0.2900652019 0.0582523267
1.0000000000 0.6260871383 3.5000000000 0.8826099684 0.0001335915 0.0000000047 0.0000000047 1.0000000000 0.6260871383 0.0889479681 0.7743767756 0.0000000000 0.6638529841 0.4433583169 0.6695291138 0.1208835485 0.0000000000
1.0000000000 0.7486569777 3.5000000000 1.7405988439 0.0001327464 0.0000000047 0.0000000047 1.0000000000 0.7486569777 0.0629405242 0.7746426263 0.0352086200 0.5972095726 0.2059457766 0.5527411856 0.0863333318 0.0000000000
0.9919288729 0.7600228862 3.4435021101 1.8201602032 0.0001236056 0.0000000047 0.0000000047 0.9919288729 0.7600228862 0.1465870616 0.5542919469 0.1022272430 0.3540209553 0.3832569760 0.7122289681 0.2246064974 0.2144278823
1.0000000000 0.8446498102 3.5000000000 2.4125486712 0.0001197378 0.0000000047 0.0000000047 1.0000000000 0.8446498102 0.1086416969 0.7221590510 0.1066278222 0.2500914300 0.3666424397 0.5822115939 0.2177442277 0.1296629608
0.7180645686 0.6219684793 1.5264519800 0.8537793549 0.0001026787 0.0000000047 0.0000000047 0.7180645686 0.6219684793 0.0793906510 0.6007199627 0.0771886390 0.4592721360 0.1351693350 0.5582277375 0.1170079701 0.1573901951
1.0000000000 0.6485295631 3.5000000000 1.0397069416 0.0000981913 0.0000000047 0.0000000047 1.0000000000 0.6485295631 0.0177130157 0.4435129303 0.0000000000 0.2067287216 0.2961058354 0.6084938802 0.3207269600 0.0523076242
0.6638798604 0.7725004833 1.1471590229 1.9075033833 0.0000961162 0.0000000047 0.0000000047 0.6638798604 0.7725004833 0.0938824456 0.7364453233 0.0812403292 0.2786875129 0.0000000000 0.6725859588 0.0000000000 0.0000000000
0.9382839204 0.7136181747 3.0679874425 1.4953272228 0.0000959095 0.0000000047 0.0000000047 0.9382839204 0.7136181747 0.0000000000 0.5064122492 0.0000000000 0.4042065138 0.0000000000 0.6625155957 0.0000000000 0.0900395390
1.0000000000 0.7294280277 3.5000000000 1.6059961942 0.0000959015 0.0000000047 0.0000000047 1.0000000000 0.7294280277 0.0253302611 0.3371309721 0.0000000000 0.5314936618 0.3108775894 0.4072709638 0.0000000000 0.0000000000
0.7083124270 0.8583096380 1.4581869892 2.5081674662 0.0000958356 0.0000000047 0.0000000047 0.7083124270 0.8583096380 0.0000000000 0.5214379341 0.1848058183 0.3390408993 0.0329211985 0.6416795293 0.2438617792 0.1489978020
1.0000000000 0.8244469557 3.5000000000 2.2711286896 0.0000957894 0.0000000047 0.0000000047 1.0000000000 0.8244469557 0.0000000000 0.5279007504 0.0000000000 0.1422509468 0.3470542064 0.5880301254 0.2181674919 0.0000000000
0.9305951780 0.6314447577 3.0141662459 0.9201133039 0.0000957565 0.0000000047 0.0000000047 0.9305951780 0.6314447577 0.1735059638 0.4984384455 0.0562057970 0.1136266547 0.4608331743 0.4087089562 0.2170596576 0.0000000000
0.4015109940 0.8572780056 -0.6894230420 2.5009460392 0.0000957546 0.0000000047 0.0000000047 0.4015109940 0.8572780056 0.0826651879 0.1039481738 0.4654544166 0.1345431192 0.1853303794 0.1355664933 0.3368094969 0.8639677443
0.4602446979 0.8923415744 -0.2782871149 2.7463910208 0.0000957546 0.0000000049 0.0000000049 0.4602446979 0.8923415744 0.3932192377 1.0000000000 0.8192710924 0.3627132145 0.8772676278 0.5524807043 0.1297505281 0.0000000000
0.5231289787 0.9085951736 0.1619028509 2.8601662150 0.0000957546 0.0000000034 0.0000000034 0.5231289787 0.9085951736 0.0895907530 0.9793792472 0.6021645576 0.2696975835 0.8230598588 0.7877318743 0.1892439588 0.1407369159
0.3911420435 1.0000000000 -0.7620056952 3.5000000000 0.0000957546 0.0000000034 0.0000000034 0.3911420435 1.0000000000 0.0000000000 0.9173572651 0.8479803660 0.2382141818 0.7629974663 0.5869448144 0.5794449851 0.3857776993
0.5041050795 0.7795782550 0.0287355564 1.9570477853 0.0000957546 0.0000000034 0.0000000034 0.5041050795 0.7795782550 0.0799411657 1.0000000000 0.7866567825 0.6726911907 0.9350538721 0.8787717957 0.0000000000 0.1090343102
0.8021161191 0.8566784455 2.1148128336 2.4967491184 0.0000957546 0.0000000034 0.0000000034 0.8021161191 0.8566784455 0.1891950905 0.8730169325 0.7492804194 0.1728661635 0.9481728870 0.9363679140 0.3847170144 0.3435978661
0.3324289469 0.9568929834 -1.1729973720 3.1982508841 0.0000957546 0.0000000047 0.0000000047 0.3324289469 0.9568929834 0.2324912321 0.3721220164 0.9981636198 0.9629103333 0.6447515792 0.6107472926 0.8989312038 0.8177935988
0.3183456499 0.9481352322 -1.2715804505 3.1369466255 0.0000957546 0.0000000034 0.0000000034 0.3183456499 0.9481352322 0.0000000000 1.0000000000 0.4878509122 0.0009147376 0.5979963685 0.7694291610 0.1919392039 0.1066045154
0.6156920659 1.0000000000 0.8098444612 3.5000000000 0.0000957546 0.0000000047 0.0000000047 0.6156920659 1.0000000000 0.0000000000 0.6874661524 0.9913341723 1.0000000000 0.4863391469 1.0000000000 0.4999571132 0.0000000000
0.9343945757 0.8640278345 3.0407620298 2.5481948417 0.0000957546 0.0000000034 0.0000000034 0.9343945757 0.8640278345 0.0296963877 0.9502683950 0.9630476021 0.6720836241 0.7141760961 0.6581230835 0.0893695536 0.6051466799
0.7803184709 0.7432208730 1.9622292966 1.7025461112 0.0000957546 0.0000000047 0.0000000047 0.7803184709 0.7432208730 0.1917325947 0.7768892475 0.8367899687 1.0000000000 0.6008786157 0.6668020562 0.4879633171 0.1426895583
0.6592161523 0.9427788968 1.1145130659 3.0994522773 0.0000957546 0.0000000047 0.0000000047 0.6592161523 0.9427788968 0.1860395473 0.3512326110 0.4985474803 0.3154789500 0.1603064797 0.1438183815 0.6412196058 0.6851351214
