# iter best_consensus archive_size party0_clusters party1_clusters
0 0.2608338018 0 12 12
10 0.2608338018 0 180 12
20 0.2608338018 0 180 12
30 0.2608338018 0 180 12
40 0.2608338018 0 180 12
50 0.2608338018 0 180 12
60 0.2608338018 0 180 12
70 0.2608338018 0 180 12
80 0.2608338018 0 180 12
90 0.2608338018 0 180 12
100 0.2669999767 0 180 12
110 0.3245178901 0 180 12
120 0.4973401014 0 180 12
130 1.2088559719 0 180 12
140 6.3332109180 0 180 12
150 25.5412078138 0 180 12
160 25.5412078138 0 180 12
170 29.5728318714 0 180 12
180 41.6740544644 0 180 12
190 54.4476748445 0 180 12
200 58.7060565579 0 180 12
210 61.4711193865 0 180 12
219 65.2267698271 1 180 12
