# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.3741754690 0.0933289579 -0.8807717173 -2.8466972946 67.2839383498 65.2267698271 65.2267698271 0.3741754690 0.0933289579 0.8120108735 0.6706325966 0.8166112400 0.5614317267 0.2427871314 0.7353551522 0.5340804694 0.3631301065
0.3741754690 0.0933289579 -0.8807717173 -2.8466972946 67.2839383498 65.2267698271 65.2267698271 0.3741754690 0.0933289579 0.8120108735 0.6706325966 0.8166112400 0.5614317267 0.2427871314 0.7353551522 0.5340804694 0.3631301065
0.3741754690 0.0933289579 -0.8807717173 -2.8466972946 67.2839383498 65.2267698271 65.2267698271 0.3741754690 0.0933289579 0.8120108735 0.6706325966 0.8166112400 0.5614317267 0.2427871314 0.7353551522 0.5340804694 0.3631301065
0.3788103243 0.0919897564 -0.8483277302 -2.8560717052 63.7012429116 68.2319087505 63.7012429116 0.3788103243 0.0919897564 0.8030634269 0.6670086470 0.8190127964 0.5681657027 0.2433906066 0.7454670261 0.5333004152 0.3572116125
0.3794987606 0.0903196362 -0.8435086757 -2.8677625467 63.5883699760 67.1986495421 63.5883699760 0.3794987606 0.0903196362 0.8093161681 0.6620224016 0.8252307958 0.5723954385 0.2492224449 0.7447535002 0.5313650274 0.3577600924
0.3769065612 0.0890702549 -0.8616540716 -2.8765082157 63.0340754436 69.6267325889 63.0340754436 0.3769065612 0.0890702549 0.8146699514 0.6759396660 0.8118316381 0.5708176633 0.2501825956 0.7303486339 0.5397186212 0.3432393345
0.3761347730 0.0886084811 -0.8670565888 -2.8797406324 61.6730267184 63.4289616636 61.6730267184 0.3761347730 0.0886084811 0.8203599038 0.6736650275 0.8120766363 0.5670021478 0.2562330057 0.7365658185 0.5239382072 0.3615956093
0.3754141583 0.0946256121 -0.8721008919 -2.8376207156 62.7393355651 61.4711193865 61.4711193865 0.3754141583 0.0946256121 0.8192290910 0.6696667287 0.8290504350 0.5697186084 0.2612077700 0.7499212434 0.5310119328 0.3626870250
0.3730776529 0.0941100134 -0.8884564299 -2.8412299064 61.2791487227 62.4477935085 61.2791487227 0.3730776529 0.0941100134 0.8125144154 0.6564319199 0.8127094986 0.5605520098 0.2561067465 0.7461496743 0.5169924081 0.3547820299
0.3757631868 0.0950692986 -0.8696576927 -2.8345149100 59.2182658190 59.1129366658 59.1129366658 0.3757631868 0.0950692986 0.8172613479 0.6756593845 0.8227579459 0.5738215140 0.2507769608 0.7419107002 0.5531555942 0.3569232291
0.3762133347 0.0957809193 -0.8665066573 -2.8295335647 58.7269998090 75.1996549300 58.7269998090 0.3762133347 0.0957809193 0.8033133412 0.6745423001 0.8206063813 0.5566283173 0.2555883905 0.7516020594 0.5310816498 0.3483674619
0.3721591650 0.0881147406 -0.8948858447 -2.8831968158 58.7060565579 61.6244326722 58.7060565579 0.3721591650 0.0881147406 0.8249172838 0.6624353815 0.8280528251 0.5684029569 0.2471392777 0.7516220364 0.5286039947 0.3591915685
0.3708137261 0.0933268772 -0.9043039175 -2.8467118598 58.8444272600 57.7766527241 57.7766527241 0.3708137261 0.0933268772 0.8066561841 0.6711334908 0.8194700216 0.5727236310 0.2553500909 0.7430393259 0.5267617550 0.3648054103
0.3786325658 0.0938474472 -0.8495720391 -2.8430678699 58.8477338160 56.9973435830 56.9973435830 0.3786325658 0.0938474472 0.8112539455 0.6797569047 0.8206165846 0.5671625909 0.2531746232 0.7514663943 0.5503318700 0.3532266539
0.3797529340 0.0998395584 -0.8417294622 -2.8011230910 58.4257293531 56.9591311237 56.9591311237 0.3797529340 0.0998395584 0.8030864123 0.6771587272 0.8208353525 0.5756462468 0.2498811296 0.7372942759 0.5343566426 0.3664154167
0.3803662823 0.0906402038 -0.8374360239 -2.8655185737 56.3928643192 57.8368441456 56.3928643192 0.3803662823 0.0906402038 0.8204935839 0.6801174926 0.8211705635 0.5735474974 0.2539735840 0.7355713255 0.5444577720 0.3666866099
0.3743695731 0.0969094045 -0.8794129883 -2.8216341684 64.2349635208 56.0686936118 56.0686936118 0.3743695731 0.0969094045 0.8082085510 0.6759849127 0.8197994764 0.5723408848 0.2469586763 0.7375654068 0.5391998455 0.3703890845
0.3771762433 0.0902479903 -0.8597662969 -2.8682640682 58.1753995799 55.8167058421 55.8167058421 0.3771762433 0.0902479903 0.8165704705 0.6804726444 0.8125313903 0.5657711612 0.2690767023 0.7340903810 0.5357974781 0.3694213444
0.3767957300 0.0883465235 -0.8624298898 -2.8815743357 63.5752198803 55.6894532113 55.6894532113 0.3767957300 0.0883465235 0.8144505360 0.6695904854 0.8105714404 0.5617531276 0.2620564854 0.7536598010 0.5237935913 0.3651487764
0.3752181191 0.0885485020 -0.8734731666 -2.8801604859 62.4933728177 55.5226371712 55.5226371712 0.3752181191 0.0885485020 0.8064826487 0.6745433905 0.8329528755 0.5596220520 0.2525456816 0.7370950093 0.5367564206 0.3577770542
0.3739745345 0.0933589319 -0.8821782582 -2.8464874768 55.3480063275 60.3667391781 55.3480063275 0.3739745345 0.0933589319 0.8056303910 0.6719759971 0.8155107048 0.5589457189 0.2676168606 0.7487791915 0.5289105694 0.3300381667
0.3805052112 0.0923188817 -0.8364635218 -2.8537678280 59.6602932696 54.8868564009 54.8868564009 0.3805052112 0.0923188817 0.8212958472 0.6636833882 0.8150022292 0.5788351564 0.2562440025 0.7545028645 0.5355236849 0.3656478279
0.3766823344 0.0949496670 -0.8632236593 -2.8353523310 54.7193438719 74.5605058428 54.7193438719 0.3766823344 0.0949496670 0.8042509867 0.6707826569 0.8247703386 0.5692160276 0.2636336582 0.7510600947 0.5267100276 0.3486168345
0.3685931971 0.0935651695 -0.9198476205 -2.8450438138 60.6620036453 54.6553564289 54.6553564289 0.3685931971 0.0935651695 0.8146446690 0.6662291956 0.8084710358 0.5572189926 0.2572208962 0.7394103037 0.5268551113 0.3527085800
0.3702141723 0.0910599300 -0.9085007941 -2.8625804903 64.5107361020 54.5366734256 54.5366734256 0.3702141723 0.0910599300 0.8218013664 0.6667038269 0.8198873659 0.5791673452 0.2527078169 0.7458145403 0.5414493871 0.3507898655
0.3799045532 0.0927676934 -0.8406681274 -2.8506261463 56.6886353674 54.4476748445 54.4476748445 0.3799045532 0.0927676934 0.8058873960 0.6710938750 0.8272258532 0.5724014912 0.2557263463 0.7306561684 0.5542863659 0.3609399257
0.3722982991 0.0920232727 -0.8939119062 -2.8558370913 58.1827519272 54.4239090013 54.4239090013 0.3722982991 0.0920232727 0.8162163395 0.6752286732 0.8383454562 0.5611701839 0.2434348277 0.7394392143 0.5426510822 0.3549015929
0.3827663713 0.0933130108 -0.8206354007 -2.8468089242 62.4159399507 53.9561847970 53.9561847970 0.3827663713 0.0933130108 0.8027799854 0.6759899756 0.8241600413 0.5536993676 0.2593866513 0.7491138065 0.5194824056 0.3486891879
0.3822883569 0.0942764296 -0.8239815015 -2.8400649929 53.6895499712 54.2810069609 53.6895499712 0.3822883569 0.0942764296 0.8103274823 0.6659570342 0.8198416538 0.5690956498 0.2722345988 0.7551424661 0.5394121703 0.3493634939
0.3750346992 0.0926062980 -0.8747571059 -2.8517559139 70.6078810248 53.0693114462 53.0693114462 0.3750346992 0.0926062980 0.8150338246 0.6747454697 0.7959936467 0.5678202281 0.2582504602 0.7464872492 0.5271228968 0.3537691415
0.3674834592 0.0994858511 -0.9276157854 -2.8035990426 60.2827452490 52.7815531511 52.7815531511 0.3674834592 0.0994858511 0.8151414441 0.6623351672 0.8179918855 0.5691210498 0.2636501727 0.7517739464 0.5123971667 0.3357820745
0.3777536865 0.0895092520 -0.8557241943 -2.8734352358 53.6303132552 52.7340121366 52.7340121366 0.3777536865 0.0895092520 0.8206165439 0.6748679331 0.8139230371 0.5747283208 0.2707931294 0.7376390614 0.5175409255 0.3483147589
0.3803032635 0.0890694227 -0.8378771558 -2.8765140411 52.4941635598 61.9706161715 52.4941635598 0.3803032635 0.0890694227 0.8146109560 0.6739002025 0.8186605875 0.5575369398 0.2501825956 0.7338295139 0.5397186212 0.3608614492
0.3818317383 0.0878444330 -0.8271778317 -2.8850889687 55.4350022005 52.3783229827 52.3783229827 0.3818317383 0.0878444330 0.8161418261 0.6714048807 0.8058725430 0.5630430828 0.2473146362 0.7393363033 0.5372680600 0.3386062235
0.3728716693 0.0880331964 -0.8898983151 -2.8837676253 52.3321017677 56.9981794560 52.3321017677 0.3728716693 0.0880331964 0.8158610226 0.6767985976 0.8261432172 0.5681109692 0.2662107235 0.7464019332 0.5212423239 0.3541016381
0.3762398039 0.0993323496 -0.8663213727 -2.8046735527 55.4091191931 52.2490468730 52.2490468730 0.3762398039 0.0993323496 0.8122492127 0.6636604804 0.7954407455 0.5611284522 0.2593688344 0.7524624067 0.5142391090 0.3446975087
0.3699738977 0.0980258872 -0.9101827158 -2.8138187894 52.1342674144 61.4676321489 52.1342674144 0.3699738977 0.0980258872 0.8228137960 0.6624353815 0.8066878182 0.5729695658 0.2579888575 0.7516220364 0.5333786035 0.3533251548
