# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.4927759516 0.0080084403 -0.0505683387 -3.4439409181 0.2608338018 0.2228253487 0.2228253487 0.4927759516 0.0080084403 0.5047363078 0.5689970279 0.8806603920 0.9668974099 0.7424571781 0.7329980063 0.6655533741 0.3115394334
0.4273932479 0.0000000000 -0.5082472644 -3.5000000000 0.2608338018 0.2608338018 0.2608338018 0.4273932479 0.0000000000 0.9556919387 0.5063849242 0.2294883838 0.1506825881 0.2758101374 0.8860791995 0.6893373323 0.8851988340
0.4112248874 0.3887686335 -0.6214257883 -0.7786195657 0.2608338018 0.2608338018 0.2608338018 0.4112248874 0.3887686335 0.6401993342 0.6441322239 1.0000000000 0.2337720214 1.0000000000 0.8325484790 0.6523258994 0.3328688333
0.3070274564 0.2162528447 -1.3508078051 -1.9862300869 0.2608338018 0.2608338018 0.2608338018 0.3070274564 0.2162528447 0.4325064850 0.7259893401 1.0000000000 0.3343762059 0.9889053027 1.0000000000 0.9458692242 0.2095693523
0.0899327365 0.4910354275 -2.8704708446 -0.0627520074 0.2608338018 0.2608338018 0.2608338018 0.0899327365 0.4910354275 0.5978573628 0.6897011369 0.8600985433 0.3862434051 0.8820062640 1.0000000000 0.3168048891 0.3244974975
0.3304062337 0.1018252085 -1.1871563640 -2.7872235402 0.2608338018 0.2608338018 0.2608338018 0.3304062337 0.1018252085 0.5633100072 0.4576970474 1.0000000000 0.2939990706 0.9996757058 0.8249571604 0.3254567304 0.0000000000
0.4430715668 0.0123997060 -0.3984990321 -3.4132020577 0.2608338018 0.2608338018 0.2608338018 0.4430715668 0.0123997060 0.9297445729 0.5283561137 0.2562958956 0.1431629044 0.3183508099 0.8686433448 0.6722648695 0.9636424156
0.3819669168 0.2407010008 -0.8262315821 -1.8150929943 0.2608338018 0.2608338018 0.2608338018 0.3819669168 0.2407010008 0.4770398861 0.7106261975 0.7626787090 0.2192669359 0.7115383181 1.0000000000 0.4051383239 0.4926635195
0.3385768628 0.3326271441 -1.1299619606 -1.1716099914 0.2608338018 0.2608338018 0.2608338018 0.3385768628 0.3326271441 0.6173527487 0.6710300746 0.8209741360 0.2857623295 1.0000000000 1.0000000000 0.4074875075 0.3489422693
0.4572723409 0.3918044513 -0.2990936134 -0.7573688409 0.2608338018 0.2608338018 0.2608338018 0.4572723409 0.3918044513 0.5088431665 0.5393473994 0.9074710668 0.1568768805 0.7490053124 1.0000000000 0.2558699831 0.4543161685
0.3587422397 0.3467623712 -0.9888043223 -1.0726634017 0.2608338018 0.2608338018 0.2608338018 0.3587422397 0.3467623712 0.8322586504 0.8609217785 0.7568243398 0.0392086150 0.9470276487 0.7622426085 0.3935154727 0.1645107164
0.5016145401 0.0000000000 0.0113017805 -3.5000000000 0.2608338018 0.2073087783 0.2073087783 0.5016145401 0.0000000000 0.7093195838 0.5418006966 1.0000000000 0.9815969984 0.7880729459 0.7100039069 0.5431836683 0.4597526318
