# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.1395583869 0.1281113631 -2.5230912914 -2.6032204582 0.6998254505 0.1258668862 0.1258668862 0.1395583869 0.1281113631 0.1001317537 0.8626824322 0.5683992002 0.3781285386 0.8532648430 0.6711388517 0.2491572575 0.3515539054
0.3469880034 0.0000000000 -1.0710839761 -3.5000000000 0.6662674218 0.1258668862 0.1258668862 0.3469880034 0.0000000000 0.1033163176 0.8306420345 0.6070523563 0.3870903293 0.8569905149 0.6303831228 0.3582138626 0.4666407000
0.2688250329 0.0000000000 -1.6182247695 -3.5000000000 0.6136362755 0.1258668862 0.1258668862 0.2688250329 0.0000000000 0.1012704501 0.7319811970 0.5063171184 0.3679834684 0.6539176349 0.9373210252 0.1907018180 0.4845907737
0.1180602761 0.0000000000 -2.6735780675 -3.5000000000 0.6031126179 0.1258668862 0.1258668862 0.1180602761 0.0000000000 0.0955248717 0.7845601774 0.3876550039 0.2754767263 0.7350023425 1.0000000000 0.1167963084 0.2691949702
0.4510376343 0.2738157664 -0.3427365598 -1.5832896349 0.5996771859 0.0000000000 0.0000000000 0.4510376343 0.2738157664 0.1203270525 0.9891852250 0.6618166551 0.3705393730 0.6619249775 0.6165477196 0.2439625161 0.5542499968
0.2224518519 0.0838177257 -1.9428370365 -2.9132759200 0.5951935222 0.1258668862 0.1258668862 0.2224518519 0.0838177257 0.1298784375 0.7910266046 0.6391203750 0.3735771533 1.0000000000 0.8673254028 0.3245023541 0.2821192692
0.3076235246 0.1361754616 -1.3466353280 -2.5467717691 0.5943204429 0.1258668862 0.1258668862 0.3076235246 0.1361754616 0.0865461018 0.7513245340 0.6550582916 0.2773852705 0.9028800804 0.6410824689 0.5660148459 0.4708408621
0.3933165931 0.0000000000 -0.7467838480 -3.5000000000 0.5939018641 0.0000000000 0.0000000000 0.3933165931 0.0000000000 0.1146592320 0.9280441713 0.3054964240 0.4324285995 0.9320703718 0.8912548393 0.0278458652 0.4464130433
0.5992876285 0.2054589257 0.6950133994 -2.0617875204 0.5938972301 0.0000000000 0.0000000000 0.5992876285 0.2054589257 0.0756478788 0.6858618984 0.5275417233 0.0825176313 0.4949856984 0.6808443676 0.1741475576 0.6346742770
0.0379520107 0.4113468346 -3.2343359248 -0.6205721576 0.5938955595 0.1258668862 0.1258668862 0.0379520107 0.4113468346 0.0524568954 0.9862022575 0.1386423334 0.9383346558 0.8858671340 0.4416544641 0.3079901411 0.7361434395
0.0231033656 0.2236285809 -3.3382764407 -1.9345999335 0.5938955595 0.1258668862 0.1258668862 0.0231033656 0.2236285809 0.0000000000 0.9797067996 0.0000000000 0.8132386802 0.6808350889 0.5592055949 0.5562664008 0.8116720161
0.0199931003 0.3629337625 -3.3600482979 -0.9594636627 0.5938955595 0.1258668862 0.1258668862 0.0199931003 0.3629337625 0.0410983186 1.0000000000 0.0957546663 1.0000000000 0.7929027638 0.5890416500 0.2469624513 0.8804792373
0.3085542434 0.4477845778 -1.3401202959 -0.3655079552 0.5938955595 0.1258668862 0.1258668862 0.3085542434 0.4477845778 0.0000000000 1.0000000000 0.0000000000 1.0000000000 0.7948121460 0.4580290129 0.3140609598 0.6352000233
0.1338942768 0.0000000000 -2.5627400625 -3.5000000000 0.5938955595 0.1258668862 0.1258668862 0.1338942768 0.0000000000 0.1265416876 0.3798017270 0.0000000000 0.5076778031 0.0000000000 0.8116544982 0.2994589023 0.0000000000
0.6429091874 0.2916699049 1.0003643115 -1.4583106656 0.5938955595 0.0000000000 0.0000000000 0.6429091874 0.2916699049 0.0214342335 0.2063376294 0.0401735398 0.4432924683 0.3043278141 0.6915732322 0.0628064160 0.0159825392
