# from_x0 from_x1 to_x0 to_x1 length
0.7633322374 0.0853726097 0.8729850572 -0.4829465796 0.1805237200
1.1572463428 -0.8316446909 0.7633322374 0.0853726097 0.2320789936
-0.2709396097 -0.9209239353 1.1572463428 -0.8316446909 0.3765047454
0.3988818889 0.4817725400 0.7633322374 0.0853726097 0.2804997951
0.0849669619 0.2517721363 0.8729850572 -0.4829465796 0.3663037037
1.2961496702 0.4566080626 0.7633322374 0.0853726097 0.4060543330
0.3873594121 -1.2706232524 0.8729850572 -0.4829465796 0.2828345826
1.0454733531 -2.0124987877 -0.2709396097 -0.9209239353 0.3331767731
1.0245056641 -2.6307839249 0.8729850572 -0.4829465796 0.3797216028
1.6611533252 -0.6617318338 1.1572463428 -0.8316446909 0.2849665434
1.0000243084 -0.5451107415 1.1572463428 -0.8316446909 0.2196361857
2.0658795984 -0.7721012660 1.1572463428 -0.8316446909 0.3156268457
-0.0357051193 0.1989642605 0.8729850572 -0.4829465796 0.2851292420
0.8290076185 -0.1696022754 1.6611533252 -0.6617318338 0.4222166234
1.7335211604 -3.0501199344 1.0454733531 -2.0124987877 0.8576750524
3.5000000000 -1.3294936224 2.0658795984 -0.7721012660 0.8806490682
1.8147346680 -2.0045231325 0.8290076185 -0.1696022754 0.9841482209
1.8071058647 -2.1801199361 0.8290076185 -0.1696022754 1.0383591869
1.5318623773 -2.4276424130 0.8290076185 -0.1696022754 0.9672900406
1.0831764371 0.0531380055 1.2961496702 0.4566080626 0.8105710475
0.8919914765 1.8768036785 1.2961496702 0.4566080626 0.8804262382
1.0471744939 0.8606790755 1.2961496702 0.4566080626 0.9078763096
-0.1426339093 -1.2907412876 0.8290076185 -0.1696022754 0.7787877108
1.5002061950 1.1606133927 1.1572463428 -0.8316446909 0.8818178685
-0.0214631968 -2.8099123407 1.0454733531 -2.0124987877 0.6474624836
1.1161015961 1.7588189008 1.2961496702 0.4566080626 0.7032866659
-0.6437783583 -0.1638940375 2.0658795984 -0.7721012660 1.0081641848
0.9358481389 1.3172918385 1.2961496702 0.4566080626 1.0351813511
3.4795522334 -2.1063443361 0.8290076185 -0.1696022754 0.6674768890
-0.5261266156 -0.1720275451 0.0849669619 0.2517721363 1.0081354250
0.7251011601 -2.0476806180 1.2961496702 0.4566080626 0.8978144622
-0.1673684187 -0.1947291265 2.0658795984 -0.7721012660 0.9950441963
-0.6966404269 -0.0862872944 2.0658795984 -0.7721012660 1.0027212817
1.2673768398 -0.7965359008 1.0245056641 -2.6307839249 0.6090691919
-0.8697658913 -0.2716379154 0.0849669619 0.2517721363 1.0005725269
-0.7061839941 -0.3028409713 1.0000243084 -0.5451107415 0.9634606444
1.2711761149 -0.7782939894 0.8290076185 -0.1696022754 0.4932943212
