# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2154382697 0.4844014688 -1.9919321124 -0.1091897186 0.9416939355 1.0066805960 0.9416939355 0.2154382697 0.4844014688 0.0221598906 0.0354401692 0.8103293185 0.6804038754 0.0950510836 0.9273903415 0.1885131244 0.6458025877
0.2285691339 0.4647463939 -1.9000160629 -0.2467752426 0.9416939355 1.0066805960 0.9416939355 0.2285691339 0.4647463939 0.0000000000 0.0000000000 0.1735412319 0.0000000000 0.4956139196 0.2828727490 0.4799727074 0.8506633393
0.0000000000 0.2762221726 -3.5000000000 -1.5664447921 0.9416939355 1.0066805960 0.9416939355 0.0000000000 0.2762221726 0.0000000000 0.0780772158 0.1154318358 0.0000000000 0.1078960808 0.0910596928 0.4129022950 0.6399210026
0.4330640121 0.4183461438 -0.4685519154 -0.5715769935 0.9416939355 1.0066805960 0.9416939355 0.4330640121 0.4183461438 0.0012979752 0.4645692799 0.6417711968 0.9950957895 0.3406715190 0.5624340931 0.1527524412 0.1751551375
0.2628468330 0.4489496154 -1.6600721687 -0.3573526920 0.9416939355 1.0066805960 0.9416939355 0.2628468330 0.4489496154 0.0250272268 0.0104624036 0.1631765216 0.0135925916 0.5443524308 0.2863320383 0.4715118389 0.8898453189
0.0000000000 0.2441126423 -3.5000000000 -1.7912115041 0.9416939355 1.0066805960 0.9416939355 0.0000000000 0.2441126423 0.0000000000 0.0751163487 0.1003347461 0.0002960867 0.1282330986 0.0936388533 0.3770830094 0.6761690339
0.1871719273 0.0000000000 -2.1897965091 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.1871719273 0.0000000000 0.0000000000 0.1173170223 0.2265455633 0.0000000000 0.0000000000 0.0000000000 0.3893337713 0.4070073426
0.0500183787 0.3095414989 -3.1498713492 -1.3332095079 0.9416939355 1.0066805960 0.9416939355 0.0500183787 0.3095414989 0.0000000000 0.4200606812 0.9233601699 1.0000000000 0.0000000000 0.8647159446 0.7441192997 0.6965932708
0.3604302712 0.0000000000 -0.9769881018 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.3604302712 0.0000000000 0.0000000000 0.5902058737 0.7017542073 0.8872459335 0.0000000000 0.5524883284 0.5865316758 0.2382525881
0.4521460219 0.2048101933 -0.3349778470 -2.0663286471 0.9416939355 1.0066805960 0.9416939355 0.4521460219 0.2048101933 0.0000000000 0.0612719612 0.0567088406 0.0000000000 0.3023939663 0.0000000000 0.0565173576 0.5718306459
0.3132823100 0.3662181505 -1.3070238303 -0.9364729466 0.9416939355 1.0066805960 0.9416939355 0.3132823100 0.3662181505 0.0000000000 0.0000000000 0.1443512540 0.2609467262 0.2426464951 0.1952656148 0.0000000000 1.0000000000
0.2508848506 0.4540007811 -1.7438060457 -0.3219945325 0.9416939355 1.0066805960 0.9416939355 0.2508848506 0.4540007811 0.0000000000 0.9974373634 0.7481716133 0.0000000000 1.0000000000 0.6206580701 0.1689955924 0.7698159665
0.4783720634 0.1833826206 -0.1513955560 -2.2163216560 0.9416939355 1.0066805960 0.9416939355 0.4783720634 0.1833826206 0.0000000000 0.4482955136 0.8602260781 0.8868548335 0.1326325110 0.2346812790 0.7191202239 0.0000000000
0.2423185079 0.0000000000 -1.8037704447 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.2423185079 0.0000000000 0.0000000000 0.2633403461 0.8129903458 1.0000000000 0.3739101890 0.0000000000 1.0000000000 0.1402020416
0.3026203174 0.0000000000 -1.3816577783 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.3026203174 0.0000000000 0.0000000000 0.5263097890 0.5691671577 1.0000000000 0.2732027904 0.0000000000 0.5912582729 0.1996230176
