# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.5155156454 0.9636388582 0.1086095175 3.2454720074 0.8539978689 1.1039762201 0.8539978689 0.5155156454 0.9636388582 0.8623408354 0.0061919759 0.0384866987 0.8473598505 0.8128836062 0.9896096835 0.1015217232 0.2434389443
0.7085437956 0.7031623205 1.4598065691 1.4221362435 0.7223965460 1.1039762201 0.7223965460 0.7085437956 0.7031623205 0.9900706624 0.0611569525 0.7410924772 0.0000000000 0.7332935176 0.5489145979 0.5624952902 0.9072536551
0.7756865203 0.9536423686 1.9298056421 3.1754965799 0.7223965460 1.1039762201 0.7223965460 0.7756865203 0.9536423686 1.0000000000 0.0000000000 0.2099339027 0.5948637534 1.0000000000 0.9441797435 0.0000000000 0.1416055425
0.7613078993 1.0000000000 1.8291552950 3.5000000000 0.7223965460 1.1039762201 0.7223965460 0.7613078993 1.0000000000 1.0000000000 0.1023217395 1.0000000000 0.0000000000 0.6352551485 0.5175449551 0.5758063314 1.0000000000
0.6533290605 0.9335786460 1.0733034237 3.0350505222 0.7223965460 1.1039762201 0.7223965460 0.6533290605 0.9335786460 1.0000000000 0.0000000000 1.0000000000 0.2828704450 0.9602589501 0.8504500449 0.4977973614 0.6789790080
0.5755738540 1.0000000000 0.5290169781 3.5000000000 0.8539978689 1.1039762201 0.8539978689 0.5755738540 1.0000000000 0.8751267347 0.0000000000 0.0000000000 1.0000000000 0.8735814487 1.0000000000 0.2997097689 0.2193385041
0.5970070183 1.0000000000 0.6790491282 3.5000000000 0.8539978689 1.1039762201 0.8539978689 0.5970070183 1.0000000000 1.0000000000 0.0000000000 0.1823391156 0.9762432190 1.0000000000 1.0000000000 0.1598004235 0.6791732335
0.5693016748 1.0000000000 0.4851117235 3.5000000000 0.8539978689 1.1039762201 0.8539978689 0.5693016748 1.0000000000 1.0000000000 0.0000000000 0.8707340807 0.2381453125 0.8859464846 0.8053448871 0.5648773218 0.6992057859
0.6019405759 0.9760489314 0.7135840311 3.3323425196 0.8539978689 1.1039762201 0.8539978689 0.6019405759 0.9760489314 1.0000000000 0.1672794182 0.8498620171 0.1636192953 0.9424699283 0.7046938409 0.3180614645 0.7909531233
0.5585440835 1.0000000000 0.4098085847 3.5000000000 0.8539978689 1.1039762201 0.8539978689 0.5585440835 1.0000000000 0.8513173069 0.0000000000 0.0000000000 0.8816762156 0.4047215437 0.6185900425 0.2443005471 0.2040507550
0.6094024783 0.7894292178 0.7658173481 2.0260045248 0.7223965460 1.1039762201 0.7223965460 0.6094024783 0.7894292178 0.9284836611 0.1060516074 0.0000000000 0.8237206733 0.5412646250 0.9168128785 0.0000000000 0.2576876836
0.6055212140 0.8642399082 0.7386484978 2.5496793574 0.8539978689 1.1039762201 0.8539978689 0.6055212140 0.8642399082 0.9585650609 0.0910198357 0.8860840097 0.0727781585 0.8676933285 0.6269363954 0.4930853039 0.8348262695
0.7880505751 0.7793574111 2.0163540255 1.9555018777 0.7223965460 1.1039762201 0.7223965460 0.7880505751 0.7793574111 0.9566423365 0.0000000000 0.5607279031 0.1446536923 0.7447963423 0.5362800558 0.2268732973 1.0000000000
0.7273588290 1.0000000000 1.5915118033 3.5000000000 0.7223965460 1.1039762201 0.7223965460 0.7273588290 1.0000000000 0.9724508041 0.0525167651 1.0000000000 0.0000000000 0.6321605818 0.5548411311 0.5885722233 0.9716698086
0.7480033366 0.9911945902 1.7360233563 3.4383621316 0.7223965460 1.1039762201 0.7223965460 0.7480033366 0.9911945902 1.0000000000 0.1313788306 1.0000000000 0.0009022874 0.6042038988 0.5169931210 0.5819342127 1.0000000000
0.8008718979 0.9370541037 2.1061032854 3.0593787260 0.7223965460 1.1039762201 0.7223965460 0.8008718979 0.9370541037 0.9802078364 0.1152236971 1.0000000000 0.0000000000 0.6532281236 0.5262630770 0.6140073342 1.0000000000
