# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.9855786193 0.3102954554 3.3990503350 -1.3279318124 0.1876775711 0.1876775711 0.1876775711 0.9855786193 0.3102954554 0.7980110599 0.2265592586 0.2117817835 0.1961462547 0.5931236364 0.3955299609 0.1650263993 0.0942189756
0.4782873009 0.8711478628 -0.1519888935 2.5980350397 0.1876775711 0.1876775711 0.1876775711 0.4782873009 0.8711478628 0.1431310954 0.4534571524 0.8084026777 0.0223633943 0.6666341108 0.4446713172 0.4037078303 0.0811569140
0.6987052187 0.1597899959 1.3909365309 -2.3814700287 0.1876775711 0.1876775711 0.1876775711 0.6987052187 0.1597899959 0.2329016264 0.7504164678 0.7314564780 0.0050667839 0.9194339326 0.9325891682 0.6314939002 0.2792930208
0.4434014159 0.9429612719 -0.3961900890 3.1007289036 0.1876775711 0.1876775711 0.1876775711 0.4434014159 0.9429612719 0.1857941188 0.9471945942 0.2607629391 0.1672986830 0.8596144313 0.3273429229 0.0726611486 0.3177569766
0.3585493391 0.6900971073 -0.9901546265 1.3306797511 0.1876775711 0.1876775711 0.1876775711 0.3585493391 0.6900971073 0.4965654856 0.8337268261 0.4949471910 0.5858675836 0.3886653363 0.5667754307 0.4340351722 0.4864720132
0.4429685659 0.8345444576 -0.3992200390 2.3418112030 0.1876775711 0.1876775711 0.1876775711 0.4429685659 0.8345444576 0.2560651111 0.2585505601 0.8285103456 0.2604040004 0.9355765829 0.6739516658 0.1265500798 0.9060507120
0.7940708272 0.3468426572 2.0584957901 -1.0721013999 0.1876775711 0.1876775711 0.1876775711 0.7940708272 0.3468426572 0.5113193640 0.9647348222 0.8659176586 0.7879364095 0.5379001260 0.7343439346 0.8836184378 0.6646858488
0.5200988112 0.6805838721 0.1406916781 1.2640871049 0.1876775711 0.1876775711 0.1876775711 0.5200988112 0.6805838721 0.5554237720 0.2973562416 0.0011111377 0.7302420253 0.9797491231 0.8727823716 0.7252448959 0.7137320148
0.7076389315 0.0590174780 1.4534725202 -3.0868776538 0.1876775711 0.1876775711 0.1876775711 0.7076389315 0.0590174780 0.1489761256 0.6382873772 0.3129052662 0.8672928491 0.3459371905 0.1115992672 0.7938154326 0.8667299444
0.7629838761 0.2588636036 1.8408871325 -1.6879547749 0.1876775711 0.1876775711 0.1876775711 0.7629838761 0.2588636036 0.2165746571 0.1470291687 0.7111545453 0.8533262184 0.7307497897 0.1726350812 0.6885791077 0.9405236911
0.2236392949 0.6770800684 -1.9345249360 1.2395604791 0.1876775711 0.1876775711 0.1876775711 0.2236392949 0.6770800684 0.7816029727 0.3519919682 0.1170476839 0.8484527326 0.0396571317 0.7503189657 0.4945307494 0.9656017607
0.4239481114 0.9356195871 -0.5323632200 3.0493371094 0.1876775711 0.1876775711 0.1876775711 0.4239481114 0.9356195871 0.3656867430 0.9432278893 0.0451213094 0.0035677138 0.9683869911 0.3686363855 0.7535998311 0.3206801715
0.6987256735 0.3321034502 1.3910797146 -1.1752758486 0.1876775711 0.1876775711 0.1876775711 0.6987256735 0.3321034502 0.8514591955 0.9203527301 0.4677195091 0.1951437417 0.1578165062 0.6040357858 0.6722368691 0.0923977994
0.8956888600 0.0556261566 2.7698220199 -3.1106169039 0.1876775711 0.1876775711 0.1876775711 0.8956888600 0.0556261566 0.4979401905 0.8433822541 0.1419142246 0.9932277888 0.4015856385 0.0623407620 0.5098866830 0.7371972644
0.2721317679 0.7298659105 -1.5950776250 1.6090613737 0.1876775711 0.1876775711 0.1876775711 0.2721317679 0.7298659105 0.1705432137 0.7223249728 0.2660634686 0.7881335520 0.1823536025 0.7357532097 0.8829082371 0.5484949875
0.3847434194 0.9575357209 -0.8067960639 3.2027500463 0.1876775711 0.1876775711 0.1876775711 0.3847434194 0.9575357209 0.0372315294 0.4206072059 0.9000828986 0.8838380782 0.0380155874 0.4768262585 0.6011280344 0.7287226255
0.1298245635 0.7596819776 -2.5912280553 1.8177738434 0.1876775711 0.1876775711 0.1876775711 0.1298245635 0.7596819776 0.0995752291 0.6712651765 0.2751701919 0.8152730653 0.8793374784 0.9929369149 0.8657730029 0.3869016807
0.0583086065 0.7882018419 -3.0918397545 2.0174128932 0.1876775711 0.1876775711 0.1876775711 0.0583086065 0.7882018419 0.4927322948 0.4276179539 0.6857058735 0.8276087474 0.7582323628 0.3239670614 0.0495289147 0.4768673871
0.6771843161 0.4282849520 1.2402902130 -0.5020053362 0.1876775711 0.1876775711 0.1876775711 0.6771843161 0.4282849520 0.6877725442 0.6010020747 0.5685004964 0.9119619756 0.7168761097 0.6116016156 0.5522903978 0.0859091664
0.2458120028 0.8235261487 -1.7793159804 2.2646830408 0.1876775711 0.1876775711 0.1876775711 0.2458120028 0.8235261487 0.7187514961 0.3900500032 0.3507939380 0.9373608578 0.0036875601 0.1581611493 0.0346661409 0.1953543004
0.9025595025 0.0308105463 2.8179165172 -3.2843261760 0.1876775711 0.1876775711 0.1876775711 0.9025595025 0.0308105463 0.3648563793 0.7157480669 0.8045098597 0.9185767539 0.0496640106 0.5266061808 0.2382934812 0.9328804164
0.8937566413 0.4476419743 2.7562964890 -0.3665061801 0.1876775711 0.1876775711 0.1876775711 0.8937566413 0.4476419743 0.9966338586 0.2659544937 0.5421862550 0.3520652075 0.3315909606 0.1844352110 0.7073833634 0.0830221101
0.0038061966 0.9308386631 -3.4733566235 3.0158706418 0.1876775711 0.1876775711 0.1876775711 0.0038061966 0.9308386631 0.3661602782 0.4374168901 0.7716386335 0.8432363634 0.9700046313 0.0785895074 0.7998788026 0.9024497929
0.2148103915 0.8104133293 -1.9963272597 2.1728933050 0.1876775711 0.1876775711 0.1876775711 0.2148103915 0.8104133293 0.6543497892 0.8962673969 0.2149001210 0.4305521070 0.3535080115 0.4172897781 0.1703847630 0.1855230840
0.4437059929 0.7509224307 -0.3940580499 1.7564570148 0.1876775711 0.1876775711 0.1876775711 0.4437059929 0.7509224307 0.1770985886 0.1006615784 0.2539676995 0.8633140793 0.5707716749 0.2639177647 0.4317743923 0.2462150333
0.9565880320 0.2747021840 3.1961162243 -1.5770847123 0.1876775711 0.1876775711 0.1876775711 0.9565880320 0.2747021840 0.9660214712 0.9916948499 0.6239745495 0.6075680357 0.0943837185 0.6350629383 0.8981302490 0.4917012327
0.1612359731 0.9155400498 -2.3713481881 2.9087803485 0.1876775711 0.1876775711 0.1876775711 0.1612359731 0.9155400498 0.6293125550 0.2656954040 0.2204664034 0.2831387064 0.5180032298 0.2618000590 0.8688812653 0.3882606683
0.1208083019 0.9354065956 -2.6543418870 3.0478461695 0.1876775711 0.1876775711 0.1876775711 0.1208083019 0.9354065956 0.0855796821 0.0774905939 0.8479599790 0.5008060307 0.1975214707 0.9190846230 0.6253308428 0.5032947326
0.3606394066 0.9025623450 -0.9755241541 2.8179364151 0.1876775711 0.1876775711 0.1876775711 0.3606394066 0.9025623450 0.2551890767 0.3433603654 0.4196090693 0.5099372796 0.9127010996 0.3377227962 0.6899203741 0.4361727815
0.9572124599 0.1346091661 3.2004872190 -2.5577358372 0.1876775711 0.1876775711 0.1876775711 0.9572124599 0.1346091661 0.4308261462 0.6188057983 0.0611378466 0.8915818576 0.2523436186 0.8174536849 0.7018152523 0.2811296831
0.1170677438 0.7908254249 -2.6805257931 2.0357779745 0.1876775711 0.1876775711 0.1876775711 0.1170677438 0.7908254249 0.4579284141 0.0460492987 0.6330259618 0.4210291098 0.3031285502 0.4757206929 0.4103641602 0.6057378796
0.7765452680 0.4076098758 1.9358168758 -0.6467308693 0.1876775711 0.1876775711 0.1876775711 0.7765452680 0.4076098758 0.8114007091 0.7043247189 0.3369887165 0.3360668644 0.0157009290 0.0360585215 0.9283961060 0.4640600877
0.8309976677 0.3257662597 2.3169836738 -1.2196361818 0.1876775711 0.1876775711 0.1876775711 0.8309976677 0.3257662597 0.1642410364 0.4699198823 0.9270716149 0.1932404919 0.9534828435 0.2667745846 0.3260727503 0.0522165475
0.0392418547 0.8616474807 -3.2253070174 2.5315323651 0.1876775711 0.1876775711 0.1876775711 0.0392418547 0.8616474807 0.7442039469 0.4696088960 0.4493245872 0.3347018005 0.4973412109 0.0902957232 0.1404707597 0.6141094077
0.1510797475 0.8040484483 -2.4424417677 2.1283391378 0.1876775711 0.1876775711 0.1876775711 0.1510797475 0.8040484483 0.3563053677 0.3738192071 0.0632355007 0.6783941268 0.5504459428 0.3803796928 0.4514257131 0.4615472105
0.5135748589 0.8539311816 0.0950240122 2.4775182712 0.1876775711 0.1876775711 0.1876775711 0.5135748589 0.8539311816 0.5392319783 0.7833151863 0.4582383001 0.0130209352 0.4354022359 0.3398211664 0.7548616121 0.1465019375
0.7722030435 0.1474613137 1.9054213045 -2.4677708043 0.1876775711 0.1876775711 0.1876775711 0.7722030435 0.1474613137 0.3741137948 0.6296012000 0.7538684712 0.4364251805 0.8427916102 0.6178835013 0.2875900963 0.6386186233
0.3725396435 0.9569323580 -0.8922224957 3.1985265058 0.1876775711 0.1876775711 0.1876775711 0.3725396435 0.9569323580 0.6961017831 0.5404518915 0.5636530567 0.3229553541 0.1928679649 0.5243939329 0.0954624882 0.0004529228
0.5122116810 0.9947625197 0.0854817673 3.4633376382 0.1876775711 0.1876775711 0.1876775711 0.5122116810 0.9947625197 0.2626060476 0.5648296894 0.8847951717 0.6726567912 0.7825766602 0.7997094680 0.0170135183 0.5311903424
0.3335180246 0.6985605837 -1.1653738279 1.3899240859 0.1876775711 0.1876775711 0.1876775711 0.3335180246 0.6985605837 0.2566674112 0.0946388032 0.6265921935 0.2778067926 0.7264062105 0.3329890721 0.1791983566 0.1168432105
0.4871880545 0.6984381656 -0.0896836182 1.3890671593 0.1876775711 0.1876775711 0.1876775711 0.4871880545 0.6984381656 0.0439469709 0.8843690469 0.4954431012 0.1649703605 0.7276264491 0.7056113940 0.5031890734 0.7382799660
0.5555290667 0.8968861685 0.3887034670 2.7782031792 0.1876775711 0.1876775711 0.1876775711 0.5555290667 0.8968861685 0.6818011150 0.8587844962 0.3854366173 0.8660773426 0.6637763480 0.3554818971 0.0269526107 0.6670567176
