# iter best_consensus archive_size party0_clusters party1_clusters
0 0.0002484695 0 12 12
10 0.0002484695 0 12 180
20 0.0002484695 0 12 180
30 0.0002484695 0 12 180
40 0.0002484695 0 12 180
50 0.0002484695 0 12 180
60 0.0002511223 0 12 180
70 0.0002526116 0 12 180
80 0.0002526116 0 12 180
90 0.0002752237 0 12 180
100 0.0004578098 0 12 180
110 0.0015621986 0 12 180
120 0.0085861461 0 12 180
130 0.0683633475 0 12 180
140 0.6037298492 0 12 180
150 6.1852835777 0 12 180
160 25.7771904714 0 12 180
170 27.8292025203 0 12 180
180 49.0937912250 0 12 180
190 56.5448128974 0 12 180
200 70.4016461909 1 12 180
210 78.6723195392 3 12 180
219 83.2086255463 4 12 180
