# from_x0 from_x1 to_x0 to_x1 length
1.6285615703 -2.7699488011 1.6720017702 -2.6156201921 0.1941216727
2.8983254908 -2.7157105195 1.6285615703 -2.7699488011 0.2372664029
2.1717787375 -3.5000000000 1.6720017702 -2.6156201921 0.2803672633
1.8737954497 -3.5000000000 2.1717787375 -3.5000000000 0.2386296504
2.2524112578 -3.5000000000 2.1717787375 -3.5000000000 0.2409659514
1.2262797800 -3.0327261622 1.6720017702 -2.6156201921 0.1709742007
2.5644796578 -3.5000000000 2.1717787375 -3.5000000000 0.3126869797
1.9739500501 -2.2206619017 1.6720017702 -2.6156201921 0.2563112268
1.8708432354 -3.5000000000 2.1717787375 -3.5000000000 0.3061998532
2.9135884433 -1.9767166641 2.8983254908 -2.7157105195 0.2909127647
1.8772299734 -3.5000000000 2.2524112578 -3.5000000000 0.2201650715
2.1413277259 -3.5000000000 2.2524112578 -3.5000000000 0.3629231853
1.9009911686 -3.3740172446 1.6285615703 -2.7699488011 0.3560244086
2.5828170423 -2.6853088279 1.8708432354 -3.5000000000 0.3584564780
1.6447899647 -3.5000000000 2.1413277259 -3.5000000000 0.2652957111
0.8713240209 -2.7554443979 1.6285615703 -2.7699488011 0.2610051403
2.0273470751 -2.2838656176 2.8983254908 -2.7157105195 0.2774766674
1.2889545445 -3.5000000000 1.8772299734 -3.5000000000 0.2541736960
2.1239378583 -3.2659482105 2.2524112578 -3.5000000000 0.3185600416
2.4690738481 -1.7863474235 1.9739500501 -2.2206619017 0.3119341252
2.2931332216 -3.0234177713 2.2524112578 -3.5000000000 0.3070004004
2.8633626390 -2.8328718401 2.8983254908 -2.7157105195 0.3317065206
2.2255761209 -1.6766710257 2.4690738481 -1.7863474235 0.2895898174
2.1040947036 -2.3001934624 1.8772299734 -3.5000000000 0.2990314829
1.5269249182 -3.5000000000 1.9009911686 -3.3740172446 0.3025444936
2.3114260660 -3.5000000000 1.8737954497 -3.5000000000 0.2574608276
1.8140436450 -2.8468897225 2.1239378583 -3.2659482105 0.3324442654
2.5785977025 -3.5000000000 2.5644796578 -3.5000000000 0.3106212628
1.3152558724 -3.5000000000 2.1717787375 -3.5000000000 0.3126372444
