# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.7388573957 0.1263399726 1.6720017702 -2.6156201921 0.1629099800 0.0002484695 0.0002484695 0.7388573957 0.1263399726 0.4487281203 0.6939412100 0.2810825876 0.4742434889 0.4208998151 0.1412050661 0.3928461922 0.4654231620
0.7326516529 0.1042930284 1.6285615703 -2.7699488011 0.0506582097 0.0002484695 0.0002484695 0.7326516529 0.1042930284 0.4528771220 0.6505870402 0.2600421986 0.3686986548 0.4278072600 0.2077409879 0.2853041324 0.5528268248
0.9140464987 0.1120413544 2.8983254908 -2.7157105195 0.0072702874 0.0002484695 0.0002484695 0.9140464987 0.1120413544 0.4593546630 0.7451755797 0.2615577065 0.3648992615 0.4882899497 0.2090862220 0.3711578069 0.6102264588
0.8102541054 0.0000000000 2.1717787375 -3.5000000000 0.0059521498 0.0001766581 0.0001766581 0.8102541054 0.0000000000 0.3539677555 0.7241375515 0.2498403069 0.3070632961 0.4419984836 0.2111513425 0.4788106927 0.3879483273
0.7676850642 0.0000000000 1.8737954497 -3.5000000000 0.0055589819 0.0002484695 0.0002484695 0.7676850642 0.0000000000 0.4196143035 0.6282115081 0.2981898342 0.3077248090 0.2803196597 0.1826123801 0.5324415970 0.4851687420
0.8217730368 0.0000000000 2.2524112578 -3.5000000000 0.0039600753 0.0001757398 0.0001757398 0.8217730368 0.0000000000 0.3360624411 0.7282713031 0.2849860664 0.2655429626 0.3442969014 0.1477578193 0.3033427483 0.4893471231
0.6751828257 0.0667534054 1.2262797800 -3.0327261622 0.0032959515 0.0001915651 0.0001915651 0.6751828257 0.0667534054 0.4088727816 0.6744901775 0.1648664923 0.4029907429 0.4352614481 0.1651782159 0.3874524001 0.4817688258
0.8663542368 0.0000000000 2.5644796578 -3.5000000000 0.0022742838 0.0002484695 0.0002484695 0.8663542368 0.0000000000 0.3622959461 0.7426549490 0.4397497279 0.4725293247 0.3548316549 0.3082046337 0.3670674978 0.4235170779
0.7819928643 0.1827625855 1.9739500501 -2.2206619017 0.0021251351 0.0002484695 0.0002484695 0.7819928643 0.1827625855 0.3389906273 0.6141859975 0.3908031422 0.5955334863 0.3439312066 0.2078098571 0.4550413656 0.5010544089
0.7672633193 0.0000000000 1.8708432354 -3.5000000000 0.0013389081 0.0002484695 0.0002484695 0.7672633193 0.0000000000 0.4003461455 0.7873128970 0.4805473328 0.2635451318 0.4779787962 0.2614664053 0.3572857913 0.2781575691
