# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7433562963 0.4098418694 1.7034940739 -0.6311069139 90.0000000000 90.0000000000 90.0000000000 0.7433562963 0.4098418694
0.0905401043 0.3133738088 -2.8662192699 -1.3063833381 89.9994477969 89.9994473080 89.9994473080 0.0905401043 0.3133738088
0.9372996096 0.9176500550 3.0610972672 2.9235503847 89.9978894874 89.9981175718 89.9978894874 0.9372996096 0.9176500550
0.3374415172 0.4879494823 -1.1379093798 -0.0843536236 89.9914729823 89.9931314043 89.9914729823 0.3374415172 0.4879494823
0.2864931834 0.8525324961 -1.4945477159 2.4677274728 89.9979960221 89.9900978356 89.9900978356 0.2864931834 0.8525324961
0.5617289009 0.4856287379 0.4321023065 -0.1005988348 89.9947329378 89.9478634811 89.9478634811 0.5617289009 0.4856287379
0.5600351231 0.4480363506 0.4202458618 -0.3637455459 82.2886390489 77.6032015757 77.6032015757 0.5600351231 0.4480363506
0.3455473398 0.4536216596 -1.0811686215 -0.3246483830 76.9187850567 77.5031805819 76.9187850567 0.3455473398 0.4536216596
0.3301058607 0.5228858557 -1.1892589752 0.1602009901 77.3884652638 76.2568576287 76.2568576287 0.3301058607 0.5228858557
0.9709839125 0.8951317670 3.2968873878 2.7659223692 73.8276239282 76.5661934646 73.8276239282 0.9709839125 0.8951317670
0.2533124719 0.8677011806 -1.7268126964 2.5739082643 73.7584376227 72.5358854044 72.5358854044 0.2533124719 0.8677011806
0.0941028346 0.3483076383 -2.8412801581 -1.0618465317 72.4590273496 72.1439589361 72.1439589361 0.0941028346 0.3483076383
0.7649121380 0.4357412265 1.8543849659 -0.4498114148 71.9203074445 67.7209693090 67.7209693090 0.7649121380 0.4357412265
0.5737058485 0.5152033662 0.5159409396 0.1064235635 65.4511916265 84.3637411824 65.4511916265 0.5737058485 0.5152033662
