# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7433550695 0.4099044426 1.7034854863 -0.6306689020 89.9999649500 89.9997874104 89.9997874104 0.7433550695 0.4099044426
0.9372960997 0.9176459062 3.0610726976 2.9235213432 89.9975995215 89.9981626508 89.9975995215 0.9372960997 0.9176459062
0.7423543512 0.4098048847 1.6964804587 -0.6313658069 89.9217273806 89.9918159394 89.9217273806 0.7423543512 0.4098048847
0.7439825137 0.4103010085 1.7078775957 -0.6278929405 89.9735834918 89.9884538983 89.9735834918 0.7439825137 0.4103010085
0.3376541508 0.4878236370 -1.1364209443 -0.0852345410 89.9976447431 89.9880367098 89.9880367098 0.3376541508 0.4878236370
0.3370387727 0.4886726674 -1.1407285911 -0.0792913279 89.9299659889 89.9842098306 89.9299659889 0.3370387727 0.4886726674
0.5624418247 0.4891095578 0.4370927732 -0.0762330953 89.7432123455 89.9840496608 89.7432123455 0.5624418247 0.4891095578
0.7453579993 0.4094183641 1.7175059952 -0.6340714513 89.6526922967 89.9822952281 89.6526922967 0.7453579993 0.4094183641
0.0902554161 0.3122373893 -2.8682120874 -1.3143382750 89.9336986440 89.9750175713 89.9336986440 0.0902554161 0.3122373893
0.5621039989 0.4893470280 0.4347279921 -0.0745708037 89.8487506741 89.9750122230 89.8487506741 0.5621039989 0.4893470280
0.9379928188 0.9176082377 3.0659497314 2.9232576637 89.9906816368 89.9673469967 89.9673469967 0.9379928188 0.9176082377
0.0901572462 0.3119270454 -2.8688992768 -1.3165106825 89.7870580145 89.9590268808 89.7870580145 0.0901572462 0.3119270454
0.9351714923 0.9195789522 3.0462004463 2.9370526651 89.6427256158 89.9565227336 89.6427256158 0.9351714923 0.9195789522
0.2903372077 0.8513181004 -1.4676395462 2.4592267027 89.5870656926 89.9558615543 89.5870656926 0.2903372077 0.8513181004
0.7460845043 0.4102138722 1.7225915299 -0.6285028949 89.4199632475 89.9510746125 89.4199632475 0.7460845043 0.4102138722
0.7468421232 0.4089035555 1.7278948625 -0.6376751117 88.9515753924 89.9489948319 88.9515753924 0.7468421232 0.4089035555
0.2890165780 0.8513829942 -1.4768839537 2.4596809597 89.8567908145 89.9131555548 89.8567908145 0.2890165780 0.8513829942
0.0904742558 0.3110682627 -2.8666802093 -1.3225221611 89.7343270434 89.8964234640 89.7343270434 0.0904742558 0.3110682627
0.9372562704 0.9187313259 3.0607938928 2.9311192814 89.7265754340 89.8863894817 89.7265754340 0.9372562704 0.9187313259
0.9399265736 0.9153164098 3.0794860149 2.9072148689 89.5054212797 89.8696886298 89.5054212797 0.9399265736 0.9153164098
0.5598257096 0.4795222368 0.4187799674 -0.1433443427 88.7448254108 89.8392991452 88.7448254108 0.5598257096 0.4795222368
0.5584422980 0.4814834030 0.4090960858 -0.1296161787 88.2121480407 89.8377971324 88.2121480407 0.5584422980 0.4814834030
0.0879154491 0.3115837262 -2.8845918563 -1.3189139168 36.3349537748 89.8354303398 36.3349537748 0.0879154491 0.3115837262
0.2806528093 0.8537721939 -1.5354303350 2.4764053571 88.5485490925 89.8267520896 88.5485490925 0.2806528093 0.8537721939
0.3382190528 0.4836287451 -1.1324666303 -0.1145987842 89.8738788240 89.7846612215 89.7846612215 0.3382190528 0.4836287451
0.0925424492 0.3162593194 -2.8522028553 -1.2861847641 89.1452441082 89.7818903794 89.1452441082 0.0925424492 0.3162593194
0.3411433661 0.4859550402 -1.1119964370 -0.0983147187 87.8392487725 89.7637798320 87.8392487725 0.3411433661 0.4859550402
