# from_x0 from_x1 to_x0 to_x1 length
1.5366344991 -2.7631968271 1.9327421867 1.2947194463 0.5824575973
-3.0593369237 2.9903315874 1.9327421867 1.2947194463 0.7531695527
2.9238783094 -0.6736441594 1.9327421867 1.2947194463 0.3148308940
1.5240955893 -2.7592300371 1.5366344991 -2.7631968271 0.0018787734
-1.0886200232 -3.0378441298 1.5240955893 -2.7592300371 0.3753612868
-0.7060771524 -1.3950357815 -1.0886200232 -3.0378441298 0.2409656728
-0.8205237895 0.9690391455 -0.7060771524 -1.3950357815 0.3381205042
-0.7041128648 -1.3953344063 -0.7060771524 -1.3950357815 0.0002838368
-3.0702857172 3.0048969702 -3.0593369237 2.9903315874 0.0026030847
-3.2765087518 -1.2403529311 -0.7060771524 -1.3950357815 0.3678688040
1.9278280568 1.3067482326 1.9327421867 1.2947194463 0.0018562656
-1.0806134968 -3.0410853897 -1.0886200232 -3.0378441298 0.0012339602
1.5256497827 -2.7533310335 1.5240955893 -2.7592300371 0.0008714726
-0.8259779837 0.9728121831 -0.8205237895 0.9690391455 0.0009474353
-0.7039459755 -1.3889214832 -0.7041128648 -1.3953344063 0.0009164420
-1.0661718666 -3.0343938374 -1.0806134968 -3.0410853897 0.0022737973
-0.8271949017 0.9736440454 -0.8259779837 0.9728121831 0.0002105815
1.5106192756 -2.7632046500 1.5240955893 -2.7592300371 0.0020071738
-1.1036813171 -3.0390739698 -1.0886200232 -3.0378441298 0.0021587746
-3.0632853078 2.9902107736 -3.0593369237 2.9903315874 0.0005643189
1.8984900927 1.3315074768 1.9278280568 1.3067482326 0.0054841819
-0.8331579144 0.9692697284 -0.8271949017 0.9736440454 0.0010564879
-3.0505885032 2.9867033967 -3.0593369237 2.9903315874 0.0013529908
-1.0958800751 -3.0406760852 -1.0886200232 -3.0378441298 0.0011132626
-0.7057298839 -1.3864787338 -0.7039459755 -1.3889214832 0.0004321128
-0.8282547523 0.9756829309 -0.8271949017 0.9736440454 0.0003282712
2.8854148407 -0.6670769628 2.9238783094 -0.6736441594 0.0055742969
-0.6925643101 -1.3934002140 -0.7041128648 -1.3953344063 0.0016727725
-0.7120035372 -1.4021620009 -0.7060771524 -1.3950357815 0.0013240710
-3.0867288032 3.0192934582 -3.0702857172 3.0048969702 0.0031221197
-1.0996381000 -3.0278452019 -1.1036813171 -3.0390739698 0.0017049318
2.9838167927 -0.6838610252 2.9238783094 -0.6736441594 0.0086861444
-3.0373201842 2.9683265566 -3.0505885032 2.9867033967 0.0032380283
1.9342858560 1.3115288845 1.9278280568 1.3067482326 0.0011478267
-1.1048715621 -3.0418771623 -1.1036813171 -3.0390739698 0.0004350597
1.5555096218 -2.7797364531 1.5366344991 -2.7631968271 0.0035852005
-3.0800353560 3.0206805265 -3.0867288032 3.0192934582 0.0009765223
-1.1174685256 -3.0408753566 -1.1048715621 -3.0418771623 0.0018052480
-1.0535191402 -3.0317559115 -1.0661718666 -3.0343938374 0.0018463982
-0.7550137177 0.9594945619 -0.8205237895 0.9690391455 0.0094573895
1.9524179635 1.2987901493 1.9327421867 1.2947194463 0.0028703510
2.8503297625 -0.6623691328 2.8854148407 -0.6670769628 0.0050570750
-3.0931825361 3.0207175507 -3.0867288032 3.0192934582 0.0009441410
1.4939413021 -2.7621656934 1.5106192756 -2.7632046500 0.0023871862
1.9421557806 1.3082300179 1.9342858560 1.3115288845 0.0012190514
-0.8229757709 0.9850720598 -0.8282547523 0.9756829309 0.0015387736
-3.2844375825 -1.2446364497 -3.2765087518 -1.2403529311 0.0012874186
1.5668155810 -2.7830950746 1.5555096218 -2.7797364531 0.0016848972
-1.1177249249 -3.0421688090 -1.1174685256 -3.0408753566 0.0001883743
-0.8283203991 0.9838253663 -0.8229757709 0.9850720598 0.0007840150
-1.0684757935 -3.0283670442 -1.0661718666 -3.0343938374 0.0009217366
1.6000752545 -2.7708957198 1.5668155810 -2.7830950746 0.0050609149
-3.0341791942 2.9723311831 -3.0373201842 2.9683265566 0.0007270692
-0.7894934148 0.9724989876 -0.8205237895 0.9690391455 0.0044603804
-0.7463821004 -1.4013559357 -0.7120035372 -1.4021620009 0.0049125731
1.9227108414 1.3278807142 1.9342858560 1.3115288845 0.0028620076
-0.8335794956 0.9833987042 -0.8283203991 0.9838253663 0.0007537679
-3.2721293802 -1.2943593012 -3.2844375825 -1.2446364497 0.0073176524
-1.1100435129 -3.0247510545 -1.0996381000 -3.0278452019 0.0015508152
-3.0672711442 3.0173442454 -3.0702857172 3.0048969702 0.0018295885
-1.0539596308 -3.0288161804 -1.0535191402 -3.0317559115 0.0004246499
-3.0394395224 2.9812554563 -3.0341791942 2.9723311831 0.0014798904
1.4808124064 -2.7599306500 1.4939413021 -2.7621656934 0.0019025403
1.9668909660 1.2659758543 1.9524179635 1.2987901493 0.0051234669
-1.1120054688 -3.0241709571 -1.1100435129 -3.0247510545 0.0002922741
-3.2454910137 -1.3572684122 -3.2721293802 -1.2943593012 0.0097595153
2.8679101141 -0.6570646956 2.8503297625 -0.6623691328 0.0026233092
-1.0592469014 -3.0273971253 -1.0539596308 -3.0288161804 0.0007820557
-0.8535165849 0.9704055566 -0.8331579144 0.9692697284 0.0029129043
-1.0962772600 -3.0227987527 -1.0996381000 -3.0278452019 0.0008661656
1.9320691484 1.2670150572 1.9327421867 1.2947194463 0.0039589376
-0.8578344022 0.9827144672 -0.8535165849 0.9704055566 0.0018634663
-0.8858461107 0.9775812408 -0.8578344022 0.9827144672 0.0040683091
-3.0923103421 3.0169970573 -3.0931825361 3.0207175507 0.0005459086
-0.8511940118 0.9868162671 -0.8578344022 0.9827144672 0.0011150139
1.9273684947 1.3296875017 1.9227108414 1.3278807142 0.0007136886
-0.6719497375 -1.3810254624 -0.6925643101 -1.3934002140 0.0034348011
-3.0997269840 3.0246471109 -3.0931825361 3.0207175507 0.0010905086
1.4918377104 -2.7287908484 1.4808124064 -2.7599306500 0.0047191416
1.6318952300 -2.7812859863 1.6000752545 -2.7708957198 0.0047819142
-0.6752202579 -1.3856155352 -0.6719497375 -1.3810254624 0.0008051502
-0.6716946558 -1.3762484214 -0.6719497375 -1.3810254624 0.0006834066
-0.6742501587 -1.4130412153 -0.6925643101 -1.3934002140 0.0038363915
-0.6742191042 -1.3757085285 -0.6716946558 -1.3762484214 0.0003687907
1.9527224084 1.3114863365 1.9421557806 1.3082300179 0.0015795713
2.8520053231 -0.6564839906 2.8503297625 -0.6623691328 0.0008741457
-1.0622605130 -3.0249445094 -1.0592469014 -3.0273971253 0.0005550727
1.8812184480 1.3203780650 1.8984900927 1.3315074768 0.0029352659
1.8613521149 1.3860719068 1.8984900927 1.3315074768 0.0094291195
1.3586934093 -2.7096870118 1.4808124064 -2.7599306500 0.0188644318
1.7744707789 1.4790752217 1.8613521149 1.3860719068 0.0181816139
2.7088591729 -0.6378205947 2.8503297625 -0.6623691328 0.0205120962
1.7816411968 -2.8161475487 1.6318952300 -2.7812859863 0.0219643418
3.1794668924 -0.7216715903 2.9838167927 -0.6838610252 0.0284671670
-3.2199602320 -1.5909093591 -3.2454910137 -1.3572684122 0.0335759611
0.3044242425 -1.3921129768 -0.6716946558 -1.3762484214 0.1394639729
-3.3670699953 -0.9043993082 -3.2765087518 -1.2403529311 0.0497065215
-1.0291628523 1.0094041913 -0.8858461107 0.9775812408 0.0209724740
-0.5811255952 0.9326001954 -0.7550137177 0.9594945619 0.0251365195
-0.8634208943 -1.3399365904 -0.7463821004 -1.4013559357 0.0188822426
0.3633000491 -1.2546165085 0.3044242425 -1.3921129768 0.0213673599
0.2489165595 -1.5177657380 0.3044242425 -1.3921129768 0.0196238710
1.1325832578 -2.6415668910 1.3586934093 -2.7096870118 0.0337355113
-0.5323074459 -1.4454538543 -0.6742501587 -1.4130412153 0.0207994863
1.6570245751 1.6281056991 1.7744707789 1.4790752217 0.0271066277
-0.9240140177 -3.0101048800 -1.0539596308 -3.0288161804 0.0187551218
2.5272451933 -0.5957334198 2.7088591729 -0.6378205947 0.0266324062
1.9603878761 -2.8526090139 1.7816411968 -2.8161475487 0.0260610797
-3.2081953460 -1.7272629706 -3.2199602320 -1.5909093591 0.0195514600
-3.4090462851 -0.6562097380 -3.3670699953 -0.9043993082 0.0359591808
0.9889359969 -2.6182327133 1.1325832578 -2.6415668910 0.0207900189
-1.2714565164 -3.0295971509 -1.1177249249 -3.0421688090 0.0220349670
-3.1586176115 -1.4569338474 -3.2454910137 -1.3572684122 0.0188875226
-3.1441117834 3.1561043938 -3.0997269840 3.0246471109 0.0198211532
0.6891325415 0.3860252913 -0.5811255952 0.9326001954 0.1975513294
-3.2340064358 -1.0658678416 -3.2765087518 -1.2403529311 0.0256552868
0.4123750294 -1.1176820244 0.3633000491 -1.2546165085 0.0207803904
0.2192031645 -1.6406358685 0.2489165595 -1.5177657380 0.0180588351
2.0411022055 2.8754254782 1.6570245751 1.6281056991 0.1864448410
-2.2245434801 0.8635973074 -1.0291628523 1.0094041913 0.1720343163
1.2095581740 -2.7462431477 1.1325832578 -2.6415668910 0.0185616768
-0.5633074483 -1.3114076898 -0.6716946558 -1.3762484214 0.0180430931
0.5662565640 0.4172477435 0.6891325415 0.3860252913 0.0181115294
-3.3969181463 -0.4850082918 -3.4090462851 -0.6562097380 0.0245186422
-3.1757608755 -1.9181656750 -3.2081953460 -1.7272629706 0.0276626313
-0.4409182426 0.9207306686 -0.5811255952 0.9326001954 0.0201012678
1.2446020970 -2.5782458194 1.1325832578 -2.6415668910 0.0183824331
-2.8207856915 2.7687719809 -3.0373201842 2.9683265566 0.0420663264
0.8525879729 0.3527294968 0.6891325415 0.3860252913 0.0238303048
-2.0963441813 0.8821696001 -2.2245434801 0.8635973074 0.0185053717
-2.3570831661 0.8638697313 -2.2245434801 0.8635973074 0.0189342809
1.9550217052 2.7640197664 2.0411022055 2.8754254782 0.0201124822
-3.4487824763 -0.3360252813 -3.3969181463 -0.4850082918 0.0225360691
2.1464835881 2.9835267416 2.0411022055 2.8754254782 0.0215667540
2.0848843306 1.3258860363 1.9668909660 1.2659758543 0.0189045206
1.6830769564 -2.9380178544 1.7816411968 -2.8161475487 0.0223913617
1.7413502249 1.3107420399 1.8812184480 1.3203780650 0.0200285372
2.1661425008 -2.9596522635 1.9603878761 -2.8526090139 0.0331333801
0.1734745088 -1.7966837266 0.2192031645 -1.6406358685 0.0232300140
-3.4155686018 -1.1088691302 -3.2340064358 -1.0658678416 0.0266549880
3.3793486443 -0.7394080554 3.1794668924 -0.7216715903 0.0286667328
-3.4563790010 -0.7742219534 -3.4090462851 -0.6562097380 0.0181643680
2.3511993477 -2.9574183209 2.1661425008 -2.9596522635 0.0264386186
1.4926600634 1.8430064124 1.6570245751 1.6281056991 0.0386501866
1.9268253912 1.5030474040 1.8613521149 1.3860719068 0.0191503273
2.3196185036 -0.5394668946 2.5272451933 -0.5957334198 0.0307308142
1.8589641556 -2.9548954963 1.9603878761 -2.8526090139 0.0205780225
0.4247309062 0.4606707109 0.5662565640 0.4172477435 0.0211481972
-0.3760732508 -1.4682082813 -0.5323074459 -1.4454538543 0.0225546446
1.5795140505 -2.6254117611 1.4918377104 -2.7287908484 0.0193645881
1.4602289685 -2.5841392618 1.5795140505 -2.6254117611 0.0180319161
-3.0554708737 -2.2728831853 -3.1757608755 -1.9181656750 0.0535083813
0.5336666174 -0.8891296182 0.4123750294 -1.1176820244 0.0369632613
0.9930211248 0.3345341781 0.8525879729 0.3527294968 0.0202295701
1.8266576299 1.6166809506 1.7744707789 1.4790752217 0.0210241863
-1.2007584310 1.0740451444 -1.0291628523 1.0094041913 0.0261953008
-2.5112048257 0.8344219056 -2.3570831661 0.8638697313 0.0224156744
1.7345495593 -2.6636136222 1.6318952300 -2.7812859863 0.0223080001
-0.8379051541 -1.5066573431 -0.7463821004 -1.4013559357 0.0199309296
-0.9629112889 -3.1396688748 -0.9240140177 -3.0101048800 0.0193252644
-3.5000000000 -0.0804067506 -3.4487824763 -0.3360252813 0.0372427415
-3.0764747617 -1.5904457228 -3.2199602320 -1.5909093591 0.0204980313
1.3669309028 1.8971419921 1.4926600634 1.8430064124 0.0195555112
-3.3716926234 -1.3953237887 -3.2454910137 -1.3572684122 0.0188306405
1.6246529883 1.8038823120 1.4926600634 1.8430064124 0.0196670383
0.7146924124 -2.5711505069 0.9889359969 -2.6182327133 0.0397508254
1.5514887616 -2.9357463440 1.6830769564 -2.9380178544 0.0188011142
2.0925074928 2.7495078863 2.0411022055 2.8754254782 0.0194294871
-1.8823010708 0.8220481156 -2.0963441813 0.8821696001 0.0317609200
-1.4458005534 -3.0294269892 -1.2714565164 -3.0295971509 0.0249063029
2.0365992780 3.0522069858 2.1464835881 2.9835267416 0.0185117379
2.2296288090 3.1286784942 2.1464835881 2.9835267416 0.0238969553
1.8361974112 2.6456095424 1.9550217052 2.7640197664 0.0239643417
0.2690610626 0.4650697353 0.4247309062 0.4606707109 0.0222474266
1.0627974452 -2.7538617015 1.1325832578 -2.6415668910 0.0188875210
-0.6799511505 1.0744102156 -0.7550137177 0.9594945619 0.0196084095
-0.7044283617 -1.5438620285 -0.6742501587 -1.4130412153 0.0191795007
-0.7146740503 -1.2489799640 -0.6742191042 -1.3757085285 0.0190041519
0.1454344365 -1.9757709610 0.1734745088 -1.7966837266 0.0258955844
