# iter best_consensus archive_size party0_clusters party1_clusters
0 88.5962115950 12 11 12
10 89.2724000752 21 12 12
20 89.9357583332 25 12 12
30 89.9357583332 26 12 12
40 89.9903949268 27 12 12
50 89.9903949268 28 12 12
60 89.9903949268 29 12 12
70 89.9903949268 29 12 12
80 89.9903949268 29 12 12
90 89.9903949268 29 12 12
100 89.9903949268 29 12 12
110 89.9903949268 29 12 12
120 89.9992535674 29 12 12
130 89.9996933230 29 12 12
140 89.9999575539 29 12 12
150 89.9999575539 29 12 12
160 89.9999644366 29 12 12
170 89.9999644366 29 12 12
180 89.9999645456 29 12 12
190 89.9999646942 29 12 12
200 89.9999646942 29 12 12
210 89.9999646942 29 12 12
219 89.9999646942 29 12 12
