# iter best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 85.0162512466 736 2 12 12
10 88.2687819456 1749 5 12 12
20 88.3396850099 2726 5 12 12
30 88.4483255571 3728 5 12 12
40 88.4718385781 4829 5 12 12
50 88.4772707359 6035 5 12 12
60 88.4784270220 7200 5 12 12
70 88.4784526189 8387 5 12 12
80 88.4785409230 9585 5 12 12
90 88.4785492142 10810 5 12 12
100 88.4785492142 12046 5 12 12
110 88.4785494075 13239 5 12 12
120 88.4785494112 14383 5 12 12
130 88.4785494117 15589 5 12 12
140 88.4785494117 16808 5 12 12
150 88.4785494117 17836 5 9 12
160 88.4785494117 18590 5 12 12
170 88.4785494117 19347 5 12 12
180 88.4785494117 20122 5 12 12
190 88.4785494117 20866 5 12 12
200 88.4785494117 21616 5 12 12
210 88.4785494117 22383 5 12 12
219 88.4785494117 23043 5 12 12
