# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1369503750 0.0835031490 -2.5413473748 -2.9154779570 88.2314795093 88.7676008199 88.2314795093 0.1369503750 0.0835031490
0.1369503750 0.0835031490 -2.5413473748 -2.9154779570 88.2314795093 88.7676008199 88.2314795093 0.1369503750 0.0835031490
0.1369589869 0.0841356019 -2.5412870917 -2.9110507865 88.2340956446 88.7596413813 88.2340956446 0.1369589869 0.0841356019
0.1369589872 0.0841356019 -2.5412870894 -2.9110507867 88.2340956388 88.7596413796 88.2340956388 0.1369589872 0.0841356019
0.1369589873 0.0841356019 -2.5412870892 -2.9110507867 88.2340956382 88.7596413794 88.2340956382 0.1369589873 0.0841356019
0.1369589875 0.0841356019 -2.5412870876 -2.9110507870 88.2340956359 88.7596413793 88.2340956359 0.1369589875 0.0841356019
0.1369589876 0.0841356019 -2.5412870866 -2.9110507869 88.2340956315 88.7596413773 88.2340956315 0.1369589876 0.0841356019
0.1374211371 0.0831072657 -2.5380520400 -2.9182491398 88.2271680341 88.7554396841 88.2271680341 0.1374211371 0.0831072657
0.1363749991 0.0839870063 -2.5453750063 -2.9120909558 88.2114177497 88.7551916039 88.2114177497 0.1363749991 0.0839870063
0.1372911832 0.0845437415 -2.5389617176 -2.9081938094 88.1577303027 88.7249707568 88.1577303027 0.1372911832 0.0845437415
0.1382770683 0.0823874780 -2.5320605221 -2.9232876541 88.1643291743 88.7065624288 88.1643291743 0.1382770683 0.0823874780
0.1398045425 0.0826923117 -2.5213682028 -2.9211538184 87.8350128589 88.6239887571 87.8350128589 0.1398045425 0.0826923117
0.1344729299 0.0855865347 -2.5586894904 -2.9008942574 88.0922664628 88.5603371547 88.0922664628 0.1344729299 0.0855865347
0.1328972777 0.0824850603 -2.5697190559 -2.9226045778 84.7974001484 88.5504331136 84.7974001484 0.1328972777 0.0824850603
0.7118909774 0.1456723499 1.4832368416 -2.4802935505 90.3318757722 88.4785494117 88.4785494117 0.7118909774 0.1456723499
0.7118909772 0.1456723499 1.4832368401 -2.4802935507 90.3318757722 88.4785494117 88.4785494117 0.7118909772 0.1456723499
0.7118909774 0.1456723499 1.4832368416 -2.4802935508 90.3318757722 88.4785494117 88.4785494117 0.7118909774 0.1456723499
0.7118909770 0.1456723499 1.4832368391 -2.4802935504 90.3318757722 88.4785494117 88.4785494117 0.7118909770 0.1456723499
0.7118909770 0.1456723499 1.4832368391 -2.4802935504 90.3318757722 88.4785494117 88.4785494117 0.7118909770 0.1456723499
0.7118909769 0.1456723500 1.4832368386 -2.4802935501 90.3318757722 88.4785494117 88.4785494117 0.7118909769 0.1456723500
0.7118909769 0.1456723500 1.4832368386 -2.4802935501 90.3318757722 88.4785494117 88.4785494117 0.7118909769 0.1456723500
0.7118909772 0.1456723499 1.4832368401 -2.4802935507 90.3318757722 88.4785494117 88.4785494117 0.7118909772 0.1456723499
0.7118909774 0.1456723499 1.4832368416 -2.4802935508 90.3318757722 88.4785494117 88.4785494117 0.7118909774 0.1456723499
0.7118909771 0.1456723500 1.4832368398 -2.4802935502 90.3318757722 88.4785494117 88.4785494117 0.7118909771 0.1456723500
0.7118909771 0.1456723500 1.4832368398 -2.4802935502 90.3318757722 88.4785494117 88.4785494117 0.7118909771 0.1456723500
0.7118909775 0.1456723499 1.4832368426 -2.4802935506 90.3318757722 88.4785494117 88.4785494117 0.7118909775 0.1456723499
0.7118909775 0.1456723499 1.4832368426 -2.4802935506 90.3318757722 88.4785494117 88.4785494117 0.7118909775 0.1456723499
0.7118909770 0.1456723500 1.4832368387 -2.4802935503 90.3318757722 88.4785494117 88.4785494117 0.7118909770 0.1456723500
0.7118909770 0.1456723500 1.4832368387 -2.4802935503 90.3318757722 88.4785494117 88.4785494117 0.7118909770 0.1456723500
0.7118909771 0.1456723499 1.4832368399 -2.4802935504 90.3318757722 88.4785494117 88.4785494117 0.7118909771 0.1456723499
0.7118909771 0.1456723499 1.4832368399 -2.4802935504 90.3318757722 88.4785494117 88.4785494117 0.7118909771 0.1456723499
0.7118909772 0.1456723500 1.4832368407 -2.4802935503 90.3318757722 88.4785494117 88.4785494117 0.7118909772 0.1456723500
0.7118909772 0.1456723500 1.4832368407 -2.4802935503 90.3318757722 88.4785494117 88.4785494117 0.7118909772 0.1456723500
0.7118909772 0.1456723499 1.4832368404 -2.4802935509 90.3318757722 88.4785494117 88.4785494117 0.7118909772 0.1456723499
0.7118909772 0.1456723499 1.4832368404 -2.4802935509 90.3318757722 88.4785494117 88.4785494117 0.7118909772 0.1456723499
0.7118909774 0.1456723499 1.4832368416 -2.4802935505 90.3318757722 88.4785494117 88.4785494117 0.7118909774 0.1456723499
0.1373132655 0.0861846314 -2.5388071417 -2.8967075801 87.5970906176 88.4143641897 87.5970906176 0.1373132655 0.0861846314
