# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.8584997194 0.5445046250 2.5094980361 0.3115323751 87.9384338066 89.9822958810 87.9384338066 0.8584997194 0.5445046250
0.1522473380 0.3727345073 -2.4342686341 -0.8908584489 89.9842784095 89.9628342725 89.9628342725 0.1522473380 0.3727345073
0.8534441111 0.5478569761 2.4741087774 0.3349988327 85.3219573344 89.9619614024 85.3219573344 0.8534441111 0.5478569761
0.8507964013 0.5495915504 2.4555748089 0.3471408528 75.1042687103 89.8949311212 75.1042687103 0.8507964013 0.5495915504
0.8594664632 0.5418370273 2.5162652424 0.2928591911 85.8381896455 89.6932589178 85.8381896455 0.8594664632 0.5418370273
0.8637063340 0.5398466837 2.5459443380 0.2789267856 67.9550828208 89.6932132999 67.9550828208 0.8637063340 0.5398466837
0.8598232580 0.5413286019 2.5187628057 0.2893002130 84.8268054540 89.6128684437 84.8268054540 0.8598232580 0.5413286019
0.8522051932 0.5474765793 2.4654363524 0.3323360554 80.8953962321 89.6117726509 80.8953962321 0.8522051932 0.5474765793
0.8479522734 0.5533996890 2.4356659140 0.3737978229 61.0695483216 89.5589487150 61.0695483216 0.8479522734 0.5533996890
0.1595770538 0.3653691295 -2.3829606236 -0.9424160937 89.7983004029 89.5328741399 89.5328741399 0.1595770538 0.3653691295
0.1473398772 0.3776471328 -2.4686208594 -0.8564700703 89.7412651567 89.3967960338 89.3967960338 0.1473398772 0.3776471328
0.8478005095 0.5545296028 2.4346035665 0.3817072193 60.4631924371 89.3850166535 60.4631924371 0.8478005095 0.5545296028
0.1520360620 0.3709215344 -2.4357475662 -0.9035492591 89.9415762577 89.3752827445 89.3752827445 0.1520360620 0.3709215344
0.8466128212 0.5549008175 2.4262897483 0.3843057222 53.9980234751 89.3555393120 53.9980234751 0.8466128212 0.5549008175
0.8584563594 0.5470252690 2.5091945158 0.3291768833 87.7807219319 89.3474800427 87.7807219319 0.8584563594 0.5470252690
0.1464505956 0.3780966176 -2.4748458305 -0.8533236768 89.6420728272 89.2078768101 89.2078768101 0.1464505956 0.3780966176
