# from_x0 from_x1 to_x0 to_x1 length
1.9613373527 0.5539695094 1.9696408187 0.6124659111 0.0084403992
1.9640505047 0.7054405152 1.9696408187 0.6124659111 0.0133060740
1.9728146692 0.7427802718 1.9640505047 0.7054405152 0.0054792149
1.9514546555 0.4890617324 1.9613373527 0.5539695094 0.0093794034
1.9481445886 0.5659045090 1.9613373527 0.5539695094 0.0025414653
1.9644755828 0.5248150816 1.9613373527 0.5539695094 0.0041889776
2.0032580188 0.7623879926 1.9728146692 0.7427802718 0.0051730468
1.9259365078 0.3825971305 1.9514546555 0.4890617324 0.0156400110
1.9671596324 0.5039640163 1.9644755828 0.5248150816 0.0030033011
2.0147877497 0.7968008618 2.0032580188 0.7623879926 0.0051847112
1.9276403194 0.4872839830 1.9514546555 0.4890617324 0.0034115141
1.9568529676 0.4256685394 1.9259365078 0.3825971305 0.0075740882
1.9828667758 0.8605879871 2.0147877497 0.7968008618 0.0101897767
1.9306477851 0.5764533013 1.9481445886 0.5659045090 0.0029186772
1.9210905122 0.4912332374 1.9276403194 0.4872839830 0.0010926151
2.0024373383 0.5812157254 1.9696408187 0.6124659111 0.0064715796
1.9819733227 0.4684672950 1.9514546555 0.4890617324 0.0052596266
1.9400943294 0.3229175211 1.9259365078 0.3825971305 0.0087622796
1.8972093292 0.1965208120 1.9400943294 0.3229175211 0.0190676836
1.9312549697 0.2872928175 1.9400943294 0.3229175211 0.0052435651
2.0316937937 0.8348228529 2.0147877497 0.7968008618 0.0059444471
2.0450273782 0.9712572814 1.9828667758 0.8605879871 0.0181330869
1.9982431256 0.4991674118 1.9671596324 0.5039640163 0.0044930581
1.9031323727 0.3859418107 1.9259365078 0.3825971305 0.0032925874
1.8819602657 0.1168361160 1.8972093292 0.1965208120 0.0115900949
1.9522378105 0.3223459561 1.9400943294 0.3229175211 0.0017367035
1.9325792776 0.7224024770 1.9640505047 0.7054405152 0.0051073103
1.9820208639 0.4090343255 1.9568529676 0.4256685394 0.0043097423
1.8769386677 0.1346964631 1.8819602657 0.1168361160 0.0026504079
1.9907197112 0.9966692443 2.0450273782 0.9712572814 0.0085655820
1.9366059353 0.2422091937 1.9312549697 0.2872928175 0.0064857237
-0.4334206454 -2.9451333306 1.8819602657 0.1168361160 0.5484048418
-0.4286964397 -2.9488046865 -0.4334206454 -2.9451333306 0.0008547225
-0.4314243891 -2.9408318891 -0.4334206454 -2.9451333306 0.0006774417
-0.4579333645 -2.9188709061 -0.4314243891 -2.9408318891 0.0049177118
2.0272875762 0.6520257631 1.9696408187 0.6124659111 0.0099878810
-0.4476654492 -2.9522428958 -0.4334206454 -2.9451333306 0.0022743483
-0.4489303251 -2.9490398387 -0.4476654492 -2.9522428958 0.0004919658
-0.4152474949 -2.9701746798 -0.4286964397 -2.9488046865 0.0036071096
-0.4438608850 -2.9222453903 -0.4579333645 -2.9188709061 0.0020673449
0.5864083151 -0.9407555697 1.8819602657 0.1168361160 0.2389157067
0.5785031736 -0.8595325370 0.5864083151 -0.9407555697 0.0116581165
-0.4447138091 -2.9768606710 -0.4476654492 -2.9522428958 0.0035420132
-0.4766653538 -2.8970442137 -0.4579333645 -2.9188709061 0.0041089547
0.5742511984 -0.8384288435 0.5785031736 -0.8595325370 0.0030753967
-0.4370589754 -2.9957921100 -0.4447138091 -2.9768606710 0.0029172109
0.5838033873 -0.9520850269 0.5864083151 -0.9407555697 0.0016607243
0.5720304560 -0.8203341755 0.5742511984 -0.8384288435 0.0026043477
1.9401850800 0.2256947473 1.9366059353 0.2422091937 0.0024139781
-0.3958119444 -2.9853468341 -0.4152474949 -2.9701746798 0.0035223337
-0.3833177592 -3.0184771222 -0.3958119444 -2.9853468341 0.0050582740
-0.4217795063 -2.9176920241 -0.4438608850 -2.9222453903 0.0032208518
-0.3783674180 -3.0250973837 -0.3833177592 -3.0184771222 0.0011809175
-0.4704137320 -2.9392922893 -0.4489303251 -2.9490398387 0.0033701919
-0.3975432233 -2.9633869700 -0.4152474949 -2.9701746798 0.0027086944
2.0723805288 1.2795097960 1.9907197112 0.9966692443 0.0420561498
1.9207840164 0.7076703939 1.9325792776 0.7224024770 0.0026960381
-0.4353999136 -2.8906807130 -0.4217795063 -2.9176920241 0.0043215795
2.0083417162 1.0958842235 1.9907197112 0.9966692443 0.0143953983
-0.4226763008 -3.0357898101 -0.4370589754 -2.9957921100 0.0060721468
-0.4554213178 -2.8662169703 -0.4353999136 -2.8906807130 0.0045160289
0.5630166683 -0.7459221252 0.5720304560 -0.8203341755 0.0107079997
-0.4562685725 -2.8611699048 -0.4554213178 -2.8662169703 0.0007310980
1.9074599520 0.5973405021 1.9306477851 0.5764533013 0.0044583120
-0.4536703643 -2.8600471306 -0.4562685725 -2.8611699048 0.0004043465
-0.4022844313 -3.0654236252 -0.4226763008 -3.0357898101 0.0051388701
2.0410979962 0.7262796094 2.0032580188 0.7623879926 0.0074719601
-0.3506454431 -3.0581500625 -0.3783674180 -3.0250973837 0.0061627377
0.5858837579 -0.8532675874 0.5785031736 -0.8595325370 0.0013830063
2.0550029619 1.2545180364 2.0723805288 1.2795097960 0.0043485111
0.6044531383 -1.0470937351 0.5838033873 -0.9520850269 0.0138895548
-0.3376766702 -3.1325478779 -0.3506454431 -3.0581500625 0.0107885275
