# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2887722592 0.7290228483 -1.4785941857 1.6031599381 90.0000000000 90.0000000000 90.0000000000 0.2887722592 0.7290228483
0.5931355238 0.6559441238 0.6519486667 1.0916088663 89.9999957227 89.9999899896 89.9999899896 0.5931355238 0.6559441238
0.2896996690 0.6942885534 -1.4721023170 1.3600198735 88.3208570367 84.7089820330 84.7089820330 0.2896996690 0.6942885534
0.5937775899 0.6205178803 0.6564431290 0.8436251621 87.8500804433 84.4955421590 84.4955421590 0.5937775899 0.6205178803
0.3080159998 0.7337402104 -1.3438880012 1.6361814725 84.7080078158 84.0116352410 84.0116352410 0.3080159998 0.7337402104
0.5573534245 0.6589182297 0.4014739714 1.1124276076 82.2778678968 82.1582912630 82.1582912630 0.5573534245 0.6589182297
0.6342259989 0.6549172111 0.9395819920 1.0844204774 82.0771090366 82.7458711957 82.0771090366 0.6342259989 0.6549172111
0.2511018507 0.7264078455 -1.7422870453 1.5848549183 76.3861799652 76.3135161156 76.3135161156 0.2511018507 0.7264078455
0.6225653172 0.6193710211 0.8579572201 0.8355971476 76.7996245362 71.0181901992 71.0181901992 0.6225653172 0.6193710211
0.5281164318 0.6540530881 0.1968150228 1.0783716164 70.0717092925 72.9069447720 70.0717092925 0.5281164318 0.6540530881
0.5570928430 0.6192430377 0.3996499008 0.8347012642 74.8177831558 69.6322644716 69.6322644716 0.5570928430 0.6192430377
0.3461856188 0.7279667327 -1.0767006686 1.5957671291 70.5604119778 68.2169121562 68.2169121562 0.3461856188 0.7279667327
0.6649347292 0.6559089033 1.1545431045 1.0913623233 67.6803314432 70.4370983440 67.6803314432 0.6649347292 0.6559089033
0.2885282758 0.6482369785 -1.4803020692 1.0376588492 72.5880884152 66.6103103615 66.6103103615 0.2885282758 0.6482369785
