# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7023887979 0.8284154830 1.4167215850 2.2989083809 89.8077777333 89.9742146899 89.8077777333 0.7023887979 0.8284154830
0.7043135339 0.8230644810 1.4301947373 2.2614513667 89.7527929124 89.9500617404 89.7527929124 0.7043135339 0.8230644810
0.7019090449 0.8294855145 1.4133633146 2.3063986017 89.5930948626 89.9458573441 89.5930948626 0.7019090449 0.8294855145
0.6996382541 0.8310791978 1.3974677787 2.3175543848 88.4970743505 89.7116156814 88.4970743505 0.6996382541 0.8310791978
0.7058238550 0.8160300157 1.4407669853 2.2122101101 87.4677154846 89.4044962827 87.4677154846 0.7058238550 0.8160300157
0.7020113425 0.8237431215 1.4140793972 2.2662018506 89.9696853276 89.3449356295 89.3449356295 0.7020113425 0.8237431215
0.7028194519 0.8334831631 1.4197361630 2.3343821416 88.8636681473 89.2223880958 88.8636681473 0.7028194519 0.8334831631
0.7084963909 0.8123129562 1.4594747365 2.1861906936 84.4790007707 89.0766130384 84.4790007707 0.7084963909 0.8123129562
0.7075916392 0.8236256872 1.4531414746 2.2653798107 88.9252502056 88.9574180564 88.9252502056 0.7075916392 0.8236256872
0.7107760350 0.8165319882 1.4754322451 2.2157239175 84.6675669888 88.8889441880 84.6675669888 0.7107760350 0.8165319882
0.6953830626 0.8431871649 1.3676814382 2.4023101540 79.9859696069 88.7582500870 79.9859696069 0.6953830626 0.8431871649
0.7044742965 0.8319033995 1.4313200755 2.3233237962 89.5261908082 88.5896005836 88.5896005836 0.7044742965 0.8319033995
0.7147170010 0.8061742996 1.5030190067 2.1432200970 74.5427201902 88.5040891756 74.5427201902 0.7147170010 0.8061742996
0.6918511132 0.8461597147 1.3429577927 2.4231180028 74.0265792955 88.4824547025 74.0265792955 0.6918511132 0.8461597147
0.7139217965 0.8059823618 1.4974525754 2.1418765328 75.3444696579 88.4094647405 75.3444696579 0.7139217965 0.8059823618
0.6998622353 0.8425227816 1.3990356470 2.3976594712 83.5761783258 88.3571935055 83.5761783258 0.6998622353 0.8425227816
0.6940372835 0.8485219481 1.3582609846 2.4396536365 74.9264330593 87.7759500346 74.9264330593 0.6940372835 0.8485219481
0.7106212503 0.8209053620 1.4743487521 2.2463375341 86.5512149052 87.4521784757 86.5512149052 0.7106212503 0.8209053620
0.6874597288 0.8549080332 1.3122181017 2.4843562327 61.3871789458 86.8926844969 61.3871789458 0.6874597288 0.8549080332
0.6949143021 0.8514876538 1.3644001144 2.4604135769 73.2187334698 86.8363017216 73.2187334698 0.6949143021 0.8514876538
0.6892866049 0.8458971565 1.3250062344 2.4212800956 71.0949879664 86.8030459048 71.0949879664 0.6892866049 0.8458971565
0.6856587265 0.8564249517 1.2996110855 2.4949746616 57.6911023574 86.6356929104 57.6911023574 0.6856587265 0.8564249517
0.7056802672 0.8355164840 1.4397618705 2.3486153879 88.9031977618 85.8028936772 85.8028936772 0.7056802672 0.8355164840
0.6945341189 0.8550126233 1.3617388325 2.4850883632 69.6322584716 85.7750896845 69.6322584716 0.6945341189 0.8550126233
0.6932375889 0.8344430682 1.3526631223 2.3411014776 82.7734819041 85.7022780842 82.7734819041 0.6932375889 0.8344430682
0.7165444426 0.8110293075 1.5158110985 2.1772051528 75.8002008242 85.6402926062 75.8002008242 0.7165444426 0.8110293075
0.7200085869 0.7922206080 1.5400601080 2.0455442562 56.2129427645 85.5886322319 56.2129427645 0.7200085869 0.7922206080
0.7229144701 0.7906793741 1.5604012905 2.0347556187 51.0429586107 85.4189420406 51.0429586107 0.7229144701 0.7906793741
0.6884086788 0.8608379193 1.3188607519 2.5258654354 57.4302665859 85.0625250166 57.4302665859 0.6884086788 0.8608379193
0.6921040887 0.8355799777 1.3447286206 2.3490598442 81.1041144614 84.9021753773 81.1041144614 0.6921040887 0.8355799777
0.6996655599 0.8506200216 1.3976589192 2.4543401513 77.6160381979 84.7479533048 77.6160381979 0.6996655599 0.8506200216
0.7107856900 0.8261167835 1.4754998302 2.2828174844 88.0860088429 84.6237352307 84.6237352307 0.7107856900 0.8261167835
0.6839340212 0.8641724447 1.2875381483 2.5492071131 48.5831214448 84.6056984142 48.5831214448 0.6839340212 0.8641724447
0.7210812183 0.7882245979 1.5475685280 2.0175721856 51.2170830921 84.4655705845 51.2170830921 0.7210812183 0.7882245979
0.7034832285 0.8091535590 1.4243825995 2.1640749133 85.0305250047 84.4503789403 84.4503789403 0.7034832285 0.8091535590
0.7160524865 0.7904710140 1.5123674056 2.0332970983 59.5065554957 84.2651243041 59.5065554957 0.7160524865 0.7904710140
0.6791749869 0.8674149721 1.2542249086 2.5719048045 40.0138893965 83.9290028208 40.0138893965 0.6791749869 0.8674149721
0.7200065386 0.8060317375 1.5400457700 2.1422221625 67.9102190031 83.9230575110 67.9102190031 0.7200065386 0.8060317375
0.7117574927 0.8253768499 1.4823024488 2.2776379490 87.3432653342 83.7450908416 83.7450908416 0.7117574927 0.8253768499
0.6936103792 0.8610661156 1.3552726543 2.5274628091 62.8863765219 83.6820120420 62.8863765219 0.6936103792 0.8610661156
0.6993515838 0.8170740763 1.3954610864 2.2195185339 89.3514192196 83.6746260503 83.6746260503 0.6993515838 0.8170740763
0.6868950039 0.8455150044 1.3082650270 2.4186050310 68.3979352444 83.6390938143 68.3979352444 0.6868950039 0.8455150044
0.7045302291 0.8050697557 1.4317116035 2.1354882898 81.9750754793 83.3081682408 81.9750754793 0.7045302291 0.8050697557
0.7105637619 0.8290202972 1.4739463336 2.3031420801 88.8664487657 83.1514922988 83.1514922988 0.7105637619 0.8290202972
0.6954008523 0.8608419302 1.3678059659 2.5258935113 64.8286161455 83.1360966387 64.8286161455 0.6954008523 0.8608419302
0.7247308808 0.7824379946 1.5731161657 1.9770659624 41.5272566503 82.9913511978 41.5272566503 0.7247308808 0.7824379946
0.6982661090 0.8565103619 1.3878627629 2.4955725330 71.4746184554 82.8735823180 71.4746184554 0.6982661090 0.8565103619
0.7070873289 0.7987515066 1.4496113021 2.0912605459 75.4408530762 82.7938746508 75.4408530762 0.7070873289 0.7987515066
0.6988324198 0.8557618529 1.3918269386 2.4903329705 72.6144771006 82.5428828577 72.6144771006 0.6988324198 0.8557618529
0.7228167693 0.7815274944 1.5597173854 1.9706924611 43.0272053491 82.3420520487 43.0272053491 0.7228167693 0.7815274944
0.6921774796 0.8652369164 1.3452423569 2.5566584149 57.2874972314 82.3167772694 57.2874972314 0.6921774796 0.8652369164
0.8879923620 0.8088675202 2.7159465339 2.1620726414 27.9683458820 82.2584644290 27.9683458820 0.8879923620 0.8088675202
0.8872912721 0.8093148202 2.7110389049 2.1652037414 27.9683458820 82.2426887745 27.9683458820 0.8872912721 0.8093148202
