# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1010057681 0.3526436474 -2.7929596232 -1.0314944680 89.9615244410 89.0680677761 89.0680677761 0.1010057681 0.3526436474
0.7205828682 0.3919044914 1.5440800773 -0.7566685604 89.9544348754 89.9686014441 89.9544348754 0.7205828682 0.3919044914
0.1030058221 0.3486370342 -2.7789592451 -1.0595407607 89.8827470906 89.0344477338 89.0344477338 0.1030058221 0.3486370342
0.7207935621 0.3871500722 1.5455549350 -0.7899494944 89.8751783829 89.6266633157 89.6266633157 0.7207935621 0.3871500722
0.7200230272 0.3906561016 1.5401611907 -0.7654072890 89.8451610161 89.9937989528 89.8451610161 0.7200230272 0.3906561016
0.1052018738 0.3482138140 -2.7635868831 -1.0625033023 89.8449160857 82.7825088583 82.7825088583 0.1052018738 0.3482138140
0.1041314170 0.3509110573 -2.7710800811 -1.0436225992 89.7964401943 80.6900906839 80.6900906839 0.1041314170 0.3509110573
0.1091567043 0.3419390929 -2.7359030702 -1.1064263497 89.7794409234 51.5271547550 51.5271547550 0.1091567043 0.3419390929
0.1062043981 0.3443855010 -2.7565692130 -1.0893014933 89.7488926757 76.1832773036 76.1832773036 0.1062043981 0.3443855010
0.7202249840 0.3871511855 1.5415748880 -0.7899417013 89.6730666631 89.4408993533 89.4408993533 0.7202249840 0.3871511855
0.7209431269 0.4013550242 1.5466018882 -0.6905148306 89.5846047842 86.9537051100 86.9537051100 0.7209431269 0.4013550242
0.1024147547 0.3440841045 -2.7830967172 -1.0914112687 89.5610450820 89.5165395371 89.5165395371 0.1024147547 0.3440841045
0.7199707334 0.3992326796 1.5397951340 -0.7053712429 89.5290581196 88.5959426913 88.5959426913 0.7199707334 0.3992326796
0.1050881694 0.3530787194 -2.7643828140 -1.0284489644 89.4801249928 77.2390121238 77.2390121238 0.1050881694 0.3530787194
0.0958429164 0.3605262045 -2.8290995849 -0.9763165688 89.4696247766 63.0932717865 63.0932717865 0.0958429164 0.3605262045
0.7224075557 0.3898106242 1.5568528902 -0.7713256303 89.3799701163 89.9798523368 89.3799701163 0.7224075557 0.3898106242
0.1026368375 0.3448457121 -2.7815421374 -1.0860800153 89.3566298582 89.7532103610 89.3566298582 0.1026368375 0.3448457121
0.7204923539 0.3815917371 1.5434464770 -0.8288578402 89.2704842446 87.8539580847 87.8539580847 0.7204923539 0.3815917371
0.0876323928 0.3761953025 -2.8865732505 -0.8666328823 89.2422416117 17.8871667795 17.8871667795 0.0876323928 0.3761953025
0.7225683624 0.3906976610 1.5579785365 -0.7651163727 89.2349381590 89.8971704036 89.2349381590 0.7225683624 0.3906976610
0.1013351487 0.3616067330 -2.7906539588 -0.9687528692 89.1820775615 89.6207029941 89.1820775615 0.1013351487 0.3616067330
0.7204855161 0.3775733448 1.5433986127 -0.8569865866 89.1643236950 85.0753143179 85.0753143179 0.7204855161 0.3775733448
0.7201173562 0.3828219199 1.5408214932 -0.8202465610 89.1633501515 88.5621468485 88.5621468485 0.7201173562 0.3828219199
0.1049306308 0.3434788237 -2.7654855842 -1.0956482339 89.1360795534 80.6393347982 80.6393347982 0.1049306308 0.3434788237
0.7224713154 0.3944776992 1.5572992076 -0.7386561059 89.0964649854 89.3598648644 89.0964649854 0.7224713154 0.3944776992
0.0944828877 0.3624435982 -2.8386197863 -0.9628948126 89.0574784912 53.4105476009 53.4105476009 0.0944828877 0.3624435982
0.7237270084 0.3925659000 1.5660890587 -0.7520387003 88.9701513098 89.6973424904 88.9701513098 0.7237270084 0.3925659000
0.7199256543 0.3793594351 1.5394795804 -0.8444839545 88.8787620624 84.8596959842 84.8596959842 0.7199256543 0.3793594351
0.7198788476 0.3717689635 1.5391519332 -0.8976172554 88.8560855007 77.2945096210 77.2945096210 0.7198788476 0.3717689635
0.7211456385 0.3694890952 1.5480194698 -0.9135763334 88.8497424143 79.1235457102 79.1235457102 0.7211456385 0.3694890952
0.0974173268 0.3534791138 -2.8180787124 -1.0256462037 88.8369867511 72.7317256275 72.7317256275 0.0974173268 0.3534791138
0.1062369808 0.3402799619 -2.7563411346 -1.1180402666 88.6816284746 80.2952323042 80.2952323042 0.1062369808 0.3402799619
0.0924935919 0.3714854700 -2.8525448569 -0.8996017100 88.6619954507 54.1848402835 54.1848402835 0.0924935919 0.3714854700
0.7195989400 0.4036487098 1.5371925803 -0.6744590312 88.5138421215 85.2123809509 85.2123809509 0.7195989400 0.4036487098
0.7197678583 0.3695819408 1.5383750078 -0.9129264143 88.3931803168 80.8262357366 80.8262357366 0.7197678583 0.3695819408
0.0998964329 0.3400831589 -2.8007249700 -1.1194178880 88.1601212429 81.0452531575 81.0452531575 0.0998964329 0.3400831589
0.7215313984 0.4213033860 1.5507197885 -0.5508762982 88.1460920234 65.2263924976 65.2263924976 0.7215313984 0.4213033860
0.7238407059 0.3796673723 1.5668849411 -0.8423283936 88.1101295810 87.0817039992 87.0817039992 0.7238407059 0.3796673723
0.7192756913 0.3715150410 1.5349298390 -0.8993947130 88.1002294239 77.0010747774 77.0010747774 0.7192756913 0.3715150410
0.7231231457 0.3992318446 1.5618620202 -0.7053770881 88.0305081774 87.8596224210 87.8596224210 0.7231231457 0.3992318446
0.0955630243 0.3745785718 -2.8310588300 -0.8779499972 87.9172482997 71.1877066338 71.1877066338 0.0955630243 0.3745785718
0.7188181544 0.3990619474 1.5317270809 -0.7065663679 87.7335363916 89.0451026344 87.7335363916 0.7188181544 0.3990619474
0.7223878771 0.3716184276 1.5567151400 -0.8986710066 87.6964527673 82.4347347146 82.4347347146 0.7223878771 0.3716184276
0.7239475881 0.3779952075 1.5676331170 -0.8540335478 87.5795053233 87.5278818062 87.5278818062 0.7239475881 0.3779952075
0.7226388951 0.3677586268 1.5584722656 -0.9256896122 87.5020967199 79.2602213649 79.2602213649 0.7226388951 0.3677586268
0.1113020159 0.3222499990 -2.7208858885 -1.2442500071 87.4211838526 46.9408828621 46.9408828621 0.1113020159 0.3222499990
0.1150617118 0.3354335308 -2.6945680172 -1.1519652841 87.3618340386 11.2353975841 11.2353975841 0.1150617118 0.3354335308
0.0814117885 0.3845223935 -2.9301174803 -0.8083432454 87.3418387886 3.1951762299 3.1951762299 0.0814117885 0.3845223935
0.7236408164 0.3670085045 1.5654857151 -0.9309404683 87.2801748178 79.6963548760 79.6963548760 0.7236408164 0.3670085045
0.7244988336 0.3814832198 1.5714918355 -0.8296174617 87.1595061226 88.9382248613 87.1595061226 0.7244988336 0.3814832198
0.7163352702 0.3934166775 1.5143468912 -0.7460832572 87.1499889228 89.8954717074 87.1499889228 0.7163352702 0.3934166775
0.7184374984 0.3975396947 1.5290624891 -0.7172221369 87.1287546631 88.9966999836 87.1287546631 0.7184374984 0.3975396947
0.7198345114 0.4085850030 1.5388415801 -0.6399049792 87.0434373083 82.8576725214 82.8576725214 0.7198345114 0.4085850030
0.0918214675 0.3811407937 -2.8572497274 -0.8320144441 87.0149358414 51.2226445060 51.2226445060 0.0918214675 0.3811407937
0.7238969498 0.3709873507 1.5672786489 -0.9030885450 86.9397302408 81.6459750073 81.6459750073 0.7238969498 0.3709873507
0.7185547970 0.4013360175 1.5298835788 -0.6906478778 86.7695232298 88.5007178992 86.7695232298 0.7185547970 0.4013360175
0.7208391265 0.4119738015 1.5458738854 -0.6161833895 86.6829157884 79.0140210342 79.0140210342 0.7208391265 0.4119738015
0.7163595932 0.3910222573 1.5145171526 -0.7628441990 86.6201753940 89.4474577845 86.6201753940 0.7163595932 0.3910222573
0.7222101858 0.3644884612 1.5554713004 -0.9485807713 86.3247973122 75.7737438690 75.7737438690 0.7222101858 0.3644884612
0.7213109982 0.4273767271 1.5491769877 -0.5083629106 86.2262871525 61.7360566398 61.7360566398 0.7213109982 0.4273767271
0.7202921919 0.3482902947 1.5420453434 -1.0619679369 86.0537135473 50.8078231225 50.8078231225 0.7202921919 0.3482902947
0.1310246306 0.3022584013 -2.5828275857 -1.3841911907 85.9443209488 0.2090552044 0.2090552044 0.1310246306 0.3022584013
0.7200983713 0.4189594274 1.5406885988 -0.5672840084 85.9114246462 73.2909599649 73.2909599649 0.7200983713 0.4189594274
0.7240474158 0.4174472071 1.5683319106 -0.5778695504 85.8663829317 67.2063129788 67.2063129788 0.7240474158 0.4174472071
0.7276704979 0.3814374522 1.5936934850 -0.8299378349 85.6926249608 89.8187864896 85.6926249608 0.7276704979 0.3814374522
0.1202746641 0.3063896050 -2.6580773516 -1.3552727650 85.6167645463 5.0705890988 5.0705890988 0.1202746641 0.3063896050
0.0995274294 0.3331404592 -2.8033079943 -1.1680167859 85.5675690858 73.5584816742 73.5584816742 0.0995274294 0.3331404592
0.1062280006 0.3640989550 -2.7564039959 -0.9513073153 85.4990463566 60.2819832072 60.2819832072 0.1062280006 0.3640989550
0.7242839036 0.3694627566 1.5699873252 -0.9137607041 85.4509709652 84.0816705387 84.0816705387 0.7242839036 0.3694627566
0.0767139971 0.3910827254 -2.9630020205 -0.7624209219 85.4497678514 2.4580535262 2.4580535262 0.0767139971 0.3910827254
0.7238325502 0.4151202605 1.5668278513 -0.5941581768 85.4087341566 81.6683063763 81.6683063763 0.7238325502 0.4151202605
0.7187618779 0.4073120052 1.5313331450 -0.6488159636 85.1082030070 86.1304639026 85.1082030070 0.7187618779 0.4073120052
0.1139126397 0.3467661854 -2.7026115220 -1.0726367022 85.0251198842 13.7843052757 13.7843052757 0.1139126397 0.3467661854
0.7233282481 0.4063827669 1.5632977367 -0.6553206314 85.0054702922 83.6862312537 83.6862312537 0.7233282481 0.4063827669
0.7246830141 0.4185420351 1.5727810986 -0.5702057546 84.9776622683 61.6907726558 61.6907726558 0.7246830141 0.4185420351
0.7163396430 0.3746212819 1.5143775008 -0.8776510267 84.9104181509 76.5248684145 76.5248684145 0.7163396430 0.3746212819
0.1053510220 0.3232070324 -2.7625428459 -1.2375507734 84.6447802389 87.7236957216 84.6447802389 0.1053510220 0.3232070324
0.0921221037 0.3569191707 -2.8551452743 -1.0015658048 84.5287700565 45.8061670523 45.8061670523 0.0921221037 0.3569191707
0.7184925343 0.3691414896 1.5294477404 -0.9160095730 84.5284000983 83.3637902724 83.3637902724 0.7184925343 0.3691414896
0.7251258584 0.3817774361 1.5758810090 -0.8275579475 84.4343270184 89.4588698316 84.4343270184 0.7251258584 0.3817774361
0.7195771075 0.4130504744 1.5370397527 -0.6086466795 84.4235289921 79.3017439436 79.3017439436 0.7195771075 0.4130504744
0.7247116558 0.3767690829 1.5729815906 -0.8626164196 84.3953350859 88.0067691566 84.3953350859 0.7247116558 0.3767690829
0.7167483722 0.3739282428 1.5172386057 -0.8825023007 84.3883061765 76.5164747299 76.5164747299 0.7167483722 0.3739282428
0.7231173740 0.4120961158 1.5618216182 -0.6153271891 84.3702604817 71.4717452311 71.4717452311 0.7231173740 0.4120961158
0.0809194990 0.3994051393 -2.9335635073 -0.7041640252 84.3354044121 1.7846097165 1.7846097165 0.0809194990 0.3994051393
0.1255371173 0.3119307576 -2.6212401791 -1.3164846969 84.3157925139 5.7303336894 5.7303336894 0.1255371173 0.3119307576
0.1136652899 0.3477256698 -2.7043429706 -1.0659203115 84.1325128849 14.1929295351 14.1929295351 0.1136652899 0.3477256698
0.7131550134 0.4027498366 1.4920850936 -0.6807511439 84.0902898251 89.4148019616 84.0902898251 0.7131550134 0.4027498366
0.7227243249 0.3604113218 1.5590702746 -0.9771207474 84.0594896354 73.3589515743 73.3589515743 0.7227243249 0.3604113218
0.1243107251 0.3183161907 -2.6298249242 -1.2717866650 83.9717558610 0.7295630446 0.7295630446 0.1243107251 0.3183161907
0.0752133430 0.4237317465 -2.9735065990 -0.5338777748 79.9339039369 1.5630522928 1.5630522928 0.0752133430 0.4237317465
0.1476001241 0.2906558640 -2.4667991315 -1.4654089522 79.4625747287 0.0734389052 0.0734389052 0.1476001241 0.2906558640
0.0562240648 0.4399029901 -3.1064315466 -0.4206790694 78.5330923171 0.2690392251 0.2690392251 0.0562240648 0.4399029901
0.0994889961 0.4055688367 -2.8035770271 -0.6610181434 77.2545904157 73.1264641294 73.1264641294 0.0994889961 0.4055688367
0.0685560268 0.9186566390 -3.0201078126 2.9305964728 76.6155194600 0.0984919458 0.0984919458 0.0685560268 0.9186566390
0.7226203500 0.3137249772 1.5583424497 -1.3039251593 76.4287038542 34.1568416898 34.1568416898 0.7226203500 0.3137249772
0.1421649776 0.2573501407 -2.5048451569 -1.6985490152 75.9804478891 1.1031999738 1.1031999738 0.1421649776 0.2573501407
0.1706604381 0.2312826495 -2.3053769335 -1.8810214532 75.1118577516 0.0734389052 0.0734389052 0.1706604381 0.2312826495
0.1124902413 0.3834373464 -2.7125683110 -0.8159385753 71.8710278852 19.6598151184 19.6598151184 0.1124902413 0.3834373464
0.8084029072 0.9732354848 2.1588203502 3.3126483938 69.6471966721 25.8177441666 25.8177441666 0.8084029072 0.9732354848
0.0722530455 0.3659188698 -2.9942286817 -0.9385679115 69.5557830986 0.2076493350 0.2076493350 0.0722530455 0.3659188698
