# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1392934705 0.6831058840 -2.5249457064 1.2817411880 90.0000000000 90.0000000000 90.0000000000 0.1392934705 0.6831058840
0.7970125139 0.6107972834 2.0790875972 0.7755809839 89.9999920049 89.9999855686 89.9999855686 0.7970125139 0.6107972834
0.1317570186 0.7187908437 -2.5777008695 1.5315359060 85.3876538089 85.8660399393 85.3876538089 0.1317570186 0.7187908437
0.1470870662 0.6466073230 -2.4703905369 1.0262512613 85.2105796606 85.5617334405 85.2105796606 0.1470870662 0.6466073230
0.7870356533 0.6408805372 2.0092495731 0.9861637601 85.4370078594 84.2069517322 84.2069517322 0.7870356533 0.6408805372
0.8083785781 0.5776192224 2.1586500465 0.5433345565 84.2431879109 83.2789637610 83.2789637610 0.8083785781 0.5776192224
0.1452166990 0.6268810003 -2.4834831073 0.8881670024 76.6655822462 87.1833224083 76.6655822462 0.1452166990 0.6268810003
0.1239973932 0.7535942263 -2.6320182477 1.7751595843 74.4103096156 75.3269929197 74.4103096156 0.1239973932 0.7535942263
0.7746577126 0.6752963704 1.9226039881 1.2270745929 70.8236484548 69.6902041178 69.6902041178 0.7746577126 0.6752963704
0.8221979221 0.5412458784 2.2553854549 0.2887211486 66.9973012653 68.0105078559 66.9973012653 0.8221979221 0.5412458784
0.1594840846 0.5942671297 -2.3836114075 0.6598699078 67.7288055801 66.8870608432 66.8870608432 0.1594840846 0.5942671297
