# iter best_consensus archive_size party0_clusters party1_clusters
0 88.3681023357 3 12 12
10 89.9383028110 10 12 12
20 89.9897225382 10 12 12
30 89.9941132222 10 12 12
40 89.9941132222 10 12 7
50 89.9986072402 10 6 7
60 89.9986072402 10 5 8
70 89.9997542772 10 5 7
80 89.9998214909 10 5 7
90 89.9999834368 10 5 7
100 89.9999962086 10 5 7
110 89.9999962086 10 5 7
120 89.9999991118 10 5 7
130 89.9999998771 10 5 7
140 89.9999998771 11 5 7
150 89.9999998771 11 5 7
160 89.9999999920 11 5 7
170 89.9999999997 11 5 7
180 89.9999999997 11 5 7
190 90.0000000000 11 5 8
200 90.0000000000 11 5 7
210 90.0000000000 11 5 7
219 90.0000000000 11 5 7
