# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1392934705 0.6831058840 -2.5249457064 1.2817411880 90.0000000000 90.0000000000 90.0000000000 0.1392934705 0.6831058840
0.1392934705 0.6831058840 -2.5249457064 1.2817411880 90.0000000000 90.0000000000 90.0000000000 0.1392934705 0.6831058840
0.1392934705 0.6831058840 -2.5249457064 1.2817411880 90.0000000000 90.0000000000 90.0000000000 0.1392934705 0.6831058840
0.1392934705 0.6831058840 -2.5249457064 1.2817411880 90.0000000000 90.0000000000 90.0000000000 0.1392934705 0.6831058840
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058524 -2.5249456773 1.2817409666 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058524
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934747 0.6831058472 -2.5249456773 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058472
0.1392934730 0.6831058464 -2.5249456890 1.2817409250 90.0000000000 90.0000000000 90.0000000000 0.1392934730 0.6831058464
0.1392934747 0.6831058897 -2.5249456773 1.2817412278 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058897
0.1392934699 0.6831058472 -2.5249457107 1.2817409303 90.0000000000 90.0000000000 90.0000000000 0.1392934699 0.6831058472
0.1392934747 0.6831058352 -2.5249456773 1.2817408461 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831058352
0.1392934800 0.6831058741 -2.5249456403 1.2817411185 90.0000000000 90.0000000000 90.0000000000 0.1392934800 0.6831058741
0.1392934746 0.6831059004 -2.5249456781 1.2817413026 90.0000000000 90.0000000000 90.0000000000 0.1392934746 0.6831059004
0.1392934699 0.6831058380 -2.5249457107 1.2817408663 90.0000000000 90.0000000000 90.0000000000 0.1392934699 0.6831058380
0.1392934632 0.6831059157 -2.5249457579 1.2817414099 90.0000000000 90.0000000000 90.0000000000 0.1392934632 0.6831059157
0.1392934660 0.6831058636 -2.5249457380 1.2817410454 90.0000000000 90.0000000000 90.0000000000 0.1392934660 0.6831058636
0.1392934747 0.6831059117 -2.5249456773 1.2817413817 90.0000000000 90.0000000000 90.0000000000 0.1392934747 0.6831059117
0.1392934643 0.6831059244 -2.5249457497 1.2817414705 90.0000000000 90.0000000000 90.0000000000 0.1392934643 0.6831059244
0.1392934610 0.6831059255 -2.5249457733 1.2817414783 90.0000000000 90.0000000000 90.0000000000 0.1392934610 0.6831059255
0.1392934862 0.6831058224 -2.5249455969 1.2817407565 90.0000000000 90.0000000000 90.0000000000 0.1392934862 0.6831058224
