# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7972450173 0.6103961371 2.0807151210 0.7727729595 89.9977940744 89.9994124638 89.9977940744 0.7972450173 0.6103961371
0.1395888858 0.6802792846 -2.5228777993 1.2619549924 89.9620450509 89.9922661560 89.9620450509 0.1395888858 0.6802792846
0.1399295712 0.6792985625 -2.5204930013 1.2550899373 89.9383028110 89.9747336839 89.9383028110 0.1399295712 0.6792985625
0.7974005821 0.6090193536 2.0818040747 0.7631354753 89.9890186848 89.9647875929 89.9647875929 0.7974005821 0.6090193536
0.7994856427 0.6085874462 2.0963994987 0.7601121233 89.7471424438 89.9391042535 89.7471424438 0.7994856427 0.6085874462
0.7975915766 0.6062993179 2.0831410359 0.7440952253 89.9593129369 89.7230033913 89.7230033913 0.7975915766 0.6062993179
0.8012844857 0.6102585425 2.1089914002 0.7718097976 89.1511298949 89.6613434402 89.1511298949 0.8012844857 0.6102585425
0.7919765872 0.6210419490 2.0438361104 0.8472936429 89.0264398791 89.6146113486 89.0264398791 0.7919765872 0.6210419490
0.7899933500 0.6205907643 2.0299534501 0.8441353500 88.1901642568 89.5302248066 88.1901642568 0.7899933500 0.6205907643
0.8040264910 0.6033326786 2.1281854369 0.7233287503 88.0791380889 89.5272007831 88.0791380889 0.8040264910 0.6033326786
0.8009059578 0.6012358170 2.1063417048 0.7086507188 89.3463720735 89.5014421127 89.3463720735 0.8009059578 0.6012358170
0.8046426197 0.6033679347 2.1324983380 0.7235755431 87.7019452452 89.4409890066 87.7019452452 0.8046426197 0.6033679347
0.8046866270 0.6045552311 2.1328063888 0.7318866179 87.6156744594 89.4300100836 87.6156744594 0.8046866270 0.6045552311
0.7891122157 0.6226964352 2.0237855102 0.8588750461 87.7569565347 89.4052516783 87.7569565347 0.7891122157 0.6226964352
0.7965384688 0.6172761517 2.0757692819 0.8209330617 89.9464866503 89.3639227318 89.3639227318 0.7965384688 0.6172761517
0.1395655159 0.6590017012 -2.5230413890 1.1130119082 86.5531487551 89.1530274677 86.5531487551 0.1395655159 0.6590017012
0.8022538065 0.5980772950 2.1157766452 0.6865410652 88.8338481158 89.1457936881 88.8338481158 0.8022538065 0.5980772950
0.8070191231 0.5995142783 2.1491338618 0.6965999482 86.2022494752 89.0569526077 86.2022494752 0.8070191231 0.5995142783
0.1351034313 0.7092902130 -2.5542759812 1.4650314907 87.1724710451 88.9971059006 87.1724710451 0.1351034313 0.7092902130
0.7862099087 0.6259124007 2.0034693610 0.8813868051 85.7894221446 88.9079338221 85.7894221446 0.7862099087 0.6259124007
0.8026640510 0.6124087192 2.1186483568 0.7868610341 88.4357107229 88.8507499603 88.4357107229 0.8026640510 0.6124087192
0.7995076061 0.6161866502 2.0965532429 0.8133065513 89.5801448141 88.8044167261 88.8044167261 0.7995076061 0.6161866502
0.1378731057 0.6626003887 -2.5348882600 1.1382027207 86.5656236507 88.6355426057 86.5656236507 0.1378731057 0.6626003887
