# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.6707507325 0.2883121078 1.1952551275 -1.4818152456 90.0000000000 90.0000000000 90.0000000000 0.6707507325 0.2883121078
0.2672608312 0.3527265804 -1.6291741815 -1.0309139372 89.9999999691 89.9999999434 89.9999999434 0.2672608312 0.3527265804
0.2626528640 0.3880171565 -1.6614299519 -0.7838799047 88.8664074733 88.2966400273 88.2966400273 0.2626528640 0.3880171565
0.6644798182 0.2617367974 1.1513587277 -1.6678424185 89.1895363168 87.9774695288 87.9774695288 0.6644798182 0.2617367974
0.2702020451 0.3170370178 -1.6085856840 -1.2807408753 87.9508108017 88.3386831503 87.9508108017 0.2702020451 0.3170370178
0.6768829267 0.3238164674 1.2381804870 -1.2332847282 88.1120700826 87.2959456712 87.2959456712 0.6768829267 0.3238164674
0.2584235044 0.4290044619 -1.6910354690 -0.4969687668 83.6106312689 83.6826834259 83.6106312689 0.2584235044 0.4290044619
0.6583833284 0.2232306899 1.1086832991 -1.9373851707 83.3377405741 83.2114310771 83.2114310771 0.6583833284 0.2232306899
0.2775748858 0.2729351318 -1.5569757994 -1.5894540775 82.8938650321 82.4837413499 82.4837413499 0.2775748858 0.2729351318
0.6818109841 0.3606421660 1.2726768890 -0.9755048377 81.6524531308 81.3892741384 81.3892741384 0.6818109841 0.3606421660
0.2785829397 0.2501311089 -1.5499194218 -1.7490822374 77.5739350248 78.4131814951 77.5739350248 0.2785829397 0.2501311089
0.2544028890 0.4639261251 -1.7191797773 -0.2525171245 77.8750566980 77.2340457594 77.2340457594 0.2544028890 0.4639261251
0.6562392171 0.1874226967 1.0936745197 -2.1880411231 75.8984200650 76.9307032643 75.8984200650 0.6562392171 0.1874226967
0.6810207318 0.2657460268 1.2671451227 -1.6397778123 73.5058591909 72.1759675005 72.1759675005 0.6810207318 0.2657460268
0.6909295518 0.3949711104 1.3365068623 -0.7352022272 77.6771184496 71.7471228979 71.7471228979 0.6909295518 0.3949711104
0.2826749552 0.2115555321 -1.5212753138 -2.0191112753 69.9300563608 70.4969232741 69.9300563608 0.2826749552 0.2115555321
0.2511820404 0.5086731905 -1.7417257174 0.0607123335 65.8976462053 66.3680611859 65.8976462053 0.2511820404 0.5086731905
0.6443932586 0.1442539103 1.0107528102 -2.4902226281 67.3701973506 65.1715524356 65.1715524356 0.6443932586 0.1442539103
