# iter best_consensus archive_size party0_clusters party1_clusters
0 88.2580427725 6 12 12
10 89.8689868832 12 12 12
20 89.9907198318 16 12 12
30 89.9963932699 16 12 12
40 89.9981317295 16 12 12
50 89.9995660970 16 7 12
60 89.9998170172 16 6 7
70 89.9999341610 16 6 9
80 89.9999909834 16 6 7
90 89.9999909834 16 7 7
100 89.9999988514 16 7 7
110 89.9999996177 16 8 8
120 89.9999996741 16 6 8
130 89.9999999670 16 6 7
140 89.9999999670 16 6 7
150 89.9999999916 16 6 8
160 89.9999999989 16 6 7
170 89.9999999989 18 6 7
180 89.9999999999 18 6 7
190 90.0000000000 18 6 7
200 90.0000000000 18 6 7
210 90.0000000000 18 6 7
219 90.0000000000 18 6 7
