# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2671900925 0.3522167272 -1.6296693523 -1.0344829094 89.9982547506 89.9991045229 89.9982547506 0.2671900925 0.3522167272
0.2675092203 0.3523340378 -1.6274354580 -1.0336617355 89.9943691959 89.9934602827 89.9934602827 0.2675092203 0.3523340378
0.6703959027 0.2864221913 1.1927713188 -1.4950446606 89.9930960996 89.9907198318 89.9907198318 0.6703959027 0.2864221913
0.6712295611 0.2904838439 1.1986069277 -1.4666130925 89.9941317633 89.9873904905 89.9873904905 0.6712295611 0.2904838439
0.2670100753 0.3559063243 -1.6309294727 -1.0086557300 89.9782798935 89.9857174820 89.9782798935 0.2670100753 0.3559063243
0.2673160535 0.3494160365 -1.6287876256 -1.0540877446 89.9719961853 89.9754127938 89.9719961853 0.2673160535 0.3494160365
0.6701350564 0.2810206566 1.1909453946 -1.5328554040 89.8146495528 89.9308265007 89.8146495528 0.6701350564 0.2810206566
0.2680186013 0.3589205444 -1.6238697907 -0.9875561892 89.8085532376 89.8786565504 89.8085532376 0.2680186013 0.3589205444
0.2683477201 0.3550783451 -1.6215659592 -1.0144515840 89.8110168836 89.8612333597 89.8110168836 0.2683477201 0.3550783451
0.2673978271 0.3620561102 -1.6282152102 -0.9656072288 89.7519586576 89.8273594088 89.7519586576 0.2673978271 0.3620561102
0.2688309860 0.3449760291 -1.6181830980 -1.0851677963 89.9222922685 89.7876004797 89.7876004797 0.2688309860 0.3449760291
0.6683107251 0.2787607541 1.1781750755 -1.5486747214 89.8880627053 89.7614877661 89.7614877661 0.6683107251 0.2787607541
0.6722913899 0.3020946052 1.2060397296 -1.3853377637 89.4205159994 89.7484762573 89.4205159994 0.6722913899 0.3020946052
0.2691683680 0.3418629527 -1.6158214242 -1.1069593308 89.9037523943 89.7162998882 89.7162998882 0.2691683680 0.3418629527
0.6730388501 0.3020713409 1.2112719509 -1.3855006140 89.6373831987 89.5996527596 89.5996527596 0.6730388501 0.3020713409
