# iter best_consensus archive_size party0_clusters party1_clusters
0 57.6299249282 0 12 12
10 81.9581103243 5 12 12
20 89.8098648888 12 12 12
30 89.8864094539 16 12 12
40 89.9090494920 19 12 12
50 89.9090494920 21 12 12
60 89.9850846683 24 11 9
70 89.9898672227 24 11 8
80 89.9933193873 25 11 8
90 89.9955821968 25 11 8
100 89.9971134482 25 11 8
110 89.9992655697 25 11 8
120 89.9999481996 25 11 8
130 89.9999647905 25 11 8
140 89.9999647905 25 11 8
150 89.9999721085 25 11 8
160 89.9999913181 25 11 8
170 89.9999936729 25 11 8
180 89.9999995360 25 11 8
190 89.9999998792 25 11 7
200 89.9999998959 25 11 7
210 89.9999999672 27 11 7
219 89.9999999887 27 11 7
