# from_x0 from_x1 to_x0 to_x1 length
0.4953435099 -0.6205124502 -1.2160788123 -2.5479084285 0.3745532655
-1.2547245614 -1.4609565884 -1.2160788123 -2.5479084285 0.6451944300
0.5718819979 2.8435018021 0.4953435099 -0.6205124502 0.6703249778
-1.2590925717 -1.4593964652 -1.2547245614 -1.4609565884 0.0046819479
0.5463058113 2.8647139698 0.5718819979 2.8435018021 0.0047754728
0.5165719296 -0.6290243720 0.4953435099 -0.6205124502 0.0036413319
-1.5009213257 2.8173391088 0.5463058113 2.8647139698 0.3491878384
-1.5384246950 2.8292249288 -1.5009213257 2.8173391088 0.0152473444
0.4812520472 -0.6383218454 0.4953435099 -0.6205124502 0.0044582176
2.8353486749 -1.9503623213 -1.2547245614 -1.4609565884 0.6101985577
-1.1690976227 -2.4677208381 -1.2160788123 -2.5479084285 0.0133933405
2.7254746035 -2.0482137096 2.8353486749 -1.9503623213 0.0212966291
2.8414326260 -1.9746402598 2.8353486749 -1.9503623213 0.0077712422
-1.2508847732 -1.5318522411 -1.2547245614 -1.4609565884 0.0118911816
-1.2603491140 -2.6226589459 -1.2160788123 -2.5479084285 0.0127124321
2.9590407105 -1.9071213195 2.8353486749 -1.9503623213 0.0188026564
2.8631855340 -2.0041795717 2.8353486749 -1.9503623213 0.0094980767
0.5188013706 -0.6093099366 0.5165719296 -0.6290243720 0.0028419147
-1.5293431072 2.8368438636 -1.5384246950 2.8292249288 0.0098925140
0.5161954179 2.8924009192 0.5463058113 2.8647139698 0.0080113624
0.6145528009 2.8121147083 0.5718819979 2.8435018021 0.0110066817
-1.4852979985 2.7703320512 -1.5009213257 2.8173391088 0.0097318283
2.8708548206 -1.9668755974 2.8631855340 -2.0041795717 0.0064486010
0.5912856747 -0.6120658469 0.5188013706 -0.6093099366 0.0159035928
2.7979785945 -1.9434965305 2.8353486749 -1.9503623213 0.0056763464
-1.5142987063 2.8000973878 -1.5384246950 2.8292249288 0.0056686330
2.8545194827 -2.0130449940 2.8414326260 -1.9746402598 0.0058537417
2.7480248954 -2.0815474175 2.7254746035 -2.0482137096 0.0057932182
2.8829997426 -1.9092674503 2.8353486749 -1.9503623213 0.0090848965
2.9575724481 -1.9026076198 2.9590407105 -1.9071213195 0.0033746870
-1.1829807796 -2.4980679380 -1.1690976227 -2.4677208381 0.0071824245
2.7376980317 -2.0847413504 2.7480248954 -2.0815474175 0.0025817020
-1.1397315306 -2.4663007774 -1.1690976227 -2.4677208381 0.0076283560
-1.1695765585 -2.5832568943 -1.1829807796 -2.4980679380 0.0128398801
0.5877402003 -0.5914797318 0.5912856747 -0.6120658469 0.0071563434
-1.5814897089 2.8670649744 -1.5293431072 2.8368438636 0.0118857764
-1.4683684007 2.8358352253 -1.4852979985 2.7703320512 0.0098199283
-1.1188625628 -2.5480069093 -1.1695765585 -2.5832568943 0.0097275310
2.9567182321 -1.9393044925 2.9575724481 -1.9026076198 0.0068089402
0.4936537052 -0.5863565415 0.5188013706 -0.6093099366 0.0092481366
0.5153531041 -0.5651862965 0.5188013706 -0.6093099366 0.0063636742
0.4706881598 -0.6139677741 0.4812520472 -0.6383218454 0.0038488675
0.5569427236 -0.5841236527 0.5877402003 -0.5914797318 0.0045461254
-1.1679481470 -2.7882865264 -1.2603491140 -2.6226589459 0.0274119495
-1.5185163103 2.7933154107 -1.5009213257 2.8173391088 0.0051197231
-1.2633681400 -2.7684152592 -1.1679481470 -2.7882865264 0.0156450980
0.4900476502 2.8600613244 0.5463058113 2.8647139698 0.0132118992
-1.2198992604 -2.6498974435 -1.2603491140 -2.6226589459 0.0079374247
-1.2436750712 -1.5032682656 -1.2508847732 -1.5318522411 0.0066571676
-1.2166866865 -2.7693474853 -1.1679481470 -2.7882865264 0.0085271611
2.9186477657 -1.9001076248 2.8829997426 -1.9092674503 0.0116696489
-1.4433560961 2.7357426295 -1.5185163103 2.7933154107 0.0182447432
0.5806881666 -0.5549872762 0.5877402003 -0.5914797318 0.0076561372
3.0026972723 -1.9153166801 2.9575724481 -1.9026076198 0.0067983063
-1.5942868956 2.8778201701 -1.5814897089 2.8670649744 0.0054850164
2.9125425517 -1.9729085196 2.9567182321 -1.9393044925 0.0100110320
-1.5782661676 2.9373151767 -1.5814897089 2.8670649744 0.0111448791
-1.4210063133 2.7616209528 -1.4433560961 2.7357426295 0.0119377471
0.4913090674 -0.5454612647 0.4936537052 -0.5863565415 0.0060469052
-1.4380175937 2.7528618951 -1.4852979985 2.7703320512 0.0097299794
2.8696488216 -2.0515801032 2.8545194827 -2.0130449940 0.0066254526
0.4388006874 2.9877770546 0.5161954179 2.8924009192 0.0180965929
-1.2308860117 -2.7396145890 -1.2633681400 -2.7684152592 0.0095942439
0.4552348593 -0.5713290582 0.4953435099 -0.6205124502 0.0179371595
-1.4557819969 2.8082084411 -1.4210063133 2.7616209528 0.0092164539
2.7521014772 -2.0610883173 2.7480248954 -2.0815474175 0.0097062643
-1.4518402227 2.7179927334 -1.4433560961 2.7357426295 0.0028158688
0.6039725660 -0.5771126261 0.5806881666 -0.5549872762 0.0053282873
-1.5455014447 2.7874230563 -1.5142987063 2.8000973878 0.0056740553
2.8872076887 -2.0327057011 2.9125425517 -1.9729085196 0.0096122553
2.8177479600 -1.9758166912 2.8708548206 -1.9668755974 0.0106866923
-1.2751924029 -1.8217198678 -1.2508847732 -1.5318522411 0.0480402969
0.4320828146 -0.5813771664 0.4552348593 -0.5713290582 0.0044576747
-1.1976013421 -2.2765667983 -1.1690976227 -2.4677208381 0.0276098107
-1.4265554293 2.7408310098 -1.4210063133 2.7616209528 0.0173044945
-1.4611149524 2.7643503836 -1.4210063133 2.7616209528 0.0077327188
2.8769949720 -1.9024095054 2.8708548206 -1.9668755974 0.0102044338
0.6117337320 2.8822576729 0.6145528009 2.8121147083 0.0408901836
-1.1971174043 -1.2117236477 -1.2590925717 -1.4593964652 0.0415836733
2.9628529435 -1.8877240871 2.9186477657 -1.9001076248 0.0065581424
-1.5103876347 2.7507702156 -1.4852979985 2.7703320512 0.0054654221
-1.2707533417 -2.9385216378 -1.2633681400 -2.7684152592 0.0243468090
2.8607196999 -1.8978285828 2.8769949720 -1.9024095054 0.0026110727
-1.3111241527 -1.4951596139 -1.2547245614 -1.4609565884 0.0096887613
0.4092785958 -0.6365228414 0.4320828146 -0.5813771664 0.0094826113
2.8807171540 -2.0810433324 2.8696488216 -2.0515801032 0.0070127790
0.6538906734 -0.5723242843 0.5877402003 -0.5914797318 0.0098434054
