# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3210411079 0.2956261479 -1.2527122450 -1.4306169650 89.8092105030 89.9492161678 89.8092105030 0.3210411079 0.2956261479 0.8403271924
0.9056866166 0.2151621948 2.8398063160 -1.9938646366 85.6380454742 89.7626808914 85.6380454742 0.9056866166 0.2151621948 0.6840855875
0.2851010472 0.8997902574 -1.5042926699 2.7985318015 89.1667876014 89.6680358233 89.1667876014 0.2851010472 0.8997902574 0.7901638344
0.5693456417 0.4043134251 0.4854194920 -0.6698060243 35.3292266367 89.6287304276 35.3292266367 0.5693456417 0.4043134251 0.1353551609
0.5764146150 0.4121019566 0.5349023053 -0.6152863041 89.5251813482 89.5283458607 89.5251813482 0.5764146150 0.4121019566 0.1322938174
0.5652503881 0.4060211703 0.4567527165 -0.6578518078 63.1193537314 89.4801432954 63.1193537314 0.5652503881 0.4060211703 0.1346039330
0.5831806647 0.8950362139 0.5822646528 2.7652534975 79.1646170596 89.4793500754 79.1646170596 0.5831806647 0.8950362139 0.6016698138
0.3358551181 0.1364658220 -1.1490141734 -2.5447392463 88.3441163390 89.3584189867 88.3441163390 0.3358551181 0.1364658220 0.2134343147
0.3194677168 0.2945050621 -1.2637259821 -1.4384645651 80.3838990769 89.2900210378 80.3838990769 0.3194677168 0.2945050621 0.8238416425
0.3355635638 0.1398322714 -1.1510550531 -2.5211740999 88.3973827366 89.2689792686 88.3973827366 0.3355635638 0.1398322714 0.2124204681
0.3225937569 0.2914421068 -1.2418437018 -1.4599052526 86.0755820122 89.2235210025 86.0755820122 0.3225937569 0.2914421068 0.8291892224
0.5819318267 0.8959325257 0.5735227871 2.7715276801 83.6648058866 89.1160807315 83.6648058866 0.5819318267 0.8959325257 0.6011023195
0.3178233991 0.3012944976 -1.2752362064 -1.3909385167 79.7539572868 88.7494242317 79.7539572868 0.3178233991 0.3012944976 0.8537115009
0.3158930617 0.2996286014 -1.2887485678 -1.4025997899 61.6756794001 88.6902532227 61.6756794001 0.3158930617 0.2996286014 0.8180540182
0.5723120225 0.4008687649 0.5061841572 -0.6939186455 23.0869022058 88.6432938935 23.0869022058 0.5723120225 0.4008687649 0.1373480474
0.5781594774 0.9146146082 0.5471163420 2.9023022573 64.8618476359 88.1191189503 64.8618476359 0.5781594774 0.9146146082 0.5947325565
0.3297561777 0.1516037294 -1.1917067562 -2.4387738942 88.7410160567 88.0823575150 88.0823575150 0.3297561777 0.1516037294 0.2061637286
0.5891203294 0.4201468726 0.6238423059 -0.5589718915 65.4872365648 87.7369884380 65.4872365648 0.5891203294 0.4201468726 0.1444364006
0.2805751698 0.9127854275 -1.5359738115 2.8894979928 87.1857197889 87.7230333292 87.1857197889 0.2805751698 0.9127854275 0.8008689355
0.5817662262 0.9105788909 0.5723635836 2.8740522365 86.7677957547 87.6483424302 86.7677957547 0.5817662262 0.9105788909 0.5859623563
0.9106924481 0.2151729540 2.8748471368 -1.9937893221 70.0778274968 87.3328155127 70.0778274968 0.9106924481 0.2151729540 0.6989421266
0.5707751453 0.9240151839 0.4954260170 2.9681062871 79.8411500104 87.2923184005 79.8411500104 0.5707751453 0.9240151839 0.5812002705
0.5897691126 0.9013609144 0.6283837885 2.8095264009 25.5784166155 87.1799655031 25.5784166155 0.5897691126 0.9013609144 0.6053966355
0.9087044953 0.2128769161 2.8609314669 -2.0098615876 88.0641633454 87.1584176770 87.1584176770 0.9087044953 0.2128769161 0.6784920351
0.5495366570 0.3944689678 0.3467565990 -0.7387172257 23.0869022058 87.0471883576 23.0869022058 0.5495366570 0.3944689678 0.1380217196
0.3325719480 0.2904796825 -1.1719963642 -1.4666422228 50.1936338981 87.0057959120 50.1936338981 0.3325719480 0.2904796825 0.8640422758
0.5886811920 0.4239811952 0.6207683440 -0.5321316333 65.9005980839 86.6496180387 65.9005980839 0.5886811920 0.4239811952 0.1403256734
0.5817136411 0.4063747471 0.5719954876 -0.6553767700 36.4483675732 86.5737343144 36.4483675732 0.5817136411 0.4063747471 0.1372241690
0.3102374647 0.3073940899 -1.3283377468 -1.3482413709 43.0013557268 86.5190591050 43.0013557268 0.3102374647 0.3073940899 0.8764817395
