# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.4432968513 0.3348132353 -0.3969220408 -1.1563073526 89.7870299116 87.0159220633 87.0159220633 0.4432968513 0.3348132353 0.5636546580
0.7230227703 0.0679106729 1.5611593924 -3.0246252894 89.7819824434 89.5569165509 89.5569165509 0.7230227703 0.0679106729 0.2151258249
0.7381376600 0.1778973041 1.6669636202 -2.2547188710 89.7596198452 89.6941846056 89.6941846056 0.7381376600 0.1778973041 0.5255402780
0.4849048652 0.1353297332 -0.1056659433 -2.5526918678 89.6957430024 88.4508665597 88.4508665597 0.4849048652 0.1353297332 0.1025672347
0.8179310883 0.3985881330 2.2255176179 -0.7098830690 89.6041630595 88.3490640686 88.3490640686 0.8179310883 0.3985881330 0.8218256082
0.8284958238 0.3982208806 2.2994707668 -0.7124538355 89.5957882888 78.5458553771 78.5458553771 0.8284958238 0.3982208806 0.8330705741
0.9114705503 0.7778436074 2.8802938518 1.9449052518 89.4866200320 89.7433789691 89.4866200320 0.9114705503 0.7778436074 0.6581921552
0.8292948248 0.3993249657 2.3050637738 -0.7047252404 89.4543624329 65.2770953672 65.2770953672 0.8292948248 0.3993249657 0.8307482927
0.4551183850 0.5005200209 -0.3141713051 0.0036401466 89.4356160234 88.0830288565 88.0830288565 0.4551183850 0.5005200209 0.5528809547
0.4001478363 0.8468641477 -0.6989651457 2.4280490340 89.3782058951 89.4767827840 89.3782058951 0.4001478363 0.8468641477 0.7315791072
0.0562636159 0.1663165804 -3.1061546890 -2.3357839374 89.3400851627 89.3337274982 89.3337274982 0.0562636159 0.1663165804 0.5364163940
0.4025667041 0.8406459610 -0.6820330710 2.3845217269 89.3313748622 89.8053602794 89.3313748622 0.4025667041 0.8406459610 0.7297463108
0.0551085977 0.1631028925 -3.1142398164 -2.3582797528 89.2991276360 89.2073991997 89.2073991997 0.0551085977 0.1631028925 0.5348372944
0.3315847945 0.8188926549 -1.1789064383 2.2322485843 89.2745772043 83.6517436532 83.6517436532 0.3315847945 0.8188926549 0.1610186464
0.9081438052 0.7761051454 2.8570066367 1.9327360176 89.2644590008 89.4676593004 89.2644590008 0.9081438052 0.7761051454 0.6613783574
0.8297646643 0.4007744802 2.3083526498 -0.6945786388 89.2092696525 54.0508780309 54.0508780309 0.8297646643 0.4007744802 0.8304976684
0.3155652052 0.8272427033 -1.2910435635 2.2906989231 89.1221278971 85.3010099396 85.3010099396 0.3155652052 0.8272427033 0.1639863087
0.6089557379 0.8585249086 0.7626901650 2.5096743600 89.0797440911 89.8302355166 89.0797440911 0.6089557379 0.8585249086 0.7144971685
0.9099141612 0.7849515989 2.8693991286 1.9946611926 89.0217518465 87.8023007813 87.8023007813 0.9099141612 0.7849515989 0.6649118693
