# iter best_consensus archive_size party0_clusters party1_clusters
0 1.6625216710 0 12 12
10 72.7315863767 2 12 12
20 89.5766213478 4 12 5
30 89.5766213478 4 8 5
40 90.2036994315 4 4 5
50 90.2036994315 4 4 5
60 90.2036994315 4 4 5
70 90.4177915888 4 4 5
80 90.5197131096 4 4 5
90 90.5257372790 4 4 5
100 90.5317268127 4 5 5
110 90.5595371550 4 4 5
120 90.5642524519 4 4 5
130 90.5731899078 4 4 5
140 90.5733136952 4 4 5
150 90.5733136952 4 4 5
160 90.5733136952 4 4 5
170 90.5734154071 4 4 5
180 90.5734421784 4 4 5
190 90.5734501743 4 4 5
200 90.5734593250 4 4 5
210 90.5734616501 4 4 5
219 90.5734621394 4 4 5
