# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.2492815632 0.5633303553 -1.7550290576 0.4433124870 90.3718513505 90.7872291372 90.3718513505 0.2492815632 0.5633303553 0.2386411527
0.2506537108 0.5574047258 -1.7454240245 0.4018330805 88.9934801160 89.7510404666 88.9934801160 0.2506537108 0.5574047258 0.2329521624
0.5751557918 0.8383005886 0.5260905428 2.3681041203 88.0882837437 86.9286175965 86.9286175965 0.5751557918 0.8383005886 0.3785139618
0.2508462264 0.5562243523 -1.7440764152 0.3935704663 86.7135414978 89.7039251292 86.7135414978 0.2508462264 0.5562243523 0.2345303924
0.5697804337 0.8308392705 0.4884630361 2.3158748938 85.4672667130 79.6431150265 79.6431150265 0.5697804337 0.8308392705 0.3695996810
0.2489668287 0.5625276605 -1.7572321990 0.4376936233 85.3628601373 88.6647022211 85.3628601373 0.2489668287 0.5625276605 0.2497635113
0.2479095057 0.5733689991 -1.7646334599 0.5135829937 85.2082284566 87.5036871209 85.2082284566 0.2479095057 0.5733689991 0.2509689205
0.2476160466 0.5697464645 -1.7666876735 0.4882252518 84.2384574653 89.3265382993 84.2384574653 0.2476160466 0.5697464645 0.2437023197
0.2458114763 0.5614716713 -1.7793196660 0.4303016991 84.2110335077 89.7860829336 84.2110335077 0.2458114763 0.5614716713 0.2372500725
0.5744891181 0.8450616610 0.5214238270 2.4154316273 83.5294838842 66.0326135513 66.0326135513 0.5744891181 0.8450616610 0.3820856720
0.5687749968 0.8495634059 0.4814249778 2.4469438414 83.2930400989 56.2457648502 56.2457648502 0.5687749968 0.8495634059 0.3778121941
0.2519612956 0.5703790117 -1.7362709305 0.4926530816 81.6565296954 85.8740115014 81.6565296954 0.2519612956 0.5703790117 0.2569365134
0.5586117709 0.8358076487 0.4102823963 2.3506535409 81.4868735544 81.1495553967 81.1495553967 0.5586117709 0.8358076487 0.3854418244
0.2474625535 0.5623158617 -1.7677621253 0.4362110317 81.4128853296 88.3895051897 81.4128853296 0.2474625535 0.5623158617 0.2285236407
0.2457379057 0.5631473346 -1.7798346601 0.4420313424 80.7829512408 89.4392004301 80.7829512408 0.2457379057 0.5631473346 0.2362912152
0.2470691659 0.5603176687 -1.7705158388 0.4222236810 80.7108679760 88.1145356591 80.7108679760 0.2470691659 0.5603176687 0.2492391777
0.5674340709 0.8187605125 0.4720384963 2.2313235872 79.8582853131 47.1524658099 47.1524658099 0.5674340709 0.8187605125 0.3863789121
0.5691272971 0.8527914246 0.4838910797 2.4695399719 79.3335038570 43.5913381335 43.5913381335 0.5691272971 0.8527914246 0.3743564808
0.2531557638 0.5709897372 -1.7279096535 0.4969281606 79.1376055272 87.8920811488 79.1376055272 0.2531557638 0.5709897372 0.2468788535
0.5605534851 0.8487128991 0.4238743957 2.4409902938 78.3408652925 61.1754694260 61.1754694260 0.5605534851 0.8487128991 0.3818020811
0.2539610280 0.5534503377 -1.7222728041 0.3741523638 78.2208890233 85.5596859491 78.2208890233 0.2539610280 0.5534503377 0.2261482047
