# from_x0 from_x1 to_x0 to_x1 length
-1.7504960142 0.4628308181 -1.7410890751 0.4693452197 0.0131416031
-1.7457823255 0.3920833268 -1.7504960142 0.4628308181 0.0102984387
-1.7874835040 0.4670730134 -1.7410890751 0.4693452197 0.0082860864
-1.7621597258 0.3366318109 -1.7457823255 0.3920833268 0.0130686849
-1.7681528803 0.4164258182 -1.7410890751 0.4693452197 0.0109660464
-1.7564807126 0.3228875751 -1.7457823255 0.3920833268 0.0115790404
-1.7482254856 0.4859222487 -1.7504960142 0.4628308181 0.0082808640
-1.8056681904 0.4586223920 -1.7874835040 0.4670730134 0.0043964446
-1.7799655773 0.3297057680 -1.7621597258 0.3366318109 0.0077238921
-1.7673548510 0.2781546131 -1.7564807126 0.3228875751 0.0069080451
-1.8170436207 0.3875288005 -1.8056681904 0.4586223920 0.0107240738
-2.7814345726 0.6543210837 -1.7482254856 0.4859222487 0.6428807516
-1.7392548173 0.3017118528 -1.7564807126 0.3228875751 0.0052761310
-2.8057655619 0.7044097064 -2.7814345726 0.6543210837 0.0079962859
-1.7419532788 0.5507149770 -1.7482254856 0.4859222487 0.0121781551
-2.7878670029 0.5944199355 -2.7814345726 0.6543210837 0.0096909050
-2.8258930192 0.7118855928 -2.8057655619 0.7044097064 0.0054008252
-2.8134315932 0.5918472144 -2.7878670029 0.5944199355 0.0044364441
-1.7676196903 0.4135855480 -1.7681528803 0.4164258182 0.0120300651
-1.6900318171 0.3675928586 -1.7681528803 0.4164258182 0.0135351356
-2.7747414870 0.5792003298 -2.7878670029 0.5944199355 0.0035765754
-1.7433067470 0.3883571567 -1.7676196903 0.4135855480 0.0052798665
-1.6889263266 0.3666497399 -1.7457823255 0.3920833268 0.0089608732
-2.7174204364 0.5422339876 -2.7878670029 0.5944199355 0.0197252721
-1.8207146692 0.3454111132 -1.7799655773 0.3297057680 0.0070288744
-2.7120611257 0.6722547309 -2.7814345726 0.6543210837 0.0113751301
-2.7628702420 0.8515874304 -2.8057655619 0.7044097064 0.0247622849
-2.8090334251 0.6896847626 -2.8258930192 0.7118855928 0.0064432242
-2.7671951086 0.5320554305 -2.7174204364 0.5422339876 0.0082454875
-2.8430003979 0.5580646188 -2.8134315932 0.5918472144 0.0064269291
-1.8062825839 0.2944687318 -1.7673548510 0.2781546131 0.0085142588
-1.8741806176 0.4823562935 -1.7874835040 0.4670730134 0.0161693998
-2.7420275896 0.7838782860 -2.7628702420 0.8515874304 0.0103742015
-1.7466464425 0.4397767739 -1.7676196903 0.4135855480 0.0048844610
-2.7386317982 0.6111310913 -2.7747414870 0.5792003298 0.0071623049
-1.8481015421 0.4832332450 -1.8056681904 0.4586223920 0.0070077271
-2.8172526111 0.5899980272 -2.8134315932 0.5918472144 0.0094286793
-1.7603585975 0.2604893244 -1.7799655773 0.3297057680 0.0180519092
