# from_x0 from_x1 to_x0 to_x1 length
0.8444295695 0.4674050522 0.8236052353 0.4823521754 0.0067119018
0.7748271669 0.4828816705 0.8236052353 0.4823521754 0.0268661265
0.8828947525 0.5400418909 0.8444295695 0.4674050522 0.0145206508
0.8882945561 0.5499500711 0.8828947525 0.5400418909 0.0252900812
0.9035610094 0.5021130338 0.8828947525 0.5400418909 0.0072115870
0.8262187740 0.4987250138 0.8882945561 0.5499500711 0.0124143636
0.8229510270 0.5755205684 0.7748271669 0.4828816705 0.0186871290
-2.7216737744 1.9521828022 0.7748271669 0.4828816705 0.5499617527
-2.8502340943 1.8311785520 -2.7216737744 1.9521828022 0.0262481953
-2.7909578570 1.6023568938 -2.8502340943 1.8311785520 0.0770895887
-2.7932618772 1.5296969440 -2.8502340943 1.8311785520 0.0446819698
0.7952045278 0.6656291796 0.8828947525 0.5400418909 0.0227202814
0.8841319312 0.5813777825 0.8229510270 0.5755205684 0.0146882713
0.8300877664 0.3547122704 0.7748271669 0.4828816705 0.0220289952
0.6918472348 0.4560709523 0.7748271669 0.4828816705 0.0391281679
-2.7845510044 1.4149059273 -2.7932618772 1.5296969440 0.0168163756
-2.7159968419 1.1579281122 -2.7909578570 1.6023568938 0.0645541842
-2.7154381840 2.1652548411 -2.7216737744 1.9521828022 0.0402115255
0.7526360929 0.3380783183 0.8300877664 0.3547122704 0.0133018190
-2.6731647919 2.0989739714 -2.7154381840 2.1652548411 0.0112769192
0.7286684242 0.6171362362 0.7748271669 0.4828816705 0.0206925851
-2.7204365335 2.1385072312 -2.7216737744 1.9521828022 0.0315512605
-2.7011076446 1.3381371749 -2.7159968419 1.1579281122 0.0462075870
1.0068012682 0.6275588584 0.8882945561 0.5499500711 0.0210811640
0.7734967371 0.3201029787 0.8300877664 0.3547122704 0.0118942058
-2.7341912817 2.1511506942 -2.7154381840 2.1652548411 0.0303971963
0.7032346325 0.4683218926 0.8236052353 0.4823521754 0.0197793376
0.7253711867 0.4305694482 0.7032346325 0.4683218926 0.0142454346
0.8656464234 0.6178130653 0.8229510270 0.5755205684 0.0173453199
0.9556771699 0.7136602526 0.8882945561 0.5499500711 0.0493069814
0.6238721301 0.5287554263 0.6918472348 0.4560709523 0.0152522804
0.6593768780 0.5824043321 0.6238721301 0.5287554263 0.0092709486
-2.6228481127 2.1368437146 -2.6731647919 2.0989739714 0.0099386349
-2.6259570230 1.1813085346 -2.7159968419 1.1579281122 0.0136893976
-2.8073495973 1.4919239519 -2.7932618772 1.5296969440 0.0325828542
0.9390276185 0.3284764750 0.8444295695 0.4674050522 0.0241455785
0.5867480000 0.4308198519 0.6918472348 0.4560709523 0.0384904648
0.8591996439 0.7562974080 0.9556771699 0.7136602526 0.0242673510
0.6854093800 0.5683288890 0.5867480000 0.4308198519 0.0272596661
-2.8941139582 2.3178952567 -2.7341912817 2.1511506942 0.0507978883
-2.6329086623 1.3291885007 -2.7845510044 1.4149059273 0.0385178784
0.9707807405 0.4827171244 0.8444295695 0.4674050522 0.0185532449
0.9150985777 0.4826662356 0.7748271669 0.4828816705 0.0202284316
0.9122591378 0.6988934966 0.8841319312 0.5813777825 0.0174036736
0.6819636874 0.7418259943 0.7286684242 0.6171362362 0.0270878145
0.8226472128 0.2433423142 0.7734967371 0.3201029787 0.0145360659
0.7022608557 0.6066516624 0.7952045278 0.6656291796 0.0192292762
0.6448095169 0.3136459854 0.5867480000 0.4308198519 0.0218329326
-2.6078316286 1.2937582111 -2.7011076446 1.3381371749 0.0150159837
0.9847632997 0.5161192203 0.9707807405 0.4827171244 0.0057412015
0.5513493369 0.5011525847 0.6238721301 0.5287554263 0.0224880974
0.6647167894 0.2150852466 0.7526360929 0.3380783183 0.0334786982
0.6804048740 0.6227849462 0.7022608557 0.6066516624 0.0084046620
-2.6891586840 2.1380796076 -2.7341912817 2.1511506942 0.0253806952
0.6766135857 0.4641234015 0.6448095169 0.3136459854 0.0328372890
