# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.6134251176 0.5730145294 0.7939758235 0.5111017058 89.0957920867 88.5754805677 88.5754805677 0.6134251176 0.5730145294 0.7019611227
0.6230086727 0.5746756751 0.8610607089 0.5227297256 88.1046813570 88.0305695534 88.0305695534 0.6230086727 0.5746756751 0.6813399241
0.6379978300 0.5728649285 0.9659848103 0.5100544993 67.9378815121 81.0543924224 67.9378815121 0.6379978300 0.5728649285 0.6633960085
0.6068501110 0.5702915114 0.7479507769 0.4920405796 85.4119510438 80.4985130040 80.4985130040 0.6068501110 0.5702915114 0.7135013683
0.6305034266 0.5653552286 0.9135239861 0.4574866004 70.3830827216 80.4119547694 70.3830827216 0.6305034266 0.5653552286 0.6856680850
0.6108899354 0.5747102369 0.7762295478 0.5229716583 83.8180905073 80.1675335509 80.1675335509 0.6108899354 0.5747102369 0.7207654246
0.6315580698 0.5784833514 0.9209064883 0.5493834595 77.4422377481 78.2652962586 77.4422377481 0.6315580698 0.5784833514 0.6770621253
0.6122122847 0.5796185411 0.7854859926 0.5573297878 81.4853274690 77.8906559244 77.8906559244 0.6122122847 0.5796185411 0.7197210300
0.6149438110 0.5662289541 0.8046066770 0.4636026789 85.8819122915 77.6675930038 77.6675930038 0.6149438110 0.5662289541 0.7104940812
0.6091907853 0.5887038645 0.7643354968 0.6209270513 75.6834965007 77.1454262339 75.6834965007 0.6091907853 0.5887038645 0.7031689712
0.5921959872 0.5941862087 0.6453719105 0.6593034606 43.3735611104 76.7858167983 43.3735611104 0.5921959872 0.5941862087 0.7290972231
0.6133037981 0.5655776676 0.7931265869 0.4590436729 86.3324012690 76.4472461702 76.4472461702 0.6133037981 0.5655776676 0.7092397634
0.6040697797 0.5812222318 0.7284884577 0.5685556229 67.1762031295 75.5619733740 67.1762031295 0.6040697797 0.5812222318 0.6987471978
0.6191607389 0.5722204447 0.8341251720 0.5055431128 83.5287972364 74.0723358835 74.0723358835 0.6191607389 0.5722204447 0.7112103665
0.6423449077 0.5547000739 0.9964143540 0.3829005170 41.9283458480 73.5890885931 41.9283458480 0.6423449077 0.5547000739 0.6458790868
0.6079033276 0.5893797251 0.7553232935 0.6256580757 69.5612863574 72.5072666048 69.5612863574 0.6079033276 0.5893797251 0.7165999589
0.6323988118 0.5593059263 0.9267916823 0.4151414840 58.6368130989 71.8369238338 58.6368130989 0.6323988118 0.5593059263 0.6516250468
0.6101792861 0.5869424869 0.7712550029 0.6085974086 72.6201822954 71.8218641230 71.8218641230 0.6101792861 0.5869424869 0.7215666924
0.5772703686 0.5818249262 0.5408925800 0.5727744834 32.1936710214 71.7644285973 32.1936710214 0.5772703686 0.5818249262 0.7601201616
0.6286746234 0.5614083548 0.9007223641 0.4298584837 66.4407962768 71.2690681736 66.4407962768 0.6286746234 0.5614083548 0.6964110514
0.6264032609 0.5563261056 0.8848228263 0.3942827394 72.0130615014 71.2076769650 71.2076769650 0.6264032609 0.5563261056 0.6830102198
0.6305698802 0.5681337129 0.9139891617 0.4769359900 66.2040377155 71.1397554000 66.2040377155 0.6305698802 0.5681337129 0.6930789934
0.6455946200 0.5749320511 1.0191623399 0.5245243575 50.1404411144 70.7222192787 50.1404411144 0.6455946200 0.5749320511 0.6601054786
0.6209818891 0.5593393059 0.8468732237 0.4153751415 81.4243890513 70.5180526606 70.5180526606 0.6209818891 0.5593393059 0.7012243372
0.6344653019 0.5791874762 0.9412571135 0.5543123336 76.7190984534 69.0071723589 69.0071723589 0.6344653019 0.5791874762 0.6541601996
0.5937161569 0.5743623911 0.6560130985 0.5205367380 57.9888309618 68.7997696377 57.9888309618 0.5937161569 0.5743623911 0.7527269784
0.5819305414 0.6012678544 0.5735137901 0.7088749807 25.4300772267 68.1508050915 25.4300772267 0.5819305414 0.6012678544 0.7398517161
0.2595824153 0.3725725286 -1.6829230932 -0.8919922997 15.6304073389 67.9143051598 15.6304073389 0.2595824153 0.3725725286 0.0378115403
0.6184532442 0.5827726386 0.8291727094 0.5794084701 74.2388485210 67.4842157024 67.4842157024 0.6184532442 0.5827726386 0.7154364297
0.6375192991 0.5736983275 0.9626350940 0.5158882923 61.6560672390 67.1681737619 61.6560672390 0.6375192991 0.5736983275 0.6327269918
0.5856336434 0.5796066908 0.5994355039 0.5572468358 39.1641053324 67.1071503452 39.1641053324 0.5856336434 0.5796066908 0.7725486657
0.1991726584 0.3799571048 -2.1057913909 -0.8403002665 15.6304073389 66.3875674958 15.6304073389 0.1991726584 0.3799571048 0.0534669720
0.5936808226 0.5695261494 0.6557657583 0.4866830458 66.5219527202 66.1438720526 66.1438720526 0.5936808226 0.5695261494 0.7334758951
0.6110082550 0.5887662699 0.7770577849 0.6213638894 68.1117097040 66.0756037095 66.0756037095 0.6110082550 0.5887662699 0.7233541134
0.5870214187 0.5960527949 0.6091499311 0.6723695644 32.5521430963 66.0584432717 32.5521430963 0.5870214187 0.5960527949 0.7224549945
0.6204577535 0.5855738147 0.8432042743 0.5990167030 79.7454053108 65.7032784291 65.7032784291 0.6204577535 0.5855738147 0.6652898665
0.6475552392 0.5733057020 1.0328866742 0.5131399142 48.9301792892 64.7152351810 48.9301792892 0.6475552392 0.5733057020 0.6273695217
0.5963659976 0.6009416863 0.6745619830 0.7065918040 44.6303747998 62.3383871164 44.6303747998 0.5963659976 0.6009416863 0.7142399743
0.6001539487 0.5961517734 0.7010776412 0.6730624135 47.6899207806 61.0384216557 47.6899207806 0.6001539487 0.5961517734 0.7363635385
0.6076678348 0.5795360469 0.7536748435 0.5567523286 64.7532111681 60.7382759718 60.7382759718 0.6076678348 0.5795360469 0.6804034402
0.5920007968 0.5673462229 0.6440055778 0.4714235601 62.7277029851 60.5892892791 60.5892892791 0.5920007968 0.5673462229 0.7337343734
0.6525734731 0.5759350945 1.0680143117 0.5315456618 39.4205072641 60.4861381156 39.4205072641 0.6525734731 0.5759350945 0.6497272870
0.2464219204 0.3083119766 -1.7750465569 -1.3418161639 15.6304073389 60.2521563665 15.6304073389 0.2464219204 0.3083119766 0.0541521069
0.6152951766 0.5608530212 0.8070662362 0.4259711485 66.2757304406 59.8197209803 59.8197209803 0.6152951766 0.5608530212 0.6729350072
0.6215723958 0.5706440351 0.8510067706 0.4945082460 77.3721970979 59.3296940858 59.3296940858 0.6215723958 0.5706440351 0.6548043374
0.6322460729 0.5862585465 0.9257225100 0.6038098256 72.1377071539 58.8156264543 58.8156264543 0.6322460729 0.5862585465 0.6828459226
0.6057651967 0.5623125761 0.7403563767 0.4361880330 79.7621784917 58.7806304283 58.7806304283 0.6057651967 0.5623125761 0.7327821390
