# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.6154929811 0.6604159713 0.8084508674 1.1229117992 89.7492393360 89.1784294565 89.1784294565 0.6154929811 0.6604159713 0.2270396743
0.6042866567 0.6585406748 0.7300065966 1.1097847233 85.6097543520 85.0241606577 85.0241606577 0.6042866567 0.6585406748 0.2150407105
0.6262097463 0.6482057493 0.8834682244 1.0374402454 83.5057461838 81.2415645682 81.2415645682 0.6262097463 0.6482057493 0.1949696602
0.6152121355 0.6252861402 0.8064849486 0.8770029817 83.6370075594 73.5956254717 73.5956254717 0.6152121355 0.6252861402 0.2121675384
0.3250213479 0.4091618452 -1.2248505646 -0.6358670835 0.0750923034 72.0157823270 0.0750923034 0.3250213479 0.4091618452 0.5061451443
0.7695586475 0.4324992530 1.8869105328 -0.4725052288 0.0750923034 72.0042713294 0.0750923034 0.7695586475 0.4324992530 0.7833539404
0.7768686847 0.4344414516 1.9380807928 -0.4589098391 0.0750923034 71.8916330162 0.0750923034 0.7768686847 0.4344414516 0.7861263967
0.3327313065 0.4105354208 -1.1708808546 -0.6262520546 0.0750923034 71.8230340033 0.0750923034 0.3327313065 0.4105354208 0.5045729938
0.7661510857 0.4295989830 1.8630576002 -0.4928071190 0.0750923034 71.4544511064 0.0750923034 0.7661510857 0.4295989830 0.7841775067
0.7717264302 0.4247181481 1.9020850113 -0.5269729636 0.0750923034 71.1828342994 0.0750923034 0.7717264302 0.4247181481 0.7891897965
0.7732352613 0.4285429854 1.9126468289 -0.5001991022 0.0750923034 70.9173832831 0.0750923034 0.7732352613 0.4285429854 0.7768302043
0.3341883950 0.4082134096 -1.1606812353 -0.6425061327 0.0750923034 70.7765007877 0.0750923034 0.3341883950 0.4082134096 0.5223953886
0.7608446364 0.4311395773 1.8259124547 -0.4820229587 0.0750923034 70.4088483114 0.0750923034 0.7608446364 0.4311395773 0.7872559567
0.7787579540 0.4280891888 1.9513056780 -0.5033756787 0.0750923034 70.3415902119 0.0750923034 0.7787579540 0.4280891888 0.7821487362
0.7715600447 0.4274788908 1.9009203129 -0.5076477645 0.0750923034 70.1428862078 0.0750923034 0.7715600447 0.4274788908 0.7742194492
0.7697815232 0.4370168284 1.8884706623 -0.4408822014 0.0750923034 69.8531890026 0.0750923034 0.7697815232 0.4370168284 0.7988284308
0.6056298214 0.6384721566 0.7394087495 0.9693050964 71.2362191201 69.5805359287 69.5805359287 0.6056298214 0.6384721566 0.1677126601
0.7844727529 0.4261959434 1.9913092700 -0.5166283963 0.0750923034 68.6250830699 0.0750923034 0.7844727529 0.4261959434 0.7948243816
0.3533823760 0.4114354631 -1.0263233682 -0.6199517584 0.0750923034 68.5490742392 0.0750923034 0.3533823760 0.4114354631 0.5136412631
0.5833175513 0.6574626450 0.5832228593 1.1022385151 68.8028672672 68.2788916480 68.2788916480 0.5833175513 0.6574626450 0.2014002462
0.6311059365 0.6479533087 0.9177415553 1.0356731608 71.4303562922 67.9389517039 67.9389517039 0.6311059365 0.6479533087 0.1840911832
0.7692352039 0.4387307643 1.8846464270 -0.4288846500 0.0750923034 67.9253334842 0.0750923034 0.7692352039 0.4387307643 0.7647145513
0.3271290657 0.4195356524 -1.2100965400 -0.5632504335 0.0750923034 67.9097491732 0.0750923034 0.3271290657 0.4195356524 0.5189141436
0.6448794485 0.6450393300 1.0141561396 1.0152753099 74.4822650185 67.5436023971 67.5436023971 0.6448794485 0.6450393300 0.2392079301
0.3368214207 0.4092961217 -1.1422500553 -0.6349271481 0.0750923034 67.3488228119 0.0750923034 0.3368214207 0.4092961217 0.4775649804
0.3520623366 0.4124509596 -1.0355636439 -0.6128432829 0.0750923034 66.8851703979 0.0750923034 0.3520623366 0.4124509596 0.5060540279
0.5914888291 0.6279048841 0.6404218035 0.8953341889 78.3475402790 66.8767268186 66.8767268186 0.5914888291 0.6279048841 0.2231940780
0.3551841024 0.4056977637 -1.0137112833 -0.6601156542 0.0750923034 65.9051377284 0.0750923034 0.3551841024 0.4056977637 0.5105013305
0.5724619751 0.6337524296 0.5072338255 0.9362670069 63.3634563071 65.4822333768 63.3634563071 0.5724619751 0.6337524296 0.2246554046
0.7922079560 0.4400846978 2.0454556918 -0.4194071155 0.0750923034 65.4554393847 0.0750923034 0.7922079560 0.4400846978 0.7914833933
0.7571583760 0.4157344552 1.8001086323 -0.5898588138 0.0750923034 65.2642347437 0.0750923034 0.7571583760 0.4157344552 0.7910134330
0.3092352674 0.4064139832 -1.3353531282 -0.6551021177 0.0750923034 64.6670099550 0.0750923034 0.3092352674 0.4064139832 0.5002621514
0.6650796368 0.6338138308 1.1555574577 0.9366968155 61.4441400764 64.6571731613 61.4441400764 0.6650796368 0.6338138308 0.2291193643
0.3277911675 0.4115219549 -1.2054618272 -0.6193463159 0.0750923034 64.3866067028 0.0750923034 0.3277911675 0.4115219549 0.4501652075
0.5989957537 0.6227272198 0.6929702762 0.8590905386 72.8465681312 64.2250427933 64.2250427933 0.5989957537 0.6227272198 0.1942015722
0.3280057356 0.3956292653 -1.2039598505 -0.7305951432 0.0750923034 64.0667962689 0.0750923034 0.3280057356 0.3956292653 0.4779900493
