# from_x0 from_x1 to_x0 to_x1 length
0.4774207945 2.3814151422 0.2920401320 2.3410286705 0.0401831066
0.4428491094 2.3558301834 0.4774207945 2.3814151422 0.0141181056
0.4257004316 2.3667381332 0.4774207945 2.3814151422 0.0077113968
0.3718180450 2.4026461036 0.4257004316 2.3667381332 0.0115996079
0.5913425356 2.4144564839 0.4774207945 2.3814151422 0.0306085812
0.3725043970 2.3627420028 0.2920401320 2.3410286705 0.0119472830
-3.2035179628 -2.9360800786 0.2920401320 2.3410286705 0.9061152162
0.1924415416 2.2850771370 0.2920401320 2.3410286705 0.0290770177
0.6404944677 2.3791265592 0.5913425356 2.4144564839 0.0086951485
0.5919390773 2.4392109351 0.5913425356 2.4144564839 0.0117133048
0.1551709867 2.4000509779 0.2920401320 2.3410286705 0.0219328342
0.4443208203 2.3660349065 0.4774207945 2.3814151422 0.0154445379
0.1796524931 2.2719116986 0.1924415416 2.2850771370 0.0057859159
0.1732811722 2.2975023216 0.1551709867 2.4000509779 0.0178485159
0.2631322051 2.3559356380 0.3718180450 2.4026461036 0.0170253277
0.4220710576 2.3338523375 0.4443208203 2.3660349065 0.0083877776
0.8799434007 -1.6262444424 0.6404944677 2.3791265592 0.6084972980
0.8768860627 -1.6179025976 0.8799434007 -1.6262444424 0.0032186854
0.9193023973 -1.6453360076 0.8799434007 -1.6262444424 0.0112656437
0.9120725409 -1.6538622723 0.9193023973 -1.6453360076 0.0042527400
0.8747603204 -1.6235763710 0.9193023973 -1.6453360076 0.0072349790
0.8524194704 -1.6180032243 0.8768860627 -1.6179025976 0.0035386931
0.4239243539 2.3569073403 0.4443208203 2.3660349065 0.0035131461
0.4818685810 2.2891943095 0.4428491094 2.3558301834 0.0129586852
0.1263188139 2.2435246749 0.1924415416 2.2850771370 0.0180196075
0.8175920024 -1.6794665728 0.8747603204 -1.6235763710 0.0133452339
0.6514915795 2.3780843744 0.4774207945 2.3814151422 0.0249294420
0.9822568974 -1.6362715447 0.9120725409 -1.6538622723 0.0135518260
0.4008126875 2.3024601186 0.4220710576 2.3338523375 0.0076301579
0.9877288869 -1.6676507175 0.9193023973 -1.6453360076 0.0259555888
0.8225614759 -1.6927622683 0.8175920024 -1.6794665728 0.0147457115
0.8953916367 -1.6990517647 0.9120725409 -1.6538622723 0.0070431775
0.9098856201 -1.7320100942 0.8225614759 -1.6927622683 0.0144704991
0.9777685209 -1.6914045557 0.9193023973 -1.6453360076 0.0109043471
-2.7328033644 -0.0738174155 -3.2035179628 -2.9360800786 0.4165020279
-3.4082874834 -2.9358436717 -3.2035179628 -2.9360800786 0.0501098738
-2.7485101799 -0.0366525642 -2.7328033644 -0.0738174155 0.0057915052
0.9222568303 -1.5244655585 0.8768860627 -1.6179025976 0.0155443745
0.8250580977 -1.6637653665 0.8225614759 -1.6927622683 0.0041695462
-2.7418450500 -0.0267041503 -2.7485101799 -0.0366525642 0.0053418565
-0.3260325036 2.6044594818 0.1263188139 2.2435246749 0.4377808797
0.7854087911 -1.6202995219 0.8524194704 -1.6180032243 0.0172406990
0.0671784558 2.2561718303 0.1796524931 2.2719116986 0.0165901095
0.3815112604 2.2412683625 0.3725043970 2.3627420028 0.0187078890
0.7918210263 -1.6207349151 0.8175920024 -1.6794665728 0.0095294510
-2.6862845211 -0.1148314034 -2.7328033644 -0.0738174155 0.0097294580
-0.3690656647 2.5974971019 -0.3260325036 2.6044594818 0.0067603809
1.0567642967 -1.5489706956 0.9822568974 -1.6362715447 0.0210389774
-2.7914554316 -0.0179204772 -2.7418450500 -0.0267041503 0.0072329881
-0.5235844080 2.5627257313 -0.3690656647 2.5974971019 0.0227624234
0.8897516589 -1.6654027904 0.8768860627 -1.6179025976 0.0123393353
-2.8040630457 0.0477278896 -2.7914554316 -0.0179204772 0.0107811305
0.8127091271 -1.5011725414 0.7854087911 -1.6202995219 0.0246168263
0.8004863826 -1.5255886631 0.7854087911 -1.6202995219 0.0150530310
-0.3172092167 2.5649231411 -0.3260325036 2.6044594818 0.0101509569
-2.6951262446 -0.0661011640 -2.6862845211 -0.1148314034 0.0076609433
-2.7368103188 0.0124596496 -2.7485101799 -0.0366525642 0.0073870208
-0.2231313919 2.6189250918 -0.3260325036 2.6044594818 0.0168979423
0.8091211141 -1.7016502119 0.8225614759 -1.6927622683 0.0091503463
0.6905065860 2.2854827585 0.6404944677 2.3791265592 0.0185306984
0.8413104159 -1.6146175745 0.7918210263 -1.6207349151 0.0091155093
0.8396130963 -1.6661734800 0.8897516589 -1.6654027904 0.0072727097
-0.5325308787 2.5656613169 -0.5235844080 2.5627257313 0.0095316738
0.7253628323 -1.6464176447 0.7918210263 -1.6207349151 0.0153613497
-2.7949488533 0.0587596174 -2.8040630457 0.0477278896 0.0090371926
0.5109312825 2.4775708560 0.4774207945 2.3814151422 0.0146698302
0.8024118431 -1.5178837398 0.8004863826 -1.5255886631 0.0011792205
-3.3585056127 -2.9451679877 -3.4082874834 -2.9358436717 0.0448346101
-2.8000781728 -0.0107801930 -2.7914554316 -0.0179204772 0.0041253642
-2.7568772100 -0.1067157669 -2.7328033644 -0.0738174155 0.0058517100
-2.7717721642 -0.0614243482 -2.7914554316 -0.0179204772 0.0084999762
0.7230708078 -1.6723566291 0.7918210263 -1.6207349151 0.0123037205
-2.7692728991 0.0304109647 -2.7368103188 0.0124596496 0.0053066488
0.0440251774 2.2157839287 0.1263188139 2.2435246749 0.0262222577
0.8465990652 2.3992526044 0.6404944677 2.3791265592 0.0406288697
-0.1215119396 2.5810885770 -0.2231313919 2.6189250918 0.0275366521
-0.2030218836 2.5924956356 -0.2231313919 2.6189250918 0.0089463309
-3.4380056673 -2.9397560897 -3.3585056127 -2.9451679877 0.0212759767
-2.8201187328 0.0962183693 -2.7949488533 0.0587596174 0.0066887955
-2.8092283996 0.0024062727 -2.8000781728 -0.0107801930 0.0031433815
-0.0207834677 2.3922879734 0.0671784558 2.2561718303 0.0284334005
-2.8218090911 0.0047385486 -2.8000781728 -0.0107801930 0.0046149847
-2.8480223353 0.0930431306 -2.8040630457 0.0477278896 0.0106811651
0.7820277194 -1.6678706571 0.8396130963 -1.6661734800 0.0091294806
-0.3076748498 2.5599680445 -0.2030218836 2.5924956356 0.0156578080
0.6667199402 2.2742219668 0.6905065860 2.2854827585 0.0094957513
0.7420454275 -1.7382926917 0.8091211141 -1.7016502119 0.0118708649
0.9405685880 -1.6609878099 0.9877288869 -1.6676507175 0.0138732148
-2.7606694826 0.0730607774 -2.8040630457 0.0477278896 0.0071789045
-1.8081179760 2.6424820940 -0.5235844080 2.5627257313 0.1983769779
-0.6432713942 2.5605314962 -0.5235844080 2.5627257313 0.0194396290
-1.8744688575 2.3885576409 -1.8081179760 2.6424820940 0.0392303072
-1.7853189459 2.2312353518 -1.8744688575 2.3885576409 0.0260655652
0.9235313592 -1.7412488638 0.9405685880 -1.6609878099 0.0202085097
-1.8579686010 2.5269242736 -1.8081179760 2.6424820940 0.0197098302
-1.7129206211 2.4230789254 -1.8744688575 2.3885576409 0.0266764322
0.8107265658 2.3480941977 0.6905065860 2.2854827585 0.0240522476
0.8299647975 2.4401592230 0.8465990652 2.3992526044 0.0232123186
0.7332339995 -1.4542779010 0.8127091271 -1.5011725414 0.0224035197
-2.9325669870 0.1916606749 -2.8480223353 0.0930431306 0.0193036325
-3.2692044813 -2.9334094495 -3.2035179628 -2.9360800786 0.0620797522
1.1195656153 -1.6323689457 0.9822568974 -1.6362715447 0.0206991062
0.5805814760 2.4353664580 0.5109312825 2.4775708560 0.0224352424
1.1429180778 -1.6676832445 0.9877288869 -1.6676507175 0.0223742050
0.6778682282 -1.5408322500 0.8127091271 -1.5011725414 0.0202942991
-2.6854201792 -0.2611967365 -2.6862845211 -0.1148314034 0.0224831747
-2.5220292788 -0.3363758251 -2.6854201792 -0.2611967365 0.0256938954
-1.8941577589 2.1556846972 -1.7853189459 2.2312353518 0.0214075473
-0.3368281149 2.5509020480 -0.3172092167 2.5649231411 0.0231521931
0.7068870190 2.5387712110 0.8465990652 2.3992526044 0.0283006295
-1.7128466581 2.6191041492 -1.8081179760 2.6424820940 0.0196130661
0.2330896074 2.4032941958 0.1924415416 2.2850771370 0.0188953167
-1.6643457830 2.2246084697 -1.7853189459 2.2312353518 0.0185590028
-1.7124721156 2.7937060756 -1.7128466581 2.6191041492 0.0250776831
-0.0638882036 2.1784975672 0.0440251774 2.2157839287 0.0255607487
0.8558773153 -1.6381224899 0.8127091271 -1.5011725414 0.0206573233
1.0016725967 -1.8320530322 0.9877288869 -1.6676507175 0.0247961242
-0.5864048890 2.6149227867 -0.5325308787 2.5656613169 0.0364248486
-0.4490843462 2.5307604050 -0.5325308787 2.5656613169 0.0223369375
0.9613633073 -1.4338329695 0.8127091271 -1.5011725414 0.0253756067
-1.6020949948 2.4166296400 -1.7129206211 2.4230789254 0.0181948645
0.4819096986 2.4284730752 0.3725043970 2.3627420028 0.0195677213
-0.8254637141 2.5633082126 -0.6432713942 2.5605314962 0.0261265247
0.2341972644 2.5162974313 0.2631322051 2.3559356380 0.0240112198
-3.2196204892 -2.9740557912 -3.4082874834 -2.9358436717 0.0322521388
0.6033869759 -1.6390892534 0.6778682282 -1.5408322500 0.0254377607
0.8361510803 -1.8298733696 0.9235313592 -1.7412488638 0.0261439039
-1.7800563153 2.9917344891 -1.7124721156 2.7937060756 0.0300414156
-0.2622306835 2.2271542598 -0.0638882036 2.1784975672 0.0308550782
-3.5000000000 -2.9481858214 -3.3585056127 -2.9451679877 0.0409849296
0.3195116061 2.4474294122 0.2330896074 2.4032941958 0.0192118332
-0.1774816914 2.5872504773 -0.3368281149 2.5509020480 0.0243673731
-2.6379452598 -0.3538132282 -2.6854201792 -0.2611967365 0.0207357874
-0.8295072911 2.5907453718 -0.8254637141 2.5633082126 0.0182645045
-1.9344981078 2.6356649651 -1.8579686010 2.5269242736 0.0202211728
0.8202603601 -1.3940304481 0.7332339995 -1.4542779010 0.0187449663
0.7722445974 -1.6127526222 0.8558773153 -1.6381224899 0.0202487568
-0.4962116247 2.5213045252 -0.3368281149 2.5509020480 0.0249711757
0.8429442650 2.4312702996 0.8107265658 2.3480941977 0.0250420090
0.9913562824 2.4143969999 0.8465990652 2.3992526044 0.0207930274
0.6005223707 -1.7126045325 0.7420454275 -1.7382926917 0.0210204514
0.4012838051 2.2510151165 0.3815112604 2.2412683625 0.0195144257
1.0168314834 -1.8604369096 0.8361510803 -1.8298733696 0.0375294570
1.0457945462 -1.6176471925 1.0567642967 -1.5489706956 0.0226732739
-2.6189613413 -0.0471779903 -2.6951262446 -0.0661011640 0.0217720460
-2.6172049812 -0.2367548859 -2.6379452598 -0.3538132282 0.0193494467
-0.6527806821 2.6506298372 -0.6432713942 2.5605314962 0.0196841844
0.3046767567 2.2123505300 0.2631322051 2.3559356380 0.0214343973
-2.9861425966 0.3478916409 -2.9325669870 0.1916606749 0.0235947950
0.5809239669 -1.6569044286 0.7230708078 -1.6723566291 0.0204828178
0.0060733001 2.6397051694 -0.1774816914 2.5872504773 0.0272719104
0.8185971146 -1.3867426376 0.8024118431 -1.5178837398 0.0209523392
0.6243239388 -1.5580863487 0.7253628323 -1.6464176447 0.0196307748
0.9917317994 -1.7407736667 0.8897516589 -1.6654027904 0.0182214675
-1.8715043609 3.1619618075 -1.7800563153 2.9917344891 0.0281290506
1.1769762045 -1.5329112937 1.0457945462 -1.6176471925 0.0230520340
-1.6039197141 2.8899992014 -1.7124721156 2.7937060756 0.0250294077
-1.0395864381 2.5227753003 -0.8254637141 2.5633082126 0.0329653124
-1.7656101671 2.0450647798 -1.7853189459 2.2312353518 0.0270078752
-3.3664591877 -2.9623158481 -3.5000000000 -2.9481858214 0.0250429023
-1.8558104874 2.0304646856 -1.8941577589 2.1556846972 0.0217825307
-1.5472591361 2.0246792965 -1.7656101671 2.0450647798 0.0313746195
0.0698907800 2.2537769230 0.0440251774 2.2157839287 0.0205324257
-0.3574650612 2.6721805871 -0.4490843462 2.5307604050 0.0264375343
0.3725537407 2.5372738351 0.3718180450 2.4026461036 0.0200545582
-0.4172079118 2.4651636452 -0.4490843462 2.5307604050 0.0200595941
-2.7748922771 -0.1159727006 -2.6951262446 -0.0661011640 0.0222974854
-0.4779757445 2.6836047147 -0.3690656647 2.5974971019 0.0220714376
0.0736893723 2.2879441384 0.1732811722 2.2975023216 0.0226717186
-2.0748294824 2.6683503629 -1.9344981078 2.6356649651 0.0207361075
-0.4042692442 2.1632212152 -0.2622306835 2.2271542598 0.0486393640
-3.2231693043 -2.9014774225 -3.2035179628 -2.9360800786 0.0210098243
-0.2661155671 2.6605064469 -0.3574650612 2.6721805871 0.0213622974
-0.4815340732 2.6853634296 -0.5325308787 2.5656613169 0.0226020177
0.0972359420 2.6920766079 -0.2030218836 2.5924956356 0.0505881314
0.3303439725 2.6097875540 0.0972359420 2.6920766079 0.0477312066
-3.5000000000 -2.9555389734 -3.3664591877 -2.9623158481 0.0288230963
0.7524965399 -1.3548685356 0.7332339995 -1.4542779010 0.0204368382
-2.1112594741 2.4295230166 -2.0748294824 2.6683503629 0.0354775014
